arm,segment,scope,timeframe,width_bucket,guard_cut,n,open_share,mfe_r_pre_exit_median,cost_loss_r_median,reach_1r,breakeven_1r,ev_1r,reach_1_5r,breakeven_1_5r,ev_1_5r,reach_2r,breakeven_2r,ev_2r,reach_2_5r,breakeven_2_5r,ev_2_5r,reach_3r,breakeven_3r,ev_3r
zone_top,oos_warm,first,15m,0.75~1.00%,False,1530,0.00522875816993464,1.0634856166061057,0.12778427983447982,0.5176470588235295,0.5418913676938633,-0.04970581328584233,0.41568627450980394,0.4369139600854056,-0.0541120704099955,0.3477124183006536,0.36600916976487263,-0.05572357322889571,0.2980392156862745,0.31490470893741135,-0.05976073125493554,0.265359477124183,0.2763228113872841,-0.04409043330391283
zone_top,oos_warm,first,15m,1.00~1.50%,False,1277,0.010180109631949883,1.0058072896767758,0.09248989589096263,0.5027407987470635,0.5306553328479485,-0.05750594202595812,0.3899765074393109,0.42695193616636784,-0.09456254893042915,0.31480031323414254,0.35715488926032585,-0.12950562179619052,0.27094753328112764,0.3069718845478804,-0.12815274757908518,0.2341425215348473,0.26915371993124815,-0.142078207280898
zone_top,oos_warm,first,15m,≥1.50%,False,689,0.010159651669085631,1.0343135742701033,0.057755595692779986,0.5152394775036284,0.5187571383870667,-0.007210483879718997,0.40638606676342526,0.416448554429306,-0.02550954215793315,0.3352685050798258,0.3478466973922452,-0.03823300616928898,0.28592162554426703,0.2986498946657492,-0.04500370287428035,0.24963715529753266,0.26164483112040554,-0.04834740805429693
zone_top,oos_warm,first,1h,0.00~0.30%,True,66,0.045454545454545456,1.2574688415372894,0.43818793316582394,0.5606060606060606,0.6381387079155469,-0.17415356418209468,0.4393939393939394,0.5240058781438383,-0.2395006480458863,0.3787878787878788,0.44450496564962017,-0.2213891391322038,0.3484848484848485,0.38594961726655674,-0.14775653171771308,0.2878787878787879,0.34102575094883936,-0.2347053890668157
zone_top,oos_warm,first,1h,0.30~0.40%,False,76,0.0,0.7536860990738863,0.3077594348776168,0.4473684210526316,0.5969378210152262,-0.3286847212494039,0.3815789473684211,0.48633397916324206,-0.28268533245417754,0.3026315789473684,0.4103096129080599,-0.34401884923359666,0.25,0.35484048269263696,-0.38785047136028966,0.21052631578947367,0.3125828802778284,-0.4286143473378448
zone_top,oos_warm,first,1h,0.40~0.50%,False,115,0.008695652173913044,0.9738364574400205,0.24495564630354374,0.4956521739130435,0.5776255187345453,-0.17655793067848385,0.4260869565217391,0.4688782635900796,-0.11298270441411176,0.3652173913043478,0.39459031671514666,-0.09220679268692374,0.30434782608695654,0.3406228498132525,-0.13231444551974525,0.26956521739130435,0.2996413909138128,-0.1246909904301097
zone_top,oos_warm,first,1h,0.50~0.75%,False,389,0.012853470437017995,1.0178205414131314,0.17197662918578213,0.5012853470437018,0.5564102753478335,-0.11643143308725502,0.39845758354755784,0.44984917896738147,-0.13440145517771895,0.32904884318766064,0.3775437616284004,-0.15092901172960602,0.26735218508997427,0.3252633461319647,-0.20920535045578065,0.23136246786632392,0.28570088364954077,-0.2233239474210929
zone_top,oos_warm,first,1h,0.75~1.00%,False,372,0.013440860215053764,0.8882925956356671,0.12510696368886565,0.46774193548387094,0.5413593331008487,-0.15313021967904344,0.3844086021505376,0.43644130086676974,-0.13424032567575836,0.31451612903225806,0.36558849844981894,-0.15730213858578992,0.26344086021505375,0.3145274483037508,-0.1829824582021629,0.24193548387096775,0.27598162036687823,-0.13895874731161467
zone_top,oos_warm,first,1h,1.00~1.50%,False,663,0.00904977375565611,1.0827218643694096,0.08716474919854707,0.5173453996983409,0.5295095205848509,-0.02497085455931762,0.416289592760181,0.4259384045356926,-0.02475587031423104,0.34992458521870284,0.35625547099896065,-0.019532190485975796,0.30165912518853694,0.3061669772221046,-0.014601235642178995,0.2654600301659125,0.26842692430479625,-0.0089843519979812
zone_top,oos_warm,first,1h,≥1.50%,False,886,0.013544018058690745,1.111755863889043,0.049714963140840736,0.5304740406320542,0.5164352546054649,0.02870370481852488,0.43002257336343114,0.4144043209147906,0.03961157483940771,0.3611738148984199,0.3460383203337855,0.04589931303348595,0.3013544018058691,0.29703519202280954,0.017719084513372,0.2584650112866817,0.26018930236362536,-0.004486071807671702
