symbol,timeframe,segment,arm,num_trades,win_rate,total_return,max_drawdown,fill_rate,mean_r
TRX/USDT:USDT,1h,is,off,147,0.5034013605442177,0.0858407003895083,0.0508807366981426,0.7838616714697406,0.2585034013605442
TRX/USDT:USDT,1h,oos,on,69,0.4492753623188406,-0.0580909822337564,0.13666979992352,0.8266666666666667,0.1231884057971014
TRX/USDT:USDT,1h,oos,off,68,0.4558823529411764,-0.0693995475096364,0.1211680715724364,0.821656050955414,0.1397058823529411
BTC/USDT:USDT,15m,is,on,533,0.5084427767354597,0.34818501972230553,0.11761737833151636,0.8206896551724138,0.27110694183864914
BTC/USDT:USDT,15m,is,off,549,0.5227686703096539,0.47157657379412793,0.09573829101195702,0.8256467941507312,0.3069216757741348
BTC/USDT:USDT,15m,oos,on,253,0.4782608695652174,0.030562874775957063,0.13511371987725523,0.8397435897435898,0.1956521739130435
BTC/USDT:USDT,15m,oos,off,273,0.47619047619047616,0.014083263798420375,0.12110206600597195,0.8434579439252337,0.19047619047619047
ETH/USDT:USDT,15m,is,on,627,0.48165869218500795,0.057578985507312976,0.32833955738362675,0.8095545513234345,0.20414673046251994
ETH/USDT:USDT,15m,is,off,670,0.4835820895522388,0.01569251927215264,0.29468964286491667,0.8102232667450059,0.208955223880597
ETH/USDT:USDT,15m,oos,on,341,0.5454545454545454,0.6147222660762626,0.07513482541450547,0.8024830699774267,0.36363636363636365
ETH/USDT:USDT,15m,oos,off,386,0.5492227979274611,0.5815437281877032,0.0723757954702168,0.8097560975609757,0.37305699481865284
SOL/USDT:USDT,15m,is,on,794,0.5062972292191436,0.9457020499740633,0.15909061569020191,0.8035935563816605,0.26574307304785894
SOL/USDT:USDT,15m,is,off,845,0.5124260355029586,0.975697993218017,0.1419789663061262,0.8080924855491329,0.28106508875739644
SOL/USDT:USDT,15m,oos,on,358,0.505586592178771,0.20497081745914456,0.13984512231660462,0.8185279187817259,0.2639664804469274
SOL/USDT:USDT,15m,oos,off,382,0.5235602094240838,0.3400279415358196,0.138211678310826,0.8223234624145785,0.3089005235602094
BNB/USDT:USDT,15m,is,on,558,0.4731182795698925,0.05474139147557489,0.24799758845491293,0.8302945301542777,0.1827956989247312
BNB/USDT:USDT,15m,is,off,582,0.4690721649484536,-0.029582836786831105,0.2777652550277765,0.83203125,0.17268041237113402
BNB/USDT:USDT,15m,oos,on,271,0.43911439114391143,-0.1713066522055191,0.20153993681710375,0.8137254901960784,0.09778597785977859
BNB/USDT:USDT,15m,oos,off,284,0.4507042253521127,-0.153788996670348,0.18280041706935438,0.8245838668373879,0.1267605633802817
XRP/USDT:USDT,15m,is,on,634,0.48738170347003157,0.38101194167340147,0.11578331463254524,0.8041168658698539,0.21845425867507887
