scenario,scope,segment,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events
alpha_0.00,both,oos_warm,36,9,4616,0.5556759098786829,579.7483221066127,0.18781064483413237,12,0.11086074947122125,5.000000000000001,0
alpha_0.00,both,oos,36,9,4493,0.5495214778544403,281.8266859388757,0.18781064483413326,9,0.08399315275975791,5.0,0
alpha_0.25,both,full,36,9,13793,0.5839193793953454,239838482895.22165,0.24979420617368903,12,0.11861381649176807,5.000000000000001,0
alpha_0.25,both,oos_warm,36,9,4616,0.5556759098786829,251.50441195311151,0.20628383685096557,12,0.11087685798393533,5.0,0
alpha_0.25,both,oos,36,9,4493,0.5495214778544403,123.15388717825527,0.20628383685096618,9,0.08400749034334717,5.000000000000001,0
alpha_0.50,both,full,36,9,13793,0.5839193793953454,12307928373.597305,0.2638798249090912,12,0.11861381649176807,5.0,0
alpha_0.50,both,oos_warm,36,9,4616,0.5556759098786829,108.52506604565987,0.22435869235401631,12,0.11089298332171625,5.000000000000001,0
alpha_0.50,both,oos,36,9,4493,0.5495214778544403,53.37177904381885,0.2243586923540161,9,0.08402185290541161,5.0,0
alpha_1.00,both,full,36,9,13793,0.5839193793953454,31468293.88626483,0.3344534320275748,12,0.11861381649176803,5.000000000000001,0
alpha_1.00,both,oos_warm,36,9,4616,0.5556759098786829,19.45578564108915,0.33445343202757455,12,0.11092528457896222,5.000000000000001,0
alpha_1.00,both,oos,36,9,4493,0.5495214778544403,9.35244773494373,0.33445343202757294,9,0.08405065322487441,5.000000000000001,0
limit_nonfill,both,full,36,9,13793,0.5839193793953454,4628876126034.966,0.2354616104612467,12,0.11861381649176805,5.000000000000001,0
limit_nonfill,both,oos_warm,36,9,4616,0.5556759098786829,579.7483221066127,0.18781064483413237,12,0.11086074947122125,5.000000000000001,0
limit_nonfill,both,oos,36,9,4493,0.5495214778544403,281.8266859388757,0.18781064483413326,9,0.08399315275975791,5.0,0
