arm,segment,symbol,timeframe,direction,trades,win_rate,mean_net_r,net_r_sum
long_only,oos_warm,BTC,15m,all,637,0.41130298273155413,-0.14105463151132605,-89.8518002727147
long_only,oos_warm,BTC,15m,long,637,0.41130298273155413,-0.14105463151132605,-89.8518002727147
long_only,oos_warm,BTC,1h,all,230,0.41739130434782606,-0.08169383164991308,-18.789581279480007
long_only,oos_warm,BTC,1h,long,230,0.41739130434782606,-0.08169383164991308,-18.789581279480007
long_only,oos_warm,BTC,2h,all,117,0.47863247863247865,0.10994573163584091,12.863650601393386
long_only,oos_warm,BTC,2h,long,117,0.47863247863247865,0.10994573163584091,12.863650601393386
long_only,oos_warm,BTC,4h,all,44,0.38636363636363635,-0.1049766656770477,-4.618973289790099
long_only,oos_warm,BTC,4h,long,44,0.38636363636363635,-0.1049766656770477,-4.618973289790099
long_only,oos_warm,DOGE,15m,all,1022,0.3776908023483366,-0.18970309022471382,-193.87655820965753
long_only,oos_warm,DOGE,15m,long,1022,0.3776908023483366,-0.18970309022471382,-193.87655820965753
long_only,oos_warm,DOGE,1h,all,219,0.3515981735159817,-0.1991004282200271,-43.60299378018593
long_only,oos_warm,DOGE,1h,long,219,0.3515981735159817,-0.1991004282200271,-43.60299378018593
long_only,oos_warm,DOGE,2h,all,120,0.35,-0.19349930706690047,-23.219916848028056
long_only,oos_warm,DOGE,2h,long,120,0.35,-0.19349930706690047,-23.219916848028056
long_only,oos_warm,DOGE,4h,all,55,0.4,-0.02852587352362307,-1.5689230437992687
long_only,oos_warm,DOGE,4h,long,55,0.4,-0.02852587352362307,-1.5689230437992687
long_only,oos_warm,DOT,15m,all,955,0.41256544502617803,-0.09785309912791308,-93.449709667157
long_only,oos_warm,DOT,15m,long,955,0.41256544502617803,-0.09785309912791308,-93.449709667157
long_only,oos_warm,DOT,1h,all,210,0.3904761904761905,-0.09936252458626581,-20.86613016311582
long_only,oos_warm,DOT,1h,long,210,0.3904761904761905,-0.09936252458626581,-20.86613016311582
long_only,oos_warm,DOT,2h,all,88,0.3409090909090909,-0.20182769290787628,-17.760836975893113
long_only,oos_warm,DOT,2h,long,88,0.3409090909090909,-0.20182769290787628,-17.760836975893113
long_only,oos_warm,DOT,4h,all,46,0.32608695652173914,-0.2367016558713811,-10.88827617008353
long_only,oos_warm,DOT,4h,long,46,0.32608695652173914,-0.2367016558713811,-10.88827617008353
long_only,oos_warm,ETH,15m,all,988,0.4251012145748988,-0.07819886756722406,-77.26048115641737
long_only,oos_warm,ETH,15m,long,988,0.4251012145748988,-0.07819886756722406,-77.26048115641737
long_only,oos_warm,ETH,1h,all,275,0.45454545454545453,0.04182224564745812,11.501117553050983
long_only,oos_warm,ETH,1h,long,275,0.45454545454545453,0.04182224564745812,11.501117553050983
long_only,oos_warm,ETH,2h,all,131,0.44274809160305345,0.04006888044936125,5.249023338866324
long_only,oos_warm,ETH,2h,long,131,0.44274809160305345,0.04006888044936125,5.249023338866324
long_only,oos_warm,ETH,4h,all,63,0.3968253968253968,-0.05925213275425027,-3.7328843635177673
long_only,oos_warm,ETH,4h,long,63,0.3968253968253968,-0.05925213275425027,-3.7328843635177673
long_only,oos_warm,LINK,15m,all,908,0.4107929515418502,-0.10459664074032705,-94.97374979221696
long_only,oos_warm,LINK,15m,long,908,0.4107929515418502,-0.10459664074032705,-94.97374979221696
long_only,oos_warm,LINK,1h,all,206,0.41262135922330095,-0.04645062524165287,-9.56882879978049
long_only,oos_warm,LINK,1h,long,206,0.41262135922330095,-0.04645062524165287,-9.56882879978049
long_only,oos_warm,LINK,2h,all,93,0.3870967741935484,-0.07922219271679347,-7.367663922661793
long_only,oos_warm,LINK,2h,long,93,0.3870967741935484,-0.07922219271679347,-7.367663922661793
long_only,oos_warm,LINK,4h,all,52,0.38461538461538464,-0.08057601263547888,-4.189952657044902
long_only,oos_warm,LINK,4h,long,52,0.38461538461538464,-0.08057601263547888,-4.189952657044902
long_only,oos_warm,LTC,15m,all,913,0.40525739320920046,-0.12507845037080445,-114.19662518854446
long_only,oos_warm,LTC,15m,long,913,0.40525739320920046,-0.12507845037080445,-114.19662518854446
long_only,oos_warm,LTC,1h,all,238,0.3697478991596639,-0.15984643006339339,-38.04345035508763
long_only,oos_warm,LTC,1h,long,238,0.3697478991596639,-0.15984643006339339,-38.04345035508763
long_only,oos_warm,LTC,2h,all,118,0.3305084745762712,-0.24251019683220715,-28.616203226200444
long_only,oos_warm,LTC,2h,long,118,0.3305084745762712,-0.24251019683220715,-28.616203226200444
long_only,oos_warm,LTC,4h,all,50,0.24,-0.44776330063779063,-22.38816503188953
long_only,oos_warm,LTC,4h,long,50,0.24,-0.44776330063779063,-22.38816503188953
long_only,oos_warm,SOL,15m,all,1008,0.4226190476190476,-0.07867344171545161,-79.30282924917522
long_only,oos_warm,SOL,15m,long,1008,0.4226190476190476,-0.07867344171545161,-79.30282924917522
long_only,oos_warm,SOL,1h,all,231,0.4155844155844156,-0.040487969300607655,-9.352720908440368
long_only,oos_warm,SOL,1h,long,231,0.4155844155844156,-0.040487969300607655,-9.352720908440368
long_only,oos_warm,SOL,2h,all,114,0.38596491228070173,-0.10580444744619842,-12.06170700886662
long_only,oos_warm,SOL,2h,long,114,0.38596491228070173,-0.10580444744619842,-12.06170700886662
long_only,oos_warm,SOL,4h,all,56,0.42857142857142855,0.03565443713735632,1.9966484796919537
long_only,oos_warm,SOL,4h,long,56,0.42857142857142855,0.03565443713735632,1.9966484796919537
long_only,oos_warm,TRX,15m,all,345,0.35942028985507246,-0.27725027239629335,-95.65134397672121
long_only,oos_warm,TRX,15m,long,345,0.35942028985507246,-0.27725027239629335,-95.65134397672121
long_only,oos_warm,TRX,1h,all,160,0.36875,-0.21717415736033568,-34.74786517765371
long_only,oos_warm,TRX,1h,long,160,0.36875,-0.21717415736033568,-34.74786517765371
long_only,oos_warm,TRX,2h,all,107,0.42990654205607476,-0.032030442301235675,-3.4272573262322172
long_only,oos_warm,TRX,2h,long,107,0.42990654205607476,-0.032030442301235675,-3.4272573262322172
