symbol,timeframe,segment,tp_rule,r_multiple,guard,filter_on,num_candidates,num_trades,total_return,max_drawdown,win_rate,sharpe,n_take_profit,n_stop_loss,n_end_of_data,fill_rate_full,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate,tp_dist_frac_median,height_over_stop_med,height_over_stop_p25,height_over_stop_p75
BTC/USDT:USDT,1h,oos,zone_height,3.0,0.0,True,72,56,0.122118847886848,0.0453150916513732,0.3571428571428571,16.39054565337498,20,36,0,0.6798418972332015,0.4699076124285731,3.85881661570976,-1.4128196116165304,0.2340736767705325,0.2680040030632188,0.0891388540796383,1.5456123519449283,0.8928571428571429,0.0051368082367838,0.0,0.0177307822663156,0.981977316113045,0.9664526077611784,1.4204094075303595
BTC/USDT:USDT,1h,is,entry_r,1.5,0.003,False,292,164,0.0316491049637084,0.1422650779546437,0.4878048780487805,2.2391734347678063,80,84,0,0.7441520467836257,0.0599651978716365,1.32793197784797,-1.1476222116296333,0.1417861671231214,0.4635819391502825,0.0242229388984979,1.040271063875548,0.5914634146341463,0.0077082301124287,0.0753424657534246,0.0122373846825212,0.9901614386548696,0.9781092440585316,1.3135622813717966
BTC/USDT:USDT,1h,oos,entry_r,1.5,0.003,False,217,109,0.1623993340254999,0.0929564880659948,0.5229357798165137,12.84983039099064,57,52,0,0.7441520467836257,0.1570346730371979,1.3490197269503046,-1.1495643283675536,0.1189885559969871,0.4600863140549064,0.0628494657616073,1.313252557578377,0.5137614678899083,0.0079180164077858,0.1290322580645161,0.0137603021267667,0.9925123841730632,0.9809075641145404,1.395793300036068
ETH/USDT:USDT,1h,is,entry_r,1.0,0.003,True,101,82,0.2646637219238683,0.0213302753234615,0.8048780487804879,42.18573623167897,66,16,0,0.6666666666666666,0.4356784924473124,0.8190379948649646,-1.145679455025503,0.1543232916855869,0.5831268282822928,0.221751220498195,2.6152145605473898,0.7439024390243902,0.0070442576009353,0.0891089108910891,0.0061285440528902,0.987325305285284,0.9714190545700658,1.439719898998953
ETH/USDT:USDT,1h,is,entry_r,1.0,0.0,True,101,90,0.2738450271816035,0.0213302753234615,0.8222222222222222,41.327078172619515,74,16,0,0.6666666666666666,0.433377207587524,0.7747948643687191,-1.1456794550255032,0.1730610864513789,0.5965606743374139,0.2256615478848083,2.6628136824134185,0.7666666666666667,0.0065964463874304,0.0,0.0061285440528902,0.987325305285284,0.9714190545700658,1.439719898998953
ETH/USDT:USDT,1h,oos,entry_r,1.0,0.003,True,63,52,0.2486339573226696,0.0109834890855664,0.8269230769230769,65.44686637801735,43,9,0,0.6666666666666666,0.5009465603135113,0.8506625791512961,-1.1699188630225714,0.1302972694129028,0.5790010927566968,0.2479219841663801,3.971285094662497,0.6923076923076923,0.0077401157230568,0.0317460317460317,0.0076786433809342,0.98552300686468,0.9769011781734852,1.3074911748889573
ETH/USDT:USDT,1h,oos,entry_r,1.0,0.0,True,63,54,0.2500362722647898,0.0109834890855663,0.8148148148148148,64.1102574392512,45,9,0,0.6666666666666666,0.4905983937503329,0.8431951838692329,-1.0608274827728272,0.1347593841841284,0.5571506586335475,0.2576641561812672,3.984778120031197,0.7037037037037037,0.00751503308216,0.0,0.0076786433809342,0.98552300686468,0.9769011781734852,1.3074911748889573
ETH/USDT:USDT,1h,is,zone_height,1.0,0.003,True,101,81,0.2360187608101427,0.041728300303765,0.7283950617283951,34.15700463998311,59,22,0,0.6666666666666666,0.3838857982239116,0.965249857530673,-1.175226906280585,0.1523529404350108,0.5490491306189267,0.1793459311094684,2.1540268726398324,0.7407407407407407,0.0070896284364571,0.0891089108910891,0.0079095232103595,0.987325305285284,0.9714190545700658,1.439719898998953
ETH/USDT:USDT,1h,is,zone_height,1.0,0.0,True,101,88,0.2448059717116368,0.03695381140795,0.7159090909090909,33.364777073353146,63,25,0,0.6666666666666666,0.3977244287308844,1.0399707762064454,-1.2207363669075293,0.1707196691346559,0.5399798778120573,0.1759292130970337,2.124966610318885,0.7613636363636364,0.0066884619982816,0.0,0.0079095232103595,0.987325305285284,0.9714190545700658,1.439719898998953
ETH/USDT:USDT,1h,oos,zone_height,1.0,0.003,True,63,51,0.2491892565308871,0.0109834890855662,0.7843137254901961,61.43014843410939,40,11,0,0.6666666666666666,0.5202814864865564,0.9910329831108344,-1.1915421376017272,0.1302761003710489,0.5459340786459234,0.2383796468442727,3.593851175398069,0.6862745098039216,0.007749043573159,0.0317460317460317,0.0087154996357039,0.98552300686468,0.9769011781734852,1.3074911748889573
ETH/USDT:USDT,1h,oos,zone_height,1.0,0.0,True,63,53,0.2640360285292488,0.0109834890855663,0.7924528301886793,63.18144372464685,42,11,0,0.6666666666666666,0.6881408761216933,1.1804388082873511,-1.1915421376017272,0.130276100371049,0.5023405182351105,0.2901123119535688,3.7232618632984313,0.6981132075471698,0.0075193771899773,0.0,0.0087154996357039,0.98552300686468,0.9769011781734852,1.3074911748889573
ETH/USDT:USDT,1h,is,entry_r,1.5,0.003,True,101,79,0.2447052074812056,0.041728300303765,0.6329113924050633,28.86729893321833,50,29,0,0.6666666666666666,0.405417628490398,1.320412771939498,-1.1721602050425333,0.1562982522430527,0.4702611381359701,0.1626502542690932,1.9211080173233903,0.7468354430379747,0.0069922229400244,0.0891089108910891,0.0091928160793353,0.987325305285284,0.9714190545700658,1.439719898998953
ETH/USDT:USDT,1h,is,entry_r,1.5,0.0,True,101,86,0.2619417536849056,0.0385157677852762,0.6627906976744186,29.372346597289848,57,29,0,0.6666666666666666,0.4469900102528412,1.2707681899645231,-1.1721602050425333,0.1712614864513771,0.4798176677786527,0.1829730298957658,1.9770022373220963,0.7674418604651163,0.0065896554041592,0.0,0.0091928160793353,0.987325305285284,0.9714190545700658,1.439719898998953
ETH/USDT:USDT,1h,oos,entry_r,1.5,0.003,True,63,48,0.3656193183704168,0.0114766406848708,0.7708333333333334,69.95016138859532,37,11,0,0.6666666666666666,0.773771507138077,1.3523597950623103,-1.1723890976979816,0.1300900114856058,0.4643586936743701,0.3064746396589632,4.306037832203224,0.6666666666666666,0.0077603304282876,0.0317460317460317,0.0115179650714014,0.98552300686468,0.9769011781734852,1.3074911748889573
ETH/USDT:USDT,1h,oos,entry_r,1.5,0.0,True,63,49,0.368836112226136,0.0114766406848708,0.7755102040816326,69.6005574726179,38,11,0,0.6666666666666666,0.7788301965177193,1.3436568343170012,-1.1723890976979816,0.1307471694129134,0.4659649026196713,0.3095453014619613,4.334042969580267,0.673469387755102,0.0076490103340847,0.0,0.0115179650714014,0.98552300686468,0.9769011781734852,1.3074911748889573
ETH/USDT:USDT,1h,is,zone_height,1.5,0.003,True,101,77,0.2905489446141931,0.0417283003037652,0.6233766233766234,32.20488010165559,48,29,0,0.6666666666666666,0.5204704389248449,1.5438545281449254,-1.1734066742670122,0.1528051450884627,0.4318343312838142,0.1915422920928091,2.077750031863826,0.7402597402597403,0.0070466197247824,0.0891089108910891,0.0118642848155392,0.987325305285284,0.9714190545700658,1.439719898998953
ETH/USDT:USDT,1h,is,zone_height,1.5,0.0,True,101,84,0.3134937605248619,0.0340396133523795,0.6190476190476191,32.47797408626546,52,32,0,0.6666666666666666,0.5886801404117146,1.6950258189008218,-1.2091315871330852,0.171261486451377,0.4163450591971694,0.2027025598504496,2.0963063550252885,0.7619047619047619,0.0066299341821905,0.0,0.0118642848155392,0.987325305285284,0.9714190545700658,1.439719898998953
ETH/USDT:USDT,1h,oos,zone_height,1.5,0.003,True,63,48,0.2947043234250935,0.0241499488251025,0.6666666666666666,51.776951831986686,32,16,0,0.6666666666666666,0.5896769171862682,1.479134814521523,-1.189238877484241,0.1300584191864208,0.4456792843697666,0.2209873822968999,3.0407363992482423,0.6666666666666666,0.0077603304282876,0.0317460317460317,0.0130732494535558,0.98552300686468,0.9769011781734852,1.3074911748889573
ETH/USDT:USDT,1h,oos,zone_height,1.5,0.0,True,63,49,0.30135951693403,0.0241499488251025,0.673469387755102,52.2650318721891,33,16,0,0.6666666666666666,0.6231416488114006,1.501871600954742,-1.189238877484241,0.130715415850096,0.441913807334315,0.2315555804207869,3.085749577058543,0.673469387755102,0.0076490103340847,0.0,0.0130732494535558,0.98552300686468,0.9769011781734852,1.3074911748889573
ETH/USDT:USDT,1h,is,entry_r,2.0,0.003,True,101,74,0.2639354535545379,0.0417283003037649,0.5675675675675675,27.439250510986344,42,32,0,0.6666666666666666,0.5233830243918571,1.8090703903894048,-1.1640816434799242,0.1607989631726162,0.3915311528704307,0.1760364146971368,1.8410525536298443,0.7432432432432432,0.0069557851511055,0.0891089108910891,0.0122570881057804,0.987325305285284,0.9714190545700658,1.439719898998953
ETH/USDT:USDT,1h,is,entry_r,2.0,0.0,True,101,81,0.2796545766647065,0.0381015944534373,0.5925925925925926,27.512111346284243,48,33,0,0.6666666666666666,0.5634943473580302,1.7558151741599444,-1.170790491626572,0.1791500425553275,0.4000506475175998,0.1925419450749927,1.8706291414193863,0.7654320987654321,0.0065315167120687,0.0,0.0122570881057804,0.987325305285284,0.9714190545700658,1.439719898998953
