symbol,timeframe,variant,is_placebo,segment,total_return,win_rate,profit_factor,num_trades
SOL/USDT:USDT,4h,close_atr2,False,IS,-0.017120693387490428,0.0,0.0,2
SOL/USDT:USDT,4h,sma20_stdev2_bollinger,False,IS,0.14784324720293862,0.3684210526315789,2.2227035884233546,19
SOL/USDT:USDT,4h,sma20_atr2,False,IS,0.14744642084212992,0.3684210526315789,2.216908690539187,19
SOL/USDT:USDT,4h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,0.022590726463253486,0.16666666666666666,1.4356125477489063,6
SOL/USDT:USDT,4h,sma20_atr2_placebo_shuffled_anchor,True,IS,0.02259532246776398,0.16666666666666666,1.435736976778467,6
SOL/USDT:USDT,4h,baseline,False,OOS,-0.020920256127768697,0.14285714285714285,0.6685180835753489,7
SOL/USDT:USDT,4h,close_pct2,False,OOS,-0.031368008009409094,0.0,0.0,3
SOL/USDT:USDT,4h,close_atr2,False,OOS,-0.01039883946784921,0.0,0.0,1
SOL/USDT:USDT,4h,sma20_stdev2_bollinger,False,OOS,-0.020920256127768697,0.14285714285714285,0.6685180835753489,7
SOL/USDT:USDT,4h,sma20_atr2,False,OOS,-0.020920256127768697,0.14285714285714285,0.6685180835753489,7
SOL/USDT:USDT,4h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,-0.010516818000000058,0.0,0.0,1
SOL/USDT:USDT,4h,sma20_atr2_placebo_shuffled_anchor,True,OOS,-0.010516818000000058,0.0,0.0,1
SOL/USDT:USDT,1h,baseline,False,IS,-0.02334276490065113,0.375,0.9253593960684745,48
SOL/USDT:USDT,1h,close_pct2,False,IS,0.055524272154194476,0.4,1.5688004665078294,15
SOL/USDT:USDT,1h,close_atr2,False,IS,0.0435205388350807,0.2857142857142857,1.867353886664288,7
SOL/USDT:USDT,1h,sma20_stdev2_bollinger,False,IS,-0.05029311497482431,0.3617021276595745,0.8379398167792502,47
SOL/USDT:USDT,1h,sma20_atr2,False,IS,-0.012318746055023257,0.3829787234042553,0.95954902290131,47
SOL/USDT:USDT,1h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,0.048824227097765106,0.4230769230769231,1.3158242862695668,26
SOL/USDT:USDT,1h,sma20_atr2_placebo_shuffled_anchor,True,IS,0.048824227097765106,0.4230769230769231,1.3158242862695668,26
SOL/USDT:USDT,1h,baseline,False,OOS,0.019272880739431092,0.3,1.1245275820614036,20
SOL/USDT:USDT,1h,close_pct2,False,OOS,0.042176906956980384,0.4,2.271630188204005,5
SOL/USDT:USDT,1h,close_atr2,False,OOS,-0.016587477421514087,0.25,0.45639858479949,4
SOL/USDT:USDT,1h,sma20_stdev2_bollinger,False,OOS,0.044574684682674164,0.3333333333333333,1.3397452700393937,18
SOL/USDT:USDT,1h,sma20_atr2,False,OOS,0.02272533929220026,0.3,1.1490879012515571,20
SOL/USDT:USDT,1h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,0.08603769393503917,0.45454545454545453,2.2131428174203442,11
SOL/USDT:USDT,1h,sma20_atr2_placebo_shuffled_anchor,True,OOS,0.08603769393503917,0.45454545454545453,2.2131428174203442,11
SOL/USDT:USDT,1d,baseline,False,IS,0.0012448438729190457,0.5,1.1208987588131996,2
SOL/USDT:USDT,1d,close_pct2,False,IS,0.0028616947810518466,0.5,1.2742597179429656,2
SOL/USDT:USDT,1d,close_atr2,False,IS,0.0,0.0,,0
SOL/USDT:USDT,1d,sma20_stdev2_bollinger,False,IS,0.0012448438729190457,0.5,1.1208987588131996,2
SOL/USDT:USDT,1d,sma20_atr2,False,IS,0.0012448438729190457,0.5,1.1208987588131996,2
SOL/USDT:USDT,1d,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,0.011541424955627735,1.0,,1
SOL/USDT:USDT,1d,sma20_atr2_placebo_shuffled_anchor,True,IS,0.011541424955627735,1.0,,1
SOL/USDT:USDT,1d,baseline,False,OOS,-0.02011450782313641,0.0,0.0,2
SOL/USDT:USDT,1d,close_pct2,False,OOS,-0.02013437635665741,0.0,0.0,2
SOL/USDT:USDT,1d,close_atr2,False,OOS,-0.010130375036033729,0.0,0.0,1
SOL/USDT:USDT,1d,sma20_stdev2_bollinger,False,OOS,-0.020182798157147953,0.0,0.0,2
SOL/USDT:USDT,1d,sma20_atr2,False,OOS,-0.02011450782313641,0.0,0.0,2
SOL/USDT:USDT,1d,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,-0.010072775965536494,0.0,0.0,1
SOL/USDT:USDT,1d,sma20_atr2_placebo_shuffled_anchor,True,OOS,-0.010072775965536494,0.0,0.0,1
