scope,arm,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events
all,freeze,oos_warm,,27,9,1743,0.5524956970740104,35.11857907357665,0.14889951146207642,235.85422630833202,12,0.1136081082275605,0
all,freeze,oos,,27,9,1676,0.545346062052506,22.112373423426504,0.14889951146207633,148.50534569455837,9,0.08882742681317277,0
all,freeze,full,BNB,24,8,4461,0.5891055817081372,989914.6117749546,0.18941647499306258,5226127.303927551,11,0.10761808353674925,0
all,freeze,is,BNB,24,8,2883,0.608394033992369,35865.3579641123,0.18941647499306258,189346.56008895676,11,0.10761808353674925,0
all,freeze,oos_warm,BNB,24,8,1578,0.5538656527249683,26.600115204489395,0.13390686721170872,198.64638579315147,10,0.09621871062424447,0
all,freeze,oos,BNB,24,8,1512,0.5462962962962963,17.09545135365239,0.1339068672117092,127.6667262077319,9,0.08882742681317275,0
all,freeze,full,BTC,24,8,4430,0.5871331828442438,981162.6557114408,0.1793947323930362,5469294.681193927,11,0.1077479019011543,0
all,freeze,is,BTC,24,8,2862,0.6069182389937107,35397.45642811038,0.1793947323930362,197316.03016390715,10,0.10010828213231349,0
all,freeze,oos_warm,BTC,24,8,1568,0.5510204081632653,26.717696044290932,0.15988651468348775,167.10412442963957,11,0.1077479019011543,0
all,freeze,oos,BTC,24,8,1499,0.542361574382922,16.203208667417275,0.1598865146834876,101.34193430567458,8,0.08087856856866532,0
all,freeze,full,DOGE,24,8,4450,0.5896629213483147,897894.8474697195,0.18684021492761874,4805683.015391312,11,0.1071603198130939,0
all,freeze,is,DOGE,24,8,2904,0.6074380165289256,31910.33313323324,0.18684021492761874,170789.4263855091,11,0.1071603198130939,0
all,freeze,oos_warm,DOGE,24,8,1546,0.55627425614489,27.137208925772942,0.13212966156945902,205.38317137448527,10,0.09969381485514375,0
all,freeze,oos,DOGE,24,8,1488,0.5504032258064516,18.05982139437678,0.13212966156945902,136.68256756173514,8,0.08087856856866532,0
all,freeze,full,ETH,24,8,4407,0.5897435897435898,1004113.4532406128,0.19469135486211372,5157462.969795223,11,0.1071603198130939,0
all,freeze,is,ETH,24,8,2880,0.6149305555555555,58119.41655749183,0.19469135486211372,298520.7874209605,11,0.1071603198130939,0
all,freeze,oos_warm,ETH,24,8,1527,0.5422396856581533,16.276449700723568,0.1631726210769944,99.74988201631808,10,0.08882742681317277,0
all,freeze,oos,ETH,24,8,1477,0.5355450236966824,11.09264592501083,0.16317262107699396,67.98104885363519,9,0.08882742681317277,0
all,freeze,full,LINK,24,8,4415,0.5947904869762174,1253933.5199907098,0.1955730688125407,6411585.846682302,11,0.10791249192128079,0
all,freeze,is,LINK,24,8,2856,0.613795518207283,40539.722822986296,0.1955730688125407,207286.83693072354,11,0.10791249192128079,0
all,freeze,oos_warm,LINK,24,8,1559,0.5599743425272611,29.930245754763288,0.135849124533132,220.31975441596353,10,0.09762254858045105,0
all,freeze,oos,LINK,24,8,1500,0.5546666666666666,20.3801742789714,0.1358491245331321,150.02065231565697,9,0.08223525829760321,0
all,freeze,full,LTC,24,8,4468,0.592882721575649,1448213.1397819414,0.18723136294744716,7734885.42188539,12,0.1136081082275605,0
all,freeze,is,LTC,24,8,2917,0.6133013369900583,55380.60571260123,0.18723136294744716,295787.01367540477,11,0.11000131073064062,0
all,freeze,oos_warm,LTC,24,8,1551,0.5544809800128949,25.149731867605055,0.1299852931725489,193.4813643434266,12,0.11360810822756047,0
all,freeze,oos,LTC,24,8,1484,0.5464959568733153,15.725747200571268,0.1299852931725492,120.98097266816254,9,0.08265083149675558,0
all,freeze,full,SOL,24,8,4323,0.5928753180661578,602746.0406238649,0.19107652512736062,3154474.576205052,11,0.10790157069274137,0
all,freeze,is,SOL,24,8,2807,0.6156038475240471,31965.160438288414,0.19107652512736062,167289.83540485823,11,0.10790157069274137,0
all,freeze,oos_warm,SOL,24,8,1516,0.5507915567282322,17.855784753614202,0.1594093087730871,112.01218354839749,11,0.10688124636603981,0
all,freeze,oos,SOL,24,8,1475,0.5444067796610169,12.759575415734664,0.15587341301722504,81.8585746520136,9,0.08882742681317277,0
all,freeze,full,TRX,24,8,4421,0.586745080298575,852721.7809699596,0.16240852723686797,5250474.192936252,12,0.1136098646369171,0
all,freeze,is,TRX,24,8,2849,0.6054756054756055,29313.1797660339,0.1583636069264799,185100.48069088566,10,0.10010828213231347,0
all,freeze,oos_warm,TRX,24,8,1572,0.5527989821882952,28.08908889062632,0.16240852723686863,172.95328865127328,12,0.11360986463691711,0
all,freeze,oos,TRX,24,8,1500,0.544,16.785133217864328,0.16240852723686752,103.35130490644595,9,0.08298950926442425,0
all,freeze,full,XRP,24,8,4459,0.5877999551468939,740456.496395496,0.194078435805242,3815243.52936637,12,0.11360810822756048,0
all,freeze,is,XRP,24,8,2891,0.6035973711518505,23212.74480726762,0.194078435805242,119604.96647119334,11,0.1079015706927414,0
all,freeze,oos_warm,XRP,24,8,1568,0.5586734693877551,30.897373842228053,0.14212885107632905,217.38987973409345,12,0.11360810822756051,0
