lens,scope,arm,segment,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,skipped_cell_busy,skipped_notional,num_seeds
pen_5bp,1h,long_only,oos_warm,9,725.0,0.5365517241379311,2.34561942022692,0.0996594110429358,4.0,0.039774932840309,3.9525104440388055,0.0,152.0,0.0,1
pen_5bp,1h,long_short,full,9,4262.0,0.5563115908024402,9326.688557563952,0.1661357597743865,6.0,0.0571666074508434,5.0,0.0,855.0,0.0,1
pen_5bp,1h,long_short,oos_warm,9,1491.0,0.5311871227364185,8.312332406752677,0.1472599926990628,5.0,0.0501784979939251,4.0,0.0,291.0,0.0,1
pen_5bp,2h,long_only,full,9,1032.0,0.5804263565891473,24.2103577328751,0.1235201784078009,5.0,0.0499999999999999,3.1991673364060804,0.0,197.0,0.0,1
pen_5bp,2h,long_only,oos_warm,9,373.0,0.546916890080429,1.167417158390934,0.0935441403696537,4.0,0.04,3.1991673364060804,0.0,79.0,0.0,1
pen_5bp,2h,long_short,full,9,1995.0,0.5644110275689223,231.92101344951865,0.129691661763729,5.0,0.0499999999999999,3.7887881243028474,0.0,384.0,0.0,1
pen_5bp,2h,long_short,oos_warm,9,678.0,0.5339233038348082,2.3023779088596066,0.1210203899566559,4.0,0.04,3.7507594339786343,0.0,134.0,0.0,1
pen_5bp,4h,long_only,full,9,542.0,0.5996309963099631,8.319043327941387,0.090304137850633,7.0,0.07,3.427839819273697,0.0,97.0,0.0,1
pen_5bp,4h,long_only,oos_warm,9,209.0,0.569377990430622,1.0235798469278736,0.0668492261579066,4.0,0.0401060504692885,3.427839819273697,0.0,48.0,0.0,1
pen_5bp,4h,long_short,full,9,1002.0,0.5439121756487026,13.988592479154462,0.1088293217608081,7.0,0.0699999999999999,3.4278398192736965,0.0,184.0,0.0,1
pen_5bp,4h,long_short,oos_warm,9,358.0,0.5111731843575419,0.9035475172469302,0.068147446161778,4.0,0.0401060504692885,3.4278398192736965,0.0,79.0,0.0,1
pen_5bp,all,long_only,full,27,3656.0,0.5820568927789934,51379.272792128184,0.1372867244140334,11.0,0.1079015706927413,5.0,0.0,725.0,7.0,1
pen_5bp,all,long_only,oos_warm,27,1302.0,0.543010752688172,11.58560855093629,0.1372867244140337,10.0,0.0983218431877792,5.0,0.0,278.0,6.0,1
pen_5bp,all,long_short,full,27,7240.0,0.5570441988950277,23205601.631658103,0.2460438464688557,11.0,0.1079015706927413,5.0,0.0,1420.0,21.0,1
pen_5bp,all,long_short,oos_warm,27,2516.0,0.5290143084260731,48.27882895748657,0.2238703946385174,10.0,0.0983218431877792,5.0,0.0,501.0,13.0,1
pen_5bp_drop_50,1h,long_only,full,9,1152.8,0.5745107939293027,19.659704556782874,0.1299032526164261,4.0,0.0380539183054586,3.5903061567861245,0.0,114.2,0.0,5
pen_5bp_drop_50,1h,long_only,oos_warm,9,432.6,0.536156962926332,1.0700025670987976,0.1083286642086772,4.0,0.0354253352891206,3.563581282598161,0.0,49.8,0.0,5
pen_5bp_drop_50,1h,long_short,full,9,2345.0,0.552317026232083,136.54515879823245,0.15515460314758,4.6,0.0445981116779648,4.075932925618285,0.0,238.8,0.0,5
pen_5bp_drop_50,1h,long_short,oos_warm,9,854.0,0.5259428232424732,2.46843265572272,0.1502410572514501,4.2,0.0397852426435982,3.874974236382904,0.0,89.4,0.0,5
pen_5bp_drop_50,2h,long_only,full,9,586.8,0.5755802846756172,4.7269923798907225,0.0883296378612913,3.8,0.038,2.760514704789719,0.0,56.6,0.0,5
