symbol,timeframe,segment,feature,remove_fraction,arm,seed,lens,threshold,num_candidates,num_trades,total_return,max_drawdown,win_rate,death_rate
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,2,baseline,40.27321667736731,71.0,56.0,0.0409906070586579,0.0385112954239383,0.5,0.0714285714285714
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,3,baseline,40.27321667736731,71.0,55.0,0.0361463329733389,0.0455019681438768,0.509090909090909,0.0909090909090909
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,4,baseline,40.27321667736731,71.0,53.0,0.0473869372358309,0.041355834422262,0.5094339622641509,0.1320754716981132
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,5,baseline,40.27321667736731,71.0,50.0,0.041959001453579,0.0358961825157037,0.52,0.12
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,6,baseline,40.27321667736731,71.0,54.0,0.0052162961036156,0.0332879546439239,0.4814814814814814,0.074074074074074
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,7,baseline,40.27321667736731,71.0,56.0,-0.054893726457673,0.0950491231103085,0.4285714285714285,0.1428571428571428
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,8,baseline,40.27321667736731,71.0,56.0,0.0236680378445926,0.0511337909246048,0.5,0.125
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,9,baseline,40.27321667736731,71.0,50.0,0.0394980284734227,0.0447840702374289,0.5,0.14
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,10,baseline,40.27321667736731,71.0,49.0,0.0553747867605423,0.0349561183552966,0.5102040816326531,0.1020408163265306
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,11,baseline,40.27321667736731,71.0,54.0,0.0723164045743975,0.0347450170110791,0.5370370370370371,0.1111111111111111
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,12,baseline,40.27321667736731,71.0,56.0,0.0125259357801967,0.0430028785904886,0.4642857142857143,0.1428571428571428
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,13,baseline,40.27321667736731,71.0,49.0,0.0192086685355347,0.0539077221414971,0.5306122448979592,0.0816326530612244
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,14,baseline,40.27321667736731,71.0,50.0,0.0329297069753303,0.0505175029849548,0.5,0.1
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,15,baseline,40.27321667736731,71.0,53.0,0.0902457190927338,0.04245852299148,0.5471698113207547,0.0943396226415094
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,16,baseline,40.27321667736731,71.0,49.0,-0.0137137207305895,0.0572565779763499,0.4693877551020408,0.0612244897959183
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,17,baseline,40.27321667736731,71.0,51.0,0.0395697269437294,0.0437642788187208,0.4901960784313725,0.0588235294117647
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,18,baseline,40.27321667736731,71.0,52.0,0.0520207817383457,0.0364312805170693,0.5384615384615384,0.0961538461538461
BTC/USDT:USDT,1h,oos,tap_rsi,0.5,matched_random,19,baseline,40.27321667736731,71.0,52.0,0.0036480968159061,0.0426901817598339,0.4615384615384615,0.0769230769230769
