symbol,timeframe,entry_ms,entry_utc,day,entry_price,stop_price,take_profit_price,is_reentry,take_profit_derived,net_r
SOL/USDT:USDT,15m,1770337200000,2026-02-06 00:20,2026-02-06,67.46949120000001,66.808,68.46172800000001,True,True,1.3864750413998037
SOL/USDT:USDT,15m,1783964160000,2026-07-13 17:36,2026-07-13,74.604918,74.23,75.167295,False,False,1.2798011414736177
SOL/USDT:USDT,1h,1769884980000,2026-01-31 18:43,2026-01-31,95.799156,94.56,97.65788999999998,True,True,1.4136247569942733
SOL/USDT:USDT,1h,1769885040000,2026-01-31 18:44,2026-01-31,95.799156,94.56,97.65788999999998,True,True,1.413624756994273
SOL/USDT:USDT,4h,1740435000000,2025-02-24 22:10,2025-02-24,139.0518048,135.427,144.48901199999997,False,False,1.4564606695627846
SOL/USDT:USDT,4h,1760131260000,2025-10-10 21:21,2025-10-10,141.538302,137.0,148.34575499999997,False,False,1.4643502854704271
SOL/USDT:USDT,4h,1769884980000,2026-01-31 18:43,2026-01-31,96.309258,93.116,101.099145,True,True,1.4654801264817952
TRX/USDT:USDT,15m,1738536060000,2025-02-02 22:41,2025-02-02,0.221724336,0.22088,0.22299084,False,False,1.2098406025184334
TRX/USDT:USDT,15m,1750179120000,2025-06-17 16:52,2025-06-17,0.270464082,0.26955,0.2718352049999999,False,False,1.173234858733696
TRX/USDT:USDT,15m,1753879320000,2025-07-30 12:42,2025-07-30,0.320224032,0.31902,0.3220300799999999,False,False,1.2061477831286875
TRX/USDT:USDT,1h,1753879260000,2025-07-30 12:41,2025-07-30,0.32216442,0.3198,0.32571105,False,False,1.3487968775471362
TRX/USDT:USDT,1h,1753879320000,2025-07-30 12:42,2025-07-30,0.32216442,0.3198,0.32571105000000006,True,True,1.3487968775471364
TRX/USDT:USDT,1h,1761763140000,2025-10-29 18:39,2025-10-29,0.2908981679999999,0.28933,0.2932504199999999,False,False,1.2946352932109284
