symbol,timeframe,exit_ms,day,stop_price,quantity,notional,num_ticks,minute_volume,fill_price,filled_qty,first_price,slippage_bp,first_tick_bp,size_share_of_minute,slippage_bp_x10,slippage_bp_x100,short_fill_x10,short_fill_x100,tick_high_matches_bar,note
DOT/USDT:USDT,15m,1760110200000,2025-10-10,4.062,2446.2932223929574,9936.843069360191,850,1616954.0000000007,4.062902873458576,2446.2932223929574,4.062,2.2227313111168097,0.0,0.0015129021743308445,1.7662349981282255,2.640111691866957,False,False,True,
DOT/USDT:USDT,15m,1760130840000,2025-10-10,3.425,2892.9399305324123,9908.319262073512,4605,3093439.5999999978,3.425,2892.9399305324123,3.425,0.0,0.0,0.000935185523109103,12.761447194908095,10.64523713868278,False,False,True,
DOT/USDT:USDT,15m,1761681960000,2025-10-28,3.055,3260.9264187606054,9962.130209313653,352,466367.69999999995,3.055291144257208,3260.9264187606054,3.055,0.953009025230036,0.0,0.006992178958278212,8.52809212513141,10.49336280938277,False,True,True,
DOT/USDT:USDT,15m,1762891080000,2025-11-11,3.124,2743.379175061016,8570.316542890614,150,127482.19999999998,3.1239999999999997,2743.379175061016,3.124,1.42154036443682e-12,0.0,0.021519703731666198,4.095797783610923,10.572346761142192,False,True,True,
DOT/USDT:USDT,15m,1764860280000,2025-12-04,2.303,4193.788779831089,9658.295559951,151,213082.99999999997,2.303,4193.788779831089,2.303,0.0,0.0,0.019681479892019026,2.7660457927058997,4.0671711141538776,False,True,True,
DOT/USDT:USDT,15m,1769699340000,2026-01-29,1.733,5742.676852337746,9952.058985101314,270,303127.10000000003,1.7331078899036583,5742.676852337746,1.733,0.6225614752347142,0.0,0.018944782080974432,2.3240046618709846,5.051614837021298,False,True,True,
ETH/USDT:USDT,4h,1733778300000,2024-12-09,3502.01,0.8361611187487953,2928.2445994694685,27394,109229.73899999178,3502.002284248761,0.8361611187487954,3502.01,0.02203235067625451,0.0,7.655068357792727e-06,0.027902761912251176,0.028489803035461284,False,False,True,
ETH/USDT:USDT,15m,1740435000000,2025-02-24,2542.21,1.7152659250520188,4360.566187326493,24845,92451.47500000296,2542.21,1.7152659250520188,2542.21,0.0,0.0,1.8553148287271392e-05,0.12290892846097487,2.7716611287664756,False,False,True,
ETH/USDT:USDT,15m,1757771460000,2025-09-13,4670.35,2.1246175167265724,9922.707419243949,23218,104806.21099999904,4670.382627743088,2.1246175167265724,4670.35,0.06986145168496391,0.0,2.0271866490112804e-05,0.3210638832923532,0.22840488079080346,False,False,True,
ETH/USDT:USDT,15m,1766167140000,2025-12-19,2936.64,3.391833633697615,9960.594322061765,10546,40932.24399999939,2936.6368429063764,3.391833633697615,2936.64,0.010750700199839638,0.0,8.286459041184416e-05,0.03172234036858221,0.11243522227966884,False,False,True,
ETH/USDT:USDT,15m,1779809460000,2026-05-26,2088.63,4.7672862516963095,9957.097083880464,7104,37551.54299999925,2088.6066650654666,4.7672862516963095,2088.63,0.11172363957964195,0.0,0.00012695313882831407,0.21630231258387286,0.7249534623030014,False,False,True,
ETH/USDT:USDT,15m,1782076140000,2026-06-21,1707.11,0.626404179449432,1069.34083877992,14336,73885.02899999978,1707.1100000000001,0.626404179449432,1707.11,1.3319216420923787e-12,0.0,8.478093436891443e-06,0.03213272573507124,0.4570307049635865,False,False,True,
LINK/USDT:USDT,4h,1736453580000,2025-01-09,19.279,22.412744496147152,432.09530114122094,853,109166.67999999992,19.279,22.412744496147152,19.279,0.0,0.0,0.00020530755809508147,0.0,0.5193828521855193,False,False,True,
LINK/USDT:USDT,15m,1744726800000,2025-04-15,12.361,455.54848949232354,5631.034878614611,1177,226748.24999999977,12.360303919348201,455.54848949232354,12.361,0.5631264879859971,0.0,0.0020090496376149497,3.3397402892558636,2.8650336708517945,False,False,True,
LINK/USDT:USDT,15m,1753902060000,2025-07-30,17.149,269.90320191566633,4628.570009651762,966,142077.4700000001,17.14693503892584,269.90320191566633,17.149,1.2041291469831656,0.0,0.0018996903725528485,1.6028734584741278,4.835319550268674,False,False,True,
LINK/USDT:USDT,15m,1760131200000,2025-10-10,9.165,454.80055631204215,4168.247098599866,5967,713890.9500000026,9.19139290728214,454.80055631204215,9.162,28.79749839840753,3.2733224222567787,0.0006370728698998642,62.77221007668318,115.17234554548342,False,False,True,
LINK/USDT:USDT,1h,1768172640000,2026-01-11,13.08,760.6581822407738,9949.409023709322,460,79611.18000000008,13.079804395475241,760.6581822407738,13.08,0.14954474369943682,0.0,0.009554665340229513,0.5165850899218203,10.77864698300109,False,True,True,
LINK/USDT:USDT,15m,1771895760000,2026-02-24,8.171,1219.119668323377,9961.426809870312,1010,270501.5400000008,8.171,1219.119668323377,8.171,0.0,0.0,0.004506886239255324,1.2651079298419479,8.234254777338439,False,False,True,
LINK/USDT:USDT,15m,1771895760000,2026-02-24,8.137,1220.9061423763603,9934.513280516449,1010,270501.5400000008,8.13844828366879,1220.9061423763603,8.137,1.7798742396333844,0.0,0.004513490541962743,9.997918365566473,11.47140048834735,False,True,True,
LTC/USDT:USDT,1h,1727795040000,2024-10-01,64.79,152.9213888026922,9907.776780526428,593,29588.93700000001,64.79,152.9213888026922,64.79,0.0,0.0,0.005168194748013157,0.6011135507175656,1.6576327164440259,False,True,True,
LTC/USDT:USDT,1h,1744740420000,2025-04-15,74.88,94.7702012160902,7096.392667060835,169,3865.182999999999,74.8795159658672,94.7702012160902,74.88,0.06464131046959082,0.0,0.024518942884745747,1.9843856816665497,5.11671531966217,False,True,True,
LTC/USDT:USDT,15m,1754556900000,2025-08-07,117.78,84.47824588018604,9949.847799768311,303,13073.859000000008,117.78029951449084,84.47824588018604,117.78,0.025429995825605817,0.0,0.006461615188001185,0.787663765892073,9.264752164204694,False,False,True,
LTC/USDT:USDT,15m,1760131200000,2025-10-10,60.07,165.25620495735564,9926.940231788352,9889,182114.2090000001,60.0257581374973,165.25620495735564,60.05,7.3650511907277645,3.3294489761949606,0.0009074316928085252,30.321086385123966,330.5571668204856,False,False,True,
LTC/USDT:USDT,1h,1763710320000,2025-11-21,85.25,50.57038335384814,4311.125180915555,701,20325.53199999999,85.25000000000001,50.57038335384814,85.25,1.6669624299357188e-12,0.0,0.0024880226187362856,3.12818683116809,1.0967075022919952,False,False,True,
LTC/USDT:USDT,1h,1771762920000,2026-02-22,54.21,182.79032564557383,9909.06355324656,55,2252.0580000000004,54.20417861283032,182.79032564557383,54.21,1.0738585444903466,0.0,0.08116590498360779,1.2392729135315903,1.2392729135315903,True,True,True,
LTC/USDT:USDT,2h,1774137660000,2026-03-22,54.33,182.7788007297992,9930.37224364999,859,25230.96000000009,54.32372707336562,182.7788007297992,54.33,1.1545972086104983,0.0,0.0072442269628186385,4.550468923341584,10.30021303070749,False,False,True,
LTC/USDT:USDT,15m,1781112600000,2026-06-10,41.78,231.84914426806185,9686.657247519624,350,27181.117999999988,41.78010351558586,231.84914426806185,41.78,0.024776348936326787,0.0,0.008529786900894289,1.9785027195136704,12.828689570974511,False,True,True,
SOL/USDT:USDT,15m,1738547280000,2025-02-03,185.72,53.41953622526189,9921.07626775564,9511,286929.0,185.72,53.41953622526189,185.72,0.0,0.0,0.00018617684592795393,0.8289329729066441,10.443120859814773,False,False,True,
