segment,threshold,scope,seed,is_actual,num_trades,mean_net_r,sum_net_r,win_rate,max_drawdown,blocked_candidates,trip_days
oos_warm,-10.0,both,16,False,871,-0.07167646110374204,-62.43019762135931,0.39150401836969,0.7948106273420147,10,2
oos_warm,-10.0,both,17,False,868,-0.07078926575055272,-61.44508267147977,0.391705069124424,0.765467760868909,10,2
oos_warm,-10.0,both,18,False,867,-0.07247084436457749,-62.83222206408868,0.39100346020761245,0.7726195406487503,8,2
oos_warm,-10.0,both,19,False,866,-0.07453531871476061,-64.5475860069827,0.3903002309468822,0.7517741539474743,27,4
oos_warm,-15.0,both,-1,True,786,-0.04932286572180568,-38.76777245733926,0.40076335877862596,0.5771143893034152,93,2
oos_warm,-15.0,both,0,False,871,-0.07165295587478261,-62.40972456693565,0.39150401836969,0.7853010681963065,9,2
oos_warm,-15.0,both,1,False,873,-0.070968952394592,-61.95589544047881,0.3917525773195876,0.7810916740148319,2,2
oos_warm,-15.0,both,2,False,873,-0.070968952394592,-61.95589544047881,0.3917525773195876,0.7810916740148319,1,1
oos_warm,-15.0,both,3,False,872,-0.06984698816525452,-60.90657368010194,0.3922018348623853,0.7713589163421154,2,1
oos_warm,-15.0,both,4,False,872,-0.07273895601714013,-63.428369646946194,0.39105504587155965,0.7947492909365719,1,1
oos_warm,-15.0,both,5,False,865,-0.07942406490060971,-68.7018161390274,0.3884393063583815,0.8436620065072767,10,2
oos_warm,-15.0,both,6,False,871,-0.07144322017535217,-62.22704477273173,0.39150401836969,0.7757443098599658,4,2
oos_warm,-15.0,both,7,False,870,-0.06738202501676446,-58.62236176458509,0.3931034482758621,0.7674848226017518,8,2
oos_warm,-15.0,both,8,False,865,-0.08229584824509362,-71.18590873200598,0.3872832369942196,0.7810916740148319,25,2
oos_warm,-15.0,both,9,False,872,-0.0698313183142365,-60.892909570014226,0.3922018348623853,0.771232177836045,1,1
oos_warm,-15.0,both,10,False,870,-0.0762439029763442,-66.33219558941946,0.3896551724137931,0.7810916740148319,4,2
oos_warm,-15.0,both,11,False,865,-0.07927113953533253,-68.56953569806264,0.3884393063583815,0.8298315782509255,15,2
oos_warm,-15.0,both,12,False,868,-0.0769660515851036,-66.80653277586993,0.38940092165898615,0.823674195112985,7,2
oos_warm,-15.0,both,13,False,869,-0.06927152315372855,-60.19695362059011,0.3924050632911392,0.7647769885295755,8,1
oos_warm,-15.0,both,14,False,869,-0.06952665079685207,-60.41865954246444,0.3924050632911392,0.7668333739908223,6,2
oos_warm,-15.0,both,15,False,868,-0.06816546080787272,-59.16761998123352,0.39285714285714285,0.7552296263623837,10,2
