segment,axis,bucket,arm,num_trades,triggered,reach_rate,same_minute,median_rise_pct,median_stop_multiple,no_rise_share,missed_trades,missed_win_rate,missed_mean_net_r,window_closed_share
oos_warm,overall,전체,2_교차,14843,9855,0.6639493363875227,565,0.003065062228711839,1.3900902014086236,0.2527650938609843,4988,0.1008420208500401,-0.9113349984466202,0.9992589099238698
oos_warm,overall,전체,C_고정오프셋,14843,7743,0.5216600417705316,2105,0.010259806091708956,2.124711486696327,,7100,0.08915492957746479,-0.9526648971673345,0.9992589099238698
oos_warm,timeframe,15m,1_봉마감,10201,5334,0.5228899127536516,56,0.0038282382583626224,1.5529440171646849,,4867,0.12040271214300391,-0.8857307764918664,0.9991177335555338
oos_warm,timeframe,15m,2_교차,10201,6933,0.6796392510538183,459,0.002559570071282921,1.3900902014086236,0.2502524159815376,3268,0.09210526315789473,-0.9597905383916246,0.9991177335555338
oos_warm,timeframe,15m,C_고정오프셋,10201,4704,0.4611312616410156,1372,0.010259806091708956,2.4573991674281164,,5497,0.100418410041841,-0.9380060134622942,0.9991177335555338
oos_warm,timeframe,1h,1_봉마감,2638,1328,0.5034116755117514,1,0.006907162487031644,1.5349511854835554,,1310,0.1282442748091603,-0.8092192484909205,0.9996209249431387
oos_warm,timeframe,1h,2_교차,2638,1711,0.6485974222896134,63,0.004452201213796087,1.3811926379869508,0.2630040911747516,927,0.10248112189859762,-0.8764510993333706,0.9996209249431387
oos_warm,timeframe,1h,C_고정오프셋,2638,1611,0.6106899166034875,383,0.010259806091708961,1.8044463413829839,,1027,0.045764362220058426,-1.0273289204477885,0.9996209249431387
oos_warm,timeframe,2h,1_봉마감,1350,645,0.4777777777777778,2,0.010161993297272026,1.5938291645310823,,705,0.1673758865248227,-0.6764811734985243,0.9992592592592593
oos_warm,timeframe,2h,2_교차,1350,833,0.617037037037037,34,0.006495429148989454,1.4060114065473501,0.2605042016806723,517,0.14119922630560927,-0.7467012673384662,0.9992592592592593
oos_warm,timeframe,2h,C_고정오프셋,1350,937,0.6940740740740741,232,0.010259806091708956,1.5719760732657653,,413,0.07263922518159806,-0.9331190785033899,0.9992592592592593
oos_warm,timeframe,4h,1_봉마감,654,282,0.43119266055045874,0,0.014119503825543767,1.594987552419231,,372,0.15053763440860216,-0.6910185268053547,1.0
oos_warm,timeframe,4h,2_교차,654,378,0.5779816513761468,9,0.009207595386706078,1.4018488321739648,0.23544973544973544,276,0.12318840579710146,-0.7631477119271419,1.0
oos_warm,timeframe,4h,C_고정오프셋,654,491,0.7507645259938838,118,0.010259806091708954,1.4277359928215987,,163,0.024539877300613498,-1.0261149273869035,1.0
oos,overall,전체,1_봉마감,14534,7465,0.5136232282922801,59,0.00459754498236619,1.5491073684322685,,7069,0.12561889942000282,-0.8484659436588311,0.9991743498004678
oos,overall,전체,2_교차,14534,9678,0.6658868859226641,555,0.0030068014752193503,1.385711428126905,0.25263484190948543,4856,0.09905271828665568,-0.9167667803514302,0.9991743498004678
oos,overall,전체,C_고정오프셋,14534,7524,0.5176826751066465,2021,0.010259806091708956,2.1327338360680246,,7010,0.08930099857346648,-0.952760450731327,0.9991743498004678
oos,timeframe,15m,1_봉마감,10043,5282,0.5259384646022105,56,0.0037880921826691,1.5506906323976517,,4761,0.11804242806133165,-0.8925296732862723,0.9991038534302499
oos,timeframe,15m,2_교차,10043,6855,0.6825649706263068,450,0.002534789931715051,1.3874596215580413,0.249890590809628,3188,0.08939774153074027,-0.9675207719338061,0.9991038534302499
oos,timeframe,15m,C_고정오프셋,10043,4602,0.4582296126655382,1319,0.010259806091708956,2.4552931410483287,,5441,0.10053299025914354,-0.9380676018631696,0.9991038534302499
oos,timeframe,1h,1_봉마감,2567,1294,0.5040903778730035,1,0.006748508126368173,1.5251223525064748,,1273,0.12568735271013354,-0.8162270110551446,0.9996104402025711
oos,timeframe,1h,2_교차,2567,1663,0.6478379431242696,62,0.004306109005530006,1.375845411801504,0.26638604930847865,904,0.09845132743362832,-0.886817283486373,0.9996104402025711
oos,timeframe,1h,C_고정오프셋,2567,1561,0.6081028437865212,371,0.010259806091708961,1.8118806822182996,,1006,0.04473161033797217,-1.0300855275055245,0.9996104402025711
oos,timeframe,2h,1_봉마감,1299,617,0.4749807544264819,2,0.009579677772544056,1.5869210306995192,,682,0.16715542521994134,-0.6776247142624425,0.9992301770592764
oos,timeframe,2h,2_교차,1299,798,0.6143187066974596,35,0.0062637254392903284,1.3943299155050712,0.2518796992481203,501,0.14570858283433133,-0.7360360660780184,0.9992301770592764
oos,timeframe,2h,C_고정오프셋,1299,893,0.6874518860662048,220,0.010259806091708956,1.5853898156203798,,406,0.07389162561576355,-0.9302179560647011,0.9992301770592764
oos,timeframe,4h,1_봉마감,625,272,0.4352,0,0.013214181479198624,1.5575770994008689,,353,0.14730878186968838,-0.7004955835924938,0.9984
oos,timeframe,4h,2_교차,625,362,0.5792,8,0.008727802167627082,1.3911350721364963,0.2430939226519337,263,0.12927756653992395,-0.748769471805335,0.9984
oos,timeframe,4h,C_고정오프셋,625,468,0.7488,111,0.010259806091708956,1.4408272168926426,,157,0.025477707006369428,-1.0247796627787884,0.9984
