symbol,timeframe,segment,tp_rule,guard,r_multiple,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data
BTC/USDT:USDT,1h,is,zone_height,0.0,3.0,361,275,150,0.7617728531855956,0.3299680070833958,0.1084309056804074,0.3533333333333333,12.205338352697757,0.744943731253847,53,97,0
BTC/USDT:USDT,1h,oos,entry_r,0.003,1.0,245,170,98,0.6938775510204082,0.0457253556644671,0.0747896470252549,0.5918367346938775,5.3578995077687095,0.1836734693877552,58,40,0
BTC/USDT:USDT,1h,oos,entry_r,0.0,1.0,245,170,113,0.6938775510204082,0.0400036353882003,0.0734473224657382,0.584070796460177,4.412503863944132,0.2389380530973452,70,43,0
BTC/USDT:USDT,1h,oos,zone_height,0.003,1.0,245,170,98,0.6938775510204082,0.0563066734559754,0.074426180896735,0.5612244897959183,6.134296499434833,0.169272713458598,55,43,0
BTC/USDT:USDT,1h,oos,zone_height,0.0,1.0,245,170,109,0.6938775510204082,0.0499320299642933,0.0778049249569514,0.5504587155963303,5.188674021979532,0.2491920910617698,60,49,0
BTC/USDT:USDT,1h,oos,entry_r,0.003,1.5,245,170,86,0.6938775510204082,0.0874599550898185,0.0633480922983084,0.5,8.973307395469886,0.2499999999999997,43,43,0
BTC/USDT:USDT,1h,oos,entry_r,0.0,1.5,245,170,97,0.6938775510204082,0.0788529039465027,0.0691259177365598,0.5051546391752577,7.667642854482103,0.2886597938144357,50,47,0
BTC/USDT:USDT,1h,oos,zone_height,0.003,1.5,245,170,85,0.6938775510204082,0.0885171312562055,0.0713692104010095,0.4705882352941176,8.638004287226218,0.2361327981413493,40,45,0
BTC/USDT:USDT,1h,oos,zone_height,0.0,1.5,245,170,94,0.6938775510204082,0.0783465503131667,0.0823634614896233,0.4574468085106383,7.329134896046343,0.3135622188480195,43,51,0
BTC/USDT:USDT,1h,oos,entry_r,0.003,2.0,245,170,72,0.6938775510204082,0.0552385002256052,0.0768721041443542,0.4166666666666667,6.102197346383727,0.25,30,42,0
BTC/USDT:USDT,1h,oos,entry_r,0.0,2.0,245,170,80,0.6938775510204082,0.0479400199588735,0.0807218242959472,0.425,5.1018815674884825,0.275,34,46,0
BTC/USDT:USDT,1h,oos,zone_height,0.003,2.0,245,170,71,0.6938775510204082,0.0520191327463928,0.0813599653246041,0.3943661971830985,5.6641051851833515,0.2376962452514077,28,43,0
BTC/USDT:USDT,1h,oos,zone_height,0.0,2.0,245,170,78,0.6938775510204082,0.0381855691402213,0.092449175226458,0.3717948717948718,4.131871467094523,0.2000291563202537,29,49,0
BTC/USDT:USDT,1h,oos,entry_r,0.003,3.0,245,170,66,0.6938775510204082,0.0560295257776422,0.0727480749473011,0.3181818181818182,5.641514273056223,0.2727272727272725,21,45,0
BTC/USDT:USDT,1h,oos,entry_r,0.0,3.0,245,170,73,0.6938775510204082,0.0511931091824,0.0759981827290944,0.3287671232876712,4.96172809016529,0.3150684931506847,24,49,0
BTC/USDT:USDT,1h,oos,zone_height,0.003,3.0,245,170,66,0.6938775510204082,0.0413626156786709,0.0727480749473009,0.303030303030303,4.357020222278062,0.2316009387653829,20,46,0
BTC/USDT:USDT,1h,oos,zone_height,0.0,3.0,245,170,73,0.6938775510204082,0.0312093204171969,0.0788634465890866,0.2876712328767123,3.299115287287527,0.2243071661467128,21,52,0
ETH/USDT:USDT,1h,full,entry_r,0.003,1.0,692,527,321,0.7615606936416185,0.6962117201250505,0.0646771040933673,0.660436137071651,18.330422515417915,0.3208722741433022,212,109,0
ETH/USDT:USDT,1h,full,entry_r,0.0,1.0,692,527,335,0.7615606936416185,0.7181032404657599,0.0629490093697949,0.6716417910447762,18.365312966758264,0.3492537313432836,226,109,0
ETH/USDT:USDT,1h,full,zone_height,0.003,1.0,692,527,315,0.7615606936416185,0.6387929899528247,0.0847075447234664,0.6095238095238096,16.1595051006475,0.3180763442745407,192,123,0
ETH/USDT:USDT,1h,full,zone_height,0.0,1.0,692,527,326,0.7615606936416185,0.6677274426187556,0.0884119086578592,0.6073619631901841,16.342984035634824,0.3753994855878444,198,128,0
ETH/USDT:USDT,1h,full,entry_r,0.003,1.5,692,527,283,0.7615606936416185,0.7521170161558861,0.1162612747507517,0.5477031802120141,17.176756721035787,0.3692579505300353,155,128,0
ETH/USDT:USDT,1h,full,entry_r,0.0,1.5,692,527,294,0.7615606936416185,0.794528709965021,0.111870879359168,0.564625850340136,17.548739466593773,0.4115646258503402,166,128,0
ETH/USDT:USDT,1h,full,zone_height,0.003,1.5,692,527,276,0.7615606936416185,0.6861968066156878,0.1307955787793802,0.5036231884057971,15.393339490241,0.3710615705507565,139,137,0
ETH/USDT:USDT,1h,full,zone_height,0.0,1.5,692,527,286,0.7615606936416185,0.7237499125988816,0.1276443382179154,0.5034965034965035,15.655922558296112,0.4306674032998266,144,142,0
ETH/USDT:USDT,1h,full,entry_r,0.003,2.0,692,527,253,0.7615606936416185,0.4871566065020011,0.1261139297505601,0.4466403162055335,11.792682392993834,0.3399209486166009,113,140,0
ETH/USDT:USDT,1h,full,entry_r,0.0,2.0,692,527,264,0.7615606936416185,0.5284193989739462,0.1219236607290969,0.4659090909090909,12.29236547153972,0.3977272727272728,123,141,0
