symbol,entry_tf,resistance_tf,segment,combine,n_setups,n_with_resistance,frac_no_resistance,dist_median,dist_q25,dist_q75,frac_below_near,frac_above_far,frac_within_mfe
XRP/USDT:USDT,1h,5m,oos,False,129,129,0.0,1.6980201613488566,0.7919380005101924,2.888319340925222,0.10852713178294573,0.23255813953488372,0.4108527131782946
XRP/USDT:USDT,1h,combined,is,False,295,294,0.003389830508474576,1.3903346188190326,0.7834655409545328,2.712022653049468,0.11564625850340136,0.20408163265306123,0.4557823129251701
XRP/USDT:USDT,1h,combined,oos,False,129,129,0.0,1.4394903073716971,0.6862997341045723,2.430477519146937,0.17829457364341086,0.18604651162790697,0.4728682170542636
TRX/USDT:USDT,1h,15m,is,False,244,239,0.020491803278688523,2.129785660375158,1.2104504643059075,4.077511776541707,0.058577405857740586,0.37656903765690375,0.42677824267782427
TRX/USDT:USDT,1h,15m,oos,False,129,129,0.0,3.06396510702609,1.6116178588574679,5.3612845895090375,0.0,0.5116279069767442,0.31007751937984496
TRX/USDT:USDT,1h,1h,is,False,244,231,0.05327868852459016,3.4370837280325435,1.5695592107644654,6.611238650930077,0.04329004329004329,0.5454545454545454,0.36796536796536794
TRX/USDT:USDT,1h,1h,oos,False,129,129,0.0,4.858585262337639,2.4121047597127245,9.976971580198146,0.015503875968992248,0.6434108527131783,0.26356589147286824
TRX/USDT:USDT,1h,5m,is,False,244,240,0.01639344262295082,1.7038307492268001,0.8283706552672138,3.1038954989127054,0.1,0.2625,0.45
TRX/USDT:USDT,1h,5m,oos,False,129,129,0.0,2.457129038703188,1.3669624866746475,4.279192983125679,0.015503875968992248,0.4418604651162791,0.32558139534883723
TRX/USDT:USDT,1h,combined,is,False,244,240,0.01639344262295082,1.5422424664490648,0.7786053419980977,2.8799747532946385,0.1375,0.23333333333333334,0.48333333333333334
TRX/USDT:USDT,1h,combined,oos,False,129,129,0.0,2.2258385077974623,1.2133662507179874,3.878297959287896,0.023255813953488372,0.3643410852713178,0.35658914728682173
BTC/USDT:USDT,15m,15m,is,False,1309,1247,0.04736440030557677,3.256369266953987,1.5704829240236111,6.220091666381618,0.052125100240577385,0.5308740978348035,0.3392141138732959
BTC/USDT:USDT,15m,15m,oos,False,695,694,0.0014388489208633094,3.292831053189022,1.6906490856586716,6.649880720903886,0.04610951008645533,0.5576368876080692,0.28097982708933716
BTC/USDT:USDT,15m,1m,is,False,1309,1305,0.0030557677616501145,1.4899414038457732,0.783431077910125,2.973688758931276,0.12183908045977011,0.24521072796934865,0.4804597701149425
BTC/USDT:USDT,15m,1m,oos,False,695,695,0.0,1.6059868691788304,0.8807432468726708,2.9802551975880847,0.11366906474820145,0.2460431654676259,0.42158273381294964
BTC/USDT:USDT,15m,5m,is,False,1309,1289,0.015278838808250574,2.1835175175885593,1.1936684411979865,4.14368453150993,0.06516679596586501,0.37470907680372384,0.4057408844065167
BTC/USDT:USDT,15m,5m,oos,False,695,695,0.0,2.2727912517405437,1.1855728516083641,4.6086846689153536,0.05755395683453238,0.3942446043165468,0.34388489208633094
BTC/USDT:USDT,15m,combined,is,False,1309,1308,0.0007639419404125286,1.4058483939258877,0.7265328615715971,2.7470628115176536,0.14296636085626913,0.21788990825688073,0.5061162079510704
BTC/USDT:USDT,15m,combined,oos,False,695,695,0.0,1.4398358782473746,0.7805496271048156,2.7959405869906107,0.1410071942446043,0.2273381294964029,0.4503597122302158
ETH/USDT:USDT,15m,15m,is,False,1254,1229,0.019936204146730464,3.3145139442094416,1.779645807613878,5.770772678397762,0.02034174125305126,0.5459723352318958,0.2994304312449146
ETH/USDT:USDT,15m,15m,oos,False,732,720,0.01639344262295082,2.9452558317762056,1.4202017307231534,5.6127346022825355,0.06527777777777778,0.49166666666666664,0.3597222222222222
ETH/USDT:USDT,15m,1m,is,False,1254,1251,0.0023923444976076554,1.633794803717073,0.9362919921888819,2.875529049885216,0.0903277378097522,0.23341326938449242,0.434052757793765
ETH/USDT:USDT,15m,1m,oos,False,732,732,0.0,1.4780759500219816,0.8233703658632046,2.5923196119855376,0.1448087431693989,0.21721311475409835,0.5
ETH/USDT:USDT,15m,5m,is,False,1254,1249,0.003987240829346092,2.312569440161488,1.2689246937912175,4.086733081482682,0.03682946357085669,0.37229783827061647,0.36188951160928745
ETH/USDT:USDT,15m,5m,oos,False,732,730,0.00273224043715847,1.9694680343432385,0.9778680624163893,3.7642895070154307,0.10136986301369863,0.32465753424657534,0.42876712328767125
ETH/USDT:USDT,15m,combined,is,False,1254,1253,0.0007974481658692185,1.485486222511263,0.8557669669247151,2.6204834331224336,0.10694333599361533,0.2011173184357542,0.46608140462889064
ETH/USDT:USDT,15m,combined,oos,False,732,732,0.0,1.3126659562810983,0.6861478405089879,2.3718015786352904,0.1680327868852459,0.18442622950819673,0.5355191256830601
SOL/USDT:USDT,15m,15m,is,False,1297,1272,0.01927525057825752,3.7759550481287008,2.082863206838318,6.474212674935618,0.015723270440251572,0.6029874213836478,0.2586477987421384
SOL/USDT:USDT,15m,15m,oos,False,669,669,0.0,3.7325947946897955,1.8842938053105078,6.764118680099758,0.03587443946188341,0.5889387144992526,0.28400597907324365
SOL/USDT:USDT,15m,1m,is,False,1297,1297,0.0,1.7059783931036825,1.0351423180232957,2.9707491220602984,0.05705474171164225,0.24826522744795682,0.4348496530454896
SOL/USDT:USDT,15m,1m,oos,False,669,669,0.0,1.659649573289104,0.9440302962579806,2.987117352863826,0.08520179372197309,0.24663677130044842,0.45739910313901344
SOL/USDT:USDT,15m,5m,is,False,1297,1296,0.0007710100231303007,2.523505755106057,1.5563911957089451,4.6240119720801784,0.018518518518518517,0.4174382716049383,0.32407407407407407
