symbol,timeframe,segment,lens,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,real_zones,fake_zones,pool_k,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold,real_mean_net_r,random_mean_net_r,real_taps,real_invalidation_taps,fake_taps,fake_invalidation_taps
LINK/USDT:USDT,2h,oos_warm,baseline,False,-0.2094120004081975,123,123,0,824,705,2820,4,-0.0652041415660677,-0.2202170700208358,0.1181971858917351,0.96,200,0,-0.1827195467422097,-0.2089670531929678,-0.0728478946223051,2161,207,8697,895
LINK/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.2159068529506347,122,122,0,814,705,2820,4,-0.1014307891643971,-0.2459931510822134,0.0660036788354234,0.92,200,0,-0.1827195467422097,-0.2217209146401992,-0.122741159689539,2161,207,8697,895
LTC/USDT:USDT,2h,is,baseline,False,-0.2266143426103878,283,283,0,1650,478,1912,4,-0.1188116313750102,-0.3101552960430392,0.0873299224331347,0.845,200,0,0.2509209987720016,-0.0748796490594798,-0.0698869435420442,1400,182,5516,754
LTC/USDT:USDT,2h,is,pen_5bp,False,-0.279081611389485,282,282,0,1628,478,1912,4,-0.1470416187853119,-0.3732770248586443,0.1388999427319002,0.885,200,0,0.2509209987720016,-0.1177370430819141,-0.0884261984236931,1400,182,5516,754
LTC/USDT:USDT,2h,oos_warm,baseline,False,-0.1641756728802944,135,135,0,762,710,2840,4,-0.1268531729633507,-0.2915964520818452,0.0202183252369924,0.685,200,0,-0.2295162882527147,-0.1221679912393681,-0.1506480818991634,2115,253,8292,1096
LTC/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.1815508552995688,135,135,0,744,710,2840,4,-0.1481324781464731,-0.2993634216035315,0.0030337807787876,0.7,200,0,-0.2295162882527147,-0.143818775205116,-0.1705006072921017,2115,253,8292,1096
ADA/USDT:USDT,2h,is,baseline,False,-0.3562049704661773,260,260,0,1722,480,1920,4,-0.2794184561605707,-0.4289151625065716,-0.0974441130515746,0.79,200,0,2.650628702067962,-0.1805739152727711,-0.1919684763296336,1384,160,5150,678
ADA/USDT:USDT,2h,is,pen_5bp,False,-0.3688513269108166,255,255,0,1704,480,1920,4,-0.2941971351777069,-0.4442033907940412,-0.0757568939881714,0.765,200,0,2.650628702067962,-0.1912944752400109,-0.2088862030034914,1384,160,5150,678
ADA/USDT:USDT,2h,oos_warm,baseline,False,-0.1814496682985343,120,120,0,775,714,2856,4,-0.1732272169344573,-0.3238745823801661,-0.026103091602232,0.555,200,0,-0.5051311288483467,-0.17735254235768,-0.2255028725110499,2112,237,7938,1060
ADA/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.2143530493435814,116,116,0,763,714,2856,4,-0.1807695300202995,-0.2952500156190834,-0.0505364019318087,0.665,200,0,-0.5051311288483467,-0.2317766424331301,-0.2403525674768376,2112,237,7938,1060
DOT/USDT:USDT,2h,is,baseline,False,-0.1889967938552779,289,289,0,1974,487,1948,4,-0.1633390910089802,-0.3611235408615498,0.088555885779783,0.56,200,0,-0.0824237862250658,-0.0661851004918617,-0.0922413419735084,1368,165,5899,716
DOT/USDT:USDT,2h,is,pen_5bp,False,-0.2764058055452984,285,285,0,1947,487,1948,4,-0.18607006769501,-0.4005458515979676,0.0459384759471326,0.825,200,0,-0.0824237862250658,-0.1135350039454614,-0.110843238095314,1368,165,5899,716
DOT/USDT:USDT,2h,oos_warm,baseline,False,-0.1752963239275301,113,113,0,715,716,2864,4,-0.0942984632530504,-0.2410743505928698,0.0698765855594074,0.86,200,0,-0.8256230690010299,-0.1803979478727309,-0.1323878183236888,2063,227,8197,955
DOT/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.190678515247055,113,113,0,701,716,2864,4,-0.1150780532679059,-0.2501198253885678,0.0321194525841481,0.87,200,0,-0.8256230690010299,-0.2038728127494048,-0.1707035549820229,2063,227,8197,955
BCH/USDT:USDT,2h,is,baseline,False,-0.0509877927542333,248,248,0,1549,469,1876,4,-0.1933903367080214,-0.3757907756544861,0.0159181946132524,0.07,200,0,0.5549143134058767,-0.0181882873606619,-0.1305990011016418,1391,197,5563,746
BCH/USDT:USDT,2h,is,pen_5bp,False,-0.1181214080908153,249,249,0,1525,469,1876,4,-0.242626883415853,-0.420954729476543,-0.0520130513123507,0.11,200,0,0.5549143134058767,-0.0544051054900661,-0.1753186898745538,1391,197,5563,746
BCH/USDT:USDT,2h,oos_warm,baseline,False,-0.0596827797020541,145,145,0,815,710,2840,4,-0.0465050945422366,-0.180268048524997,0.125037285459922,0.55,200,0,-0.3674865705400056,-0.0399729634875051,-0.0476457514728949,2189,283,8811,1089
BCH/USDT:USDT,2h,oos_warm,pen_5bp,False,-0.1191584925560979,140,140,0,800,710,2840,4,-0.0767246376980914,-0.2083638110018303,0.0784264256098144,0.69,200,0,-0.3674865705400056,-0.1069429021910971,-0.0917098429655161,2189,283,8811,1089
BTC/USDT:USDT,1h,is,baseline,False,-0.1159476816622,521,521,0,3355,987,3948,4,-0.2222269565046642,-0.4113455968012214,-0.0034899080699726,0.195,200,0,4.777387162090623,-0.0196090628124712,-0.0940585177275409,3130,349,11519,1558
BTC/USDT:USDT,1h,is,pen_5bp,False,-0.3021832886192026,512,512,0,3288,987,3948,4,-0.29494063216094,-0.4965417687373907,-0.0613394178807871,0.505,200,0,4.777387162090623,-0.0776564504495312,-0.1372653943983037,3130,349,11519,1558
BTC/USDT:USDT,1h,oos_warm,baseline,False,-0.1927944791109079,241,241,0,1701,1508,6032,4,-0.153241872255007,-0.3060191994872803,-0.0081379818042314,0.665,200,0,0.0830109614608309,-0.1378236640306036,-0.1693928280275118,4793,523,17839,2290
BTC/USDT:USDT,1h,oos_warm,pen_5bp,False,-0.2592156338411908,232,232,0,1636,1508,6032,4,-0.2224986290289815,-0.3348068938155108,-0.0534399699365172,0.685,200,0,0.0830109614608309,-0.2023383798539859,-0.2400913445886461,4793,523,17839,2290
ETH/USDT:USDT,1h,is,baseline,False,-0.604741774650101,517,517,0,3402,962,3848,4,-0.3957652233007236,-0.5584200660098078,-0.1130651876345424,1.0,200,0,6.113725594227505,-0.1881761311567363,-0.1628781172265967,2829,336,10886,1514
ETH/USDT:USDT,1h,is,pen_5bp,False,-0.6675282037104693,511,511,0,3366,962,3848,4,-0.4639016860905788,-0.6235448826180138,-0.3065796767217735,1.0,200,0,6.113725594227505,-0.2415629009704671,-0.2064036067162297,2829,336,10886,1514
