lens,symbol,timeframe,segment,num_candidates,num_trades,win_rate,total_return,max_drawdown,engine_total_return,engine_num_trades
pen_5bp,ALGO/USDT:USDT,4h,oos_warm,31,25,0.52,0.0604887075461691,0.053623886948701294,,
pen_5bp,XMR/USDT:USDT,1h,full,410,312,0.5801282051282052,1.1965546362699189,0.07429727012274412,,
pen_5bp,XMR/USDT:USDT,1h,oos_warm,161,133,0.6015037593984962,0.4687832193715294,0.07429727012274398,,
pen_5bp,XMR/USDT:USDT,4h,full,94,76,0.6447368421052632,0.4735516383057013,0.0391322523980921,,
pen_5bp,XMR/USDT:USDT,4h,oos_warm,36,30,0.7666666666666667,0.26968847013148023,0.020603139504072634,,
pen_5bp,THETA/USDT:USDT,1h,full,333,256,0.53125,0.7499673100309326,0.06478674779368314,,
pen_5bp,THETA/USDT:USDT,1h,oos_warm,134,105,0.5428571428571428,0.29652144629663124,0.06478674779368304,,
pen_5bp,THETA/USDT:USDT,4h,full,87,71,0.5492957746478874,0.2383138075278699,0.03628600266011709,,
pen_5bp,THETA/USDT:USDT,4h,oos_warm,47,37,0.5405405405405406,0.10050049683174621,0.03309485467435103,,
pen_5bp,VET/USDT:USDT,1h,full,341,279,0.5591397849462365,1.1133738241066902,0.08721243050438707,,
pen_5bp,VET/USDT:USDT,1h,oos_warm,117,103,0.47572815533980584,0.05971054122971109,0.08721243050438748,,
pen_5bp,VET/USDT:USDT,4h,full,79,59,0.559322033898305,0.22151019633089983,0.06114995610804511,,
pen_5bp,VET/USDT:USDT,4h,oos_warm,27,20,0.5,0.036957950703010826,0.06114995610804505,,
