lens,symbol,timeframe,direction,month,net_pp_sum,num_trades,symbol_buy_hold,funding_gap,num_seeds
baseline,BNB/USDT:USDT,1h,long,2026-07,0.4526979334741629,4.0,0.0519416858807937,False,1
baseline,BNB/USDT:USDT,1h,short,2024-08,-1.725389297321616,4.0,-0.0739350331091297,False,1
baseline,BNB/USDT:USDT,1h,short,2024-09,-2.3500673752731616,7.0,0.1085831461771311,False,1
baseline,BNB/USDT:USDT,1h,short,2024-10,-0.1434022571488115,6.0,0.0543529927968116,False,1
baseline,BNB/USDT:USDT,1h,short,2024-11,0.955014084954173,6.0,0.1412912572216502,False,1
baseline,BNB/USDT:USDT,1h,short,2024-12,3.8512568526255513,3.0,0.0692779799887304,False,1
baseline,BNB/USDT:USDT,1h,short,2025-01,-0.7824627797381991,1.0,-0.0418981383317077,False,1
baseline,BNB/USDT:USDT,1h,short,2025-02,-1.4764587126286155,1.0,-0.0995818206883875,False,1
baseline,BNB/USDT:USDT,1h,short,2025-03,0.7389622281882201,1.0,-0.0043637201949676,False,1
baseline,BNB/USDT:USDT,1h,short,2025-04,-1.543765006647293,5.0,-0.0191838672188301,False,1
baseline,BNB/USDT:USDT,1h,short,2025-05,-0.3396204440412611,3.0,0.0981072871115265,False,1
baseline,BNB/USDT:USDT,1h,short,2025-06,-0.5209078198192676,5.0,-0.0055550510095964,False,1
baseline,BNB/USDT:USDT,1h,short,2025-07,-0.7454771210690652,2.0,0.2129204005509897,False,1
baseline,BNB/USDT:USDT,1h,short,2025-08,-1.0696598978289922,3.0,0.1325695581014729,False,1
baseline,BNB/USDT:USDT,1h,short,2025-09,0.556319304198332,1.0,0.1921317907325777,False,1
baseline,BNB/USDT:USDT,1h,short,2025-10,2.521643611320771,3.0,0.059677654964211,False,1
baseline,BNB/USDT:USDT,1h,short,2025-11,-0.1134188885299722,2.0,-0.2001517062382336,False,1
baseline,BNB/USDT:USDT,1h,short,2025-12,0.291029677671954,2.0,0.0462690720776313,False,1
baseline,BNB/USDT:USDT,1h,short,2026-01,-0.510678405910676,3.0,-0.0963313363095925,False,1
baseline,BNB/USDT:USDT,1h,short,2026-02,2.294845784972294,4.0,-0.1865715905046857,False,1
baseline,BNB/USDT:USDT,1h,short,2026-03,1.938060287478446,3.0,-0.0009058557101262,False,1
baseline,BNB/USDT:USDT,1h,short,2026-04,-0.9932991945986458,3.0,0.00724827383095,False,1
baseline,BNB/USDT:USDT,1h,short,2026-05,1.084471437521899,2.0,0.1545994932761643,False,1
baseline,BNB/USDT:USDT,1h,short,2026-06,-0.2046572445124352,2.0,-0.2114211550940947,False,1
baseline,BNB/USDT:USDT,1h,short,2026-07,0.4789978466641421,2.0,0.0519416858807937,False,1
baseline,BNB/USDT:USDT,2h,long,2024-08,-1.4804527486111208,1.0,-0.0739350331091297,False,1
baseline,BNB/USDT:USDT,2h,long,2024-10,0.4995737531798614,2.0,0.0543529927968116,False,1
baseline,BNB/USDT:USDT,2h,long,2024-11,-0.1574211300967944,2.0,0.1412912572216502,False,1
baseline,BNB/USDT:USDT,2h,long,2024-12,0.9442516588869264,1.0,0.0692779799887304,False,1
baseline,BNB/USDT:USDT,2h,long,2025-01,0.8522639499448212,2.0,-0.0418981383317077,False,1
baseline,BNB/USDT:USDT,2h,long,2025-02,-2.498985615174024,2.0,-0.0995818206883875,False,1
baseline,BNB/USDT:USDT,2h,long,2025-05,-1.3150605164464673,2.0,0.0981072871115265,False,1
baseline,BNB/USDT:USDT,2h,long,2025-06,-0.6977618750959356,1.0,-0.0055550510095964,False,1
baseline,BNB/USDT:USDT,2h,long,2025-07,0.1417574280819279,3.0,0.2129204005509897,False,1
baseline,BNB/USDT:USDT,2h,long,2025-08,2.1612831279006017,1.0,0.1325695581014729,False,1
baseline,BNB/USDT:USDT,2h,long,2025-09,0.7262254889499724,2.0,0.1921317907325777,False,1
baseline,BNB/USDT:USDT,2h,long,2025-10,2.1612831279006017,1.0,0.059677654964211,False,1
baseline,BNB/USDT:USDT,2h,long,2025-11,-2.6578539505740273,1.0,-0.2001517062382336,False,1
baseline,BNB/USDT:USDT,2h,long,2026-01,4.850995492925025,3.0,-0.0963313363095925,False,1
baseline,BNB/USDT:USDT,2h,long,2026-02,7.862112851273066,4.0,-0.1865715905046857,False,1
