arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades,exclude
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,696,0.39080459770114945,-0.0762115095724233,-53.043210662406615,-0.39839911147548107,0.6029016963919076,-0.6608027707663099,8,0.14167539244093547,0,True,4,220,0.01818181818181818,110,0.13836477987421383,-0.022988505747126523,0.0532230038252969,0.02038834010919629,0.013271024673500654,0.00511109092867179,0.016302516751315194,0.0,-0.001849968637387053,2.842170943040401e-14,0.021338629620974277,39,0,55,DOGE/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,805,0.39627329192546584,-0.05943856278368654,-47.848043040867665,-0.3829367451096723,0.6565823353820872,-0.5832273036813099,7,0.17068005765440877,0,True,0,223,0.0,0,0.0,-0.008330073897257104,0.05110848888642956,0.01914339207006117,0.012859503919422534,0.005200481076617773,0.015301269260365229,5.7870388574003235e-06,-0.0014019444788945594,2.842170943040401e-14,0.02125267107969516,79,0,61,DOT/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,586,0.39419795221843,-0.06841547215567556,-40.09146668322588,-0.3046638996947293,0.4435872186466318,-0.686818480983847,7,0.1064005232977189,0,True,32,223,0.14349775784753363,348,0.4322981366459627,-0.01314967489298962,0.05526579726268594,0.02097188923548861,0.013968917277539494,0.00557753164836456,0.01676117286088923,7.949771809227407e-06,-0.002021663531405246,2.842170943040401e-14,0.01986776190501692,35,0,46,DOT/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,699,0.40486409155937053,-0.039237053904565077,-27.426700679290988,-0.18267166407654767,0.472297550350534,-0.3867724148494329,7,0.11392663283382436,0,True,4,223,0.017937219730941704,116,0.14409937888198757,0.013296552950941447,0.05253360685550652,0.019705963777904432,0.013277501823960921,0.005397775623388471,0.01575022402124872,6.6646155653895e-06,-0.00160452300656146,2.842170943040401e-14,0.02100319581402647,44,0,55,DOT/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,790,0.38734177215189874,-0.08220538113493966,-64.94225109660233,-0.566355492929056,0.8306225916859609,-0.6818445568395782,8,0.27809372733662097,0,True,0,224,0.0,0,0.0,-0.030640138591508825,0.051565242543431034,0.019406161454290357,0.013059213769077899,0.005290621159642585,0.015511269779510296,5.896919342034507e-06,-0.0017079205384321473,2.842170943040401e-14,0.02115704396405326,77,0,61,ETH/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,557,0.38420107719928187,-0.09420170671136589,-52.470350638230805,-0.45041247982504573,0.6409701730567399,-0.7027042735499869,8,0.15389713769917596,0,True,34,224,0.15178571428571427,362,0.4582278481012658,-0.038071291718656926,0.05613041499270904,0.021507093355273274,0.014355308086111816,0.0057448564856578494,0.01718870817312574,8.363673752616267e-06,-0.0026739147812123117,2.842170943040401e-14,0.019795707247207753,32,0,41,ETH/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,686,0.39941690962099125,-0.053041403527516566,-36.386402819876366,-0.2847453527444374,0.5808955257452794,-0.4901834153036621,8,0.12231945912612818,0,True,4,224,0.017857142857142856,113,0.14303797468354432,-0.0002998680572768867,0.05274153547023974,0.01984702435078708,0.013460388402558532,0.005521518688631364,0.015862889757946204,6.790912944908543e-06,-0.0019570766426283866,2.842170943040401e-14,0.021037747653340568,43,0,55,ETH/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,804,0.39427860696517414,-0.06505845021962353,-52.30699397657732,-0.40334517788846996,0.6746131344194898,-0.5978910835104801,8,0.18700104997241954,0,True,0,222,0.0,0,0.0,-0.013315559063795968,0.051742891155827704,0.019576817227699935,0.012976581255018913,0.00514319125212529,0.015647828818603743,5.794236666924454e-06,-0.0016073216342871028,2.842170943040401e-14,0.02105996113154985,78,0,61,LINK/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,590,0.39322033898305087,-0.07202793147586992,-42.49647957076325,-0.30443276355090154,0.4790154508687611,-0.6355385050707038,8,0.09760168814122366,0,True,30,222,0.13513513513513514,355,0.44154228855721395,-0.015602897436087977,0.056425034039781996,0.02169083257394755,0.014176424547588192,0.005496970938521004,0.017336093851079152,7.895875051198747e-06,-0.0022831837464051615,2.842170943040401e-14,0.019789810827242675,34,0,43,LINK/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,703,0.4011379800853485,-0.049021448488246806,-34.4620782872375,-0.22884436357771365,0.5164589588309952,-0.4431027086754441,8,0.12915501534156515,0,True,4,222,0.018018018018018018,113,0.14054726368159204,0.003974808695175046,0.05299625718342187,0.02010851230386727,0.013337586382194483,0.005294976422385712,0.016072139743607636,6.6266945664399154e-06,-0.00182358436319967,2.842170943040401e-14,0.02085848983439299,43,0,55,LINK/USDT:USDT
