hold,floor,threshold,segment,num_trades,mean_net_r,se_net_r,fixed_return,fixed_mdd,compound_return,compound_mdd,compound_ruined
12,0.03,20.0,oos_warm,831,0.11888141337636643,0.05738062599745817,0.9879045451576056,0.7260878834076491,1.4031266228669335,0.6362974635419112,False
16,0.03,20.0,full,2768,0.07758207951859537,0.037164139044146616,2.1474719610747273,0.5944338334883098,4.181621779695089,0.8675160819663077,False
16,0.03,20.0,is,1937,0.05329534157488096,0.04540913332713612,1.0323307663054377,0.5944338334883098,0.950837472208095,0.8675160819663077,False
16,0.03,20.0,oos_warm,831,0.12077305085326116,0.0630529668705442,1.0036240525906064,0.6753272050648607,1.3873929765385538,0.6430154381829913,False
24,0.03,20.0,full,2768,0.07368216836049091,0.04029702967665403,2.0395224202183897,0.6273300915596713,3.278941820977411,0.89508019491,False
24,0.03,20.0,is,1937,0.06079663450591569,0.04950055663595231,1.1776308103795818,0.6273300915596713,1.1143321736608045,0.89508019491,False
24,0.03,20.0,oos_warm,831,0.08202394143730464,0.06598890024169551,0.6816189533440036,0.6887657481356504,0.7092391415888435,0.6561000812545317,False
4,0.03,25.0,full,4153,0.08446448945226909,0.025756155339074525,3.507810246952732,0.6368648553806227,18.687064797077532,0.7510164385944345,False
4,0.03,25.0,is,2972,0.08238326451597541,0.032634889578066185,2.4484306214147997,0.6368648553806227,6.543395943974607,0.7510164385944345,False
4,0.03,25.0,oos_warm,1181,0.09066230383429943,0.03823401924201301,1.070721808283079,0.5342032642103113,1.6392611140263136,0.6605236936245316,False
8,0.03,25.0,full,4149,0.08303020183080471,0.027188797881383325,3.444923073960103,0.5135631204412903,16.241646846636314,0.8036230949515566,False
8,0.03,25.0,is,2968,0.07671800898124513,0.03376614468840762,2.276990506563368,0.5135631204412903,5.1150075813813425,0.8036230949515566,False
8,0.03,25.0,oos_warm,1181,0.09807331374611362,0.043815197588939404,1.1582458353416025,0.6524883289225989,1.793232352032712,0.6836933607871636,False
12,0.03,25.0,full,4149,0.07623698663150129,0.028843295088649027,3.163072575340994,0.5231418741811588,11.009285368851593,0.8797585296071536,False
12,0.03,25.0,is,2968,0.058894140638362937,0.03510019083020196,1.74797809414662,0.5231418741811588,2.45232866073441,0.8797585296071536,False
12,0.03,25.0,oos_warm,1181,0.11953326776075673,0.04978985357199858,1.411687892254538,0.6846965138149719,2.4685225775157593,0.6920957929684481,False
16,0.03,25.0,full,4148,0.07735728026783097,0.030296734768110695,3.208779985509625,0.6121326806424947,10.673097726654659,0.9183394236342977,False
16,0.03,25.0,is,2967,0.043541063973775065,0.03591240265870494,1.2918633681019043,0.6121326806424947,1.1273716339763893,0.9183394236342977,False
16,0.03,25.0,oos_warm,1181,0.15148133593244908,0.05570616556038501,1.788994577362235,0.5960425550112494,3.8528278305558104,0.6909685602773492,False
24,0.03,25.0,full,4147,0.07185411805653827,0.033074952530662366,2.9797902758046546,0.6856141833595037,7.106144596196408,0.9485297623972602,False
24,0.03,25.0,is,2967,0.04471860212789125,0.03973456874535174,1.3268009251345414,0.6856141833595037,0.9673841038012176,0.9485297623972602,False
24,0.03,25.0,oos_warm,1181,0.12451181345758153,0.05783684203873525,1.470484516934044,0.6616553925923132,2.472654889894921,0.7250085782727995,False
4,0.04,15.0,full,861,0.15390947082837061,0.05273056824914231,1.3251605438322716,0.2791357044913845,2.414620105459034,0.36521601375433466,False
4,0.04,15.0,is,627,0.1352613025594452,0.06471983600184221,0.8480883670477215,0.2791357044913845,1.1638390006305595,0.36521601375433466,False
4,0.04,15.0,oos_warm,234,0.20318441796350056,0.08710839810461851,0.47545153803459095,0.25864334620289453,0.5755106505250729,0.2963888501708054,False
8,0.04,15.0,full,861,0.15806525230330484,0.05378378814138769,1.3609418223314576,0.3192718679768394,2.513579112383813,0.4409501536822198,False
8,0.04,15.0,is,627,0.14473004127235908,0.06430928177802436,0.9074573587776962,0.3192718679768394,1.2911240469890535,0.4409501536822198,False
8,0.04,15.0,oos_warm,234,0.18862187206541403,0.09685030008267202,0.4413751806330686,0.31262096280281115,0.5156332409278024,0.30950955614592235,False
12,0.04,15.0,full,861,0.14210870409875395,0.05687691800467585,1.2235559422902718,0.45598847000100806,2.0249280258512585,0.5779752961326159,False
12,0.04,15.0,is,627,0.12270224866476236,0.06854941168566868,0.7693430991280601,0.45598847000100806,0.9740769874048834,0.5779752961326159,False
12,0.04,15.0,oos_warm,234,0.1861640320932238,0.09923762782700324,0.43562383509814384,0.3159293906357812,0.5051071158524234,0.3118004008875248,False
16,0.04,15.0,full,861,0.173559840339857,0.06382070726255955,1.4943502253261745,0.4425723010832986,2.8521682845173553,0.6086732882891936,False
16,0.04,15.0,is,627,0.1624351544485419,0.07757273129726931,1.0184684183923598,0.4425723010832986,1.4723844475288526,0.6086732882891936,False
16,0.04,15.0,oos_warm,234,0.16471807765372318,0.10192615841023851,0.3854403017097108,0.3242005178160068,0.42943699221270815,0.3154559165442624,False
24,0.04,15.0,full,861,0.22927490341006282,0.07358929424232784,1.9740569183606418,0.3919695325964748,4.936915056121039,0.60848904326841,False
24,0.04,15.0,is,627,0.226486513826499,0.08873277359032636,1.4200704416921486,0.3919695325964748,2.568124375623675,0.60848904326841,False
24,0.04,15.0,oos_warm,234,0.1822225874105849,0.11528670354730808,0.4264008545407689,0.3405096249219821,0.4779788880984217,0.33310046450840214,False
4,0.04,20.0,full,1811,0.10303269511293162,0.03371310243092972,1.8659221084951945,0.423759490669639,4.410905037901556,0.4360571656502715,False
