arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades
기준,0.003,1.0,is,False,48,12,39751,0.5219491333551357,-0.04833207335011044,0.014436802000039498,-10.827992336965021,4.593563049457161,-2.357209908818952,21,3.4660387817037375,3.4660387817037375,0.5630801740836708,0.008588247082485123,25946,17803,105143,0,2718
기준,0.003,1.0,oos_warm,False,48,12,16834,0.5178210763930141,-0.07259418707773875,0.0007195524849932135,-7.861390670128651,7.35824386575753,-1.068378653052337,17,6.231374538382605,6.231374538382605,0.6920517999287157,0.014727791605106812,12832,17803,105143,0,760
기준,0.003,1.0,oos,False,48,12,16497,0.5172455597987513,-0.07446413407870663,-0.0006803628382087057,-7.822719200149739,7.950780018511812,-0.9838933012781251,17,42.700651541181415,42.700651541181415,0.6960053343032067,0.025366792261088643,12670,17803,105143,0,763
기준,0.004,1.0,full,False,48,12,50599,0.5186663768058657,-0.04553948837771141,0.010714219925998487,-15.727519528454033,6.307045858903333,-2.493642805252843,21,21.706864855797157,21.706864855797157,0.5509397418921322,0.008778217083326321,37553,27605,95341,0,2848
기준,0.004,1.0,is,False,48,12,36020,0.5199888950583009,-0.03959347740539119,0.014497911512057487,-9.166619124025171,3.8786126495137587,-2.3633757614786157,21,21.706864855797157,21.706864855797157,0.5148806218767351,0.008778217083326321,22974,27605,95341,0,2284
기준,0.004,1.0,oos_warm,False,48,12,14579,0.5153988613759517,-0.06023016093570396,0.001365940144816721,-6.560900404428705,5.5496962527724785,-1.1822089183982016,17,556.9618897250583,556.9618897250583,0.6400301803964606,0.03567362910130948,10983,27605,95341,0,564
기준,0.004,1.0,oos,False,48,12,14254,0.5147327066086712,-0.06217745272443091,-0.00018572253031140068,-6.609894927235254,5.959966019706251,-1.1090490961492152,17,27.398704053402778,27.398704053402778,0.6448014592395117,0.015567174256475073,10763,27605,95341,0,568
기준,0.005,1.0,full,False,48,12,45165,0.5158197719473043,-0.040816192390312145,0.008318316618983685,-14.1030794862399,5.939626300636203,-2.374405185176262,21,22.191199077432493,22.191199077432493,0.4911989372301561,0.009392531096619819,32942,37148,85798,0,2437
기준,0.005,1.0,is,False,48,12,32560,0.5182739557739557,-0.03342727772629851,0.0141484570550136,-8.092176009405637,3.579530307628729,-2.2606809592195702,21,22.191199077432493,22.191199077432493,0.4581081081081081,0.009392531096619819,20337,37148,85798,0,1986
기준,0.005,1.0,oos_warm,False,48,12,12605,0.5094803649345497,-0.05990251222056089,-0.006741530473212615,-6.010903476834186,5.136783350374399,-1.1701687742770144,16,26.684710076106366,26.684710076106366,0.5766759222530742,0.016120327054305373,9471,37148,85798,0,451
기준,0.005,1.0,oos,False,48,12,12309,0.5087334470712487,-0.06196001844827462,-0.008419411604422583,-6.031648283535798,5.278279438286225,-1.142730003982923,16,13.100899328148813,13.100899328148813,0.581119506052482,0.01422170284628931,9248,37148,85798,0,453
기준,0.006,1.0,full,False,48,12,40199,0.5131719694519764,-0.037866375923573295,0.005626676641913811,-12.476219268541625,5.922706674467273,-2.106506358372681,21,99.52772517284593,99.52772517284593,0.4193636657628299,0.026893740880317,29417,46350,76596,0,2053
기준,0.006,1.0,is,False,48,12,29297,0.5157524661228112,-0.030879334411877686,0.011499091770964653,-7.243755884243146,3.5812686613254923,-2.0226787122868637,21,99.52772517284593,99.52772517284593,0.39072259958357514,0.026893740880317,18515,46350,76596,0,1705
기준,0.006,1.0,oos_warm,False,48,12,10902,0.5062373876352962,-0.056642688083557186,-0.010154294375862951,-5.23246338429841,4.613099910653966,-1.134261881520065,16,7.4890790444383235,7.4890790444383235,0.4963309484498257,0.019731450618913824,8107,46350,76596,0,348
기준,0.006,1.0,oos,False,48,12,10620,0.5054613935969868,-0.0587532502169548,-0.011892934469545598,-5.254630072495693,4.631652677273111,-1.1345043418906273,16,15.35431241498372,15.35431241498372,0.5000941619585687,0.02456003354592087,7895,46350,76596,0,348
기준,0.008,1.0,full,False,48,12,32304,0.5117632491332342,-0.02874407368302031,0.006732953726147941,-8.79405890904871,4.402627421750196,-1.9974569879803201,21,7.039065508058227,7.039065508058227,0.24996904408122833,0.010879209497217586,22613,61355,61591,0,1540
기준,0.008,1.0,is,False,48,12,24019,0.5143428119405471,-0.022640839295199226,0.01231222080897341,-5.1155787773149495,2.6650280439320024,-1.9195215558660261,21,7.039065508058227,7.039065508058227,0.23331529206045215,0.010879209497217586,14328,61355,61591,0,1281
기준,0.008,1.0,oos_warm,False,48,12,8285,0.504284852142426,-0.046437928452009405,-0.009441870179994042,-3.6784801317337728,3.3860971078134594,-1.0863480918032846,17,36.187267799226504,36.187267799226504,0.2982498491249246,0.06646089057231973,5910,61355,61591,0,259
기준,0.008,1.0,oos,False,48,12,8021,0.503303827452936,-0.048915421561436044,-0.01156615898726612,-3.7696440641848903,3.4740321058933996,-1.0850918901382662,17,351.89035762565067,351.89035762565067,0.30120932552050866,0.06385242228002055,5793,61355,61591,0,259
기준,0.003,1.5,full,True,48,12,49431,0.40426048431146444,-0.09810767893188604,-0.028490386632524674,-29.418246687520018,20.65579126431821,-1.4242130117928955,24,247.06611451684418,247.06611451684418,0.6093949141227165,0.08615750036663278,44657,17803,105143,0,3042
기준,0.003,1.5,is,True,48,12,34606,0.4057388892099636,-0.08897984370668988,-0.02265871072198464,-18.356675084331364,13.004535840445596,-1.4115594212320905,24,247.06611451684418,247.06611451684418,0.5705657978385251,0.08615750036663278,29832,17803,105143,0,2361
기준,0.003,1.5,oos_warm,True,48,12,14825,0.4008094435075885,-0.11941478623732331,-0.04210326869391761,-11.06157160318877,9.956212511599691,-1.1110220468176284,16,42.65054766675442,42.65054766675442,0.7000337268128162,0.04000188271862105,12185,17803,105143,0,681
기준,0.003,1.5,oos,True,48,12,14525,0.39924268502581756,-0.12415164998386354,-0.046403906069305965,-11.185677849155468,10.233882959200226,-1.093004277433091,16,69.04169611021733,69.04169611021733,0.7035456110154905,0.08030111931402421,12226,17803,105143,0,683
기준,0.004,1.5,full,False,48,12,44202,0.4033754128772454,-0.08419587681106976,-0.024861557659289525,-25.534723384362255,16.32415738561221,-1.5642291838516613,24,1782.0907587664037,1782.0907587664037,0.5587756210126239,0.12464730548724262,38822,27605,95341,0,2486
기준,0.004,1.5,is,False,48,12,31377,0.4047550753736814,-0.07701030082473131,-0.01991263231253687,-16.160502800549853,10.44402984230583,-1.5473436063049337,24,1782.0907587664037,1782.0907587664037,0.5221340472320489,0.12464730548724262,25997,27605,95341,0,1984
기준,0.004,1.5,oos_warm,False,48,12,12825,0.4,-0.10177574563940338,-0.03696934951933308,-9.374220583812306,8.560241691425468,-1.0950883072848487,17,64.47023224157167,64.47023224157167,0.6484210526315789,0.046303094647118334,9983,27605,95341,0,502
기준,0.004,1.5,oos,False,48,12,12543,0.3984692657259029,-0.10628077752803221,-0.04111278467107086,-9.49800497746446,8.74996977115329,-1.0854900332087174,17,30.431954975841066,30.431954975841066,0.6519971298732361,0.04070314921332925,9920,27605,95341,0,505
기준,0.005,1.5,full,False,48,12,39578,0.4027237354085603,-0.07420585207085906,-0.022219720533212004,-22.398505516322032,14.466503021092095,-1.5483013056897796,24,424.13951644180264,424.13951644180264,0.5008590631158725,0.10056107351272003,34452,37148,85798,0,2139
기준,0.005,1.5,is,False,48,12,28489,0.40461230650426483,-0.06683794253581628,-0.01638085014283871,-14.039371112004126,9.166004457773637,-1.5316784076072987,24,424.13951644180264,424.13951644180264,0.4676190810488259,0.10056107351272003,23363,37148,85798,0,1737
기준,0.005,1.5,oos_warm,False,48,12,11089,0.39787176481197584,-0.09313491463230324,-0.03722049414231546,-8.359134404317805,7.4544012607730155,-1.1213689888557152,16,39.81539042587971,39.81539042587971,0.5862566507349626,0.024931804586685646,8634,37148,85798,0,402
기준,0.005,1.5,oos,False,48,12,10833,0.3969352903166251,-0.09610762469088593,-0.03982605697969603,-8.506171182200545,7.599678834625824,-1.119280349512211,16,26.675984805646614,26.675984805646614,0.5905104772454537,0.025265520639586023,8510,37148,85798,0,403
기준,0.006,1.5,full,False,48,12,35339,0.40207702538272166,-0.06640628412728357,-0.020370934232384664,-19.139687900463542,14.474049826985738,-1.3223450333008449,24,9023.668164787074,9023.668164787074,0.4309969155890093,0.47555200943267284,30411,46350,76596,0,1816
기준,0.006,1.5,is,False,48,12,25701,0.40469242441928327,-0.05798200753650916,-0.01301537075877132,-11.851221732022065,9.005849213180849,-1.315947164058306,24,9023.668164787074,9023.668164787074,0.4013851601105015,0.47555200943267284,20773,46350,76596,0,1510
기준,0.006,1.5,oos_warm,False,48,12,9638,0.39510271840630834,-0.08887073034636508,-0.03998551576748915,-7.288466168441385,6.521912290825453,-1.117535140528379,17,8.871443526317945,8.871443526317945,0.5099605727329322,0.026807231283398392,7368,46350,76596,0,306
기준,0.006,1.5,oos,False,48,12,9395,0.3938265034592869,-0.09299226971324999,-0.043726756946668575,-7.395253440425687,6.471654959090284,-1.142714419599594,17,93.4258580502977,93.4258580502977,0.5131452900478978,0.04734647399488171,7229,46350,76596,0,306
