timeframe,segment,feature,axis,n,positive_rate,correlation,p_value,hypothesis_sign,direction_matches,permutations
1h,oos,reg_4h_dev_pctl,death_vs_winner,530,0.2037735849056604,-0.13804271493019973,0.0025,1,False,2000
1h,oos,reg_1d_trend,death_vs_rest,769,0.14044213263979194,0.03470536518392385,0.373,-1,False,2000
1h,oos,reg_1d_trend,death_vs_winner,530,0.2037735849056604,0.032788418592597714,0.4695,-1,False,2000
1h,oos,reg_1d_ema_slope,death_vs_rest,769,0.14044213263979194,0.042748624681396716,0.277,-1,False,2000
1h,oos,reg_1d_ema_slope,death_vs_winner,530,0.2037735849056604,0.03449320177800958,0.439,-1,False,2000
1h,oos,reg_1d_vol_pctl,death_vs_rest,769,0.14044213263979194,0.00933398417560793,0.8045,1,True,2000
1h,oos,reg_1d_vol_pctl,death_vs_winner,530,0.2037735849056604,0.007967417001488654,0.8545,1,True,2000
1h,oos,reg_1d_dev_pctl,death_vs_rest,769,0.14044213263979194,0.030155945807513525,0.4085,1,True,2000
1h,oos,reg_1d_dev_pctl,death_vs_winner,530,0.2037735849056604,0.027665692791133158,0.5075,1,True,2000
1h,oos,band_lower_slope_3_atr,death_vs_rest,769,0.14044213263979194,0.052585011067997546,0.127,-1,False,2000
1h,oos,band_lower_slope_3_atr,death_vs_winner,530,0.2037735849056604,0.08187597852556362,0.0495,-1,False,2000
1h,oos,band_lower_slope_3_pct,death_vs_rest,769,0.14044213263979194,0.05657807972921079,0.102,-1,False,2000
1h,oos,band_lower_slope_3_pct,death_vs_winner,530,0.2037735849056604,0.09271727214064157,0.0285,-1,False,2000
1h,oos,band_lower_slope_5_atr,death_vs_rest,769,0.14044213263979194,0.060393197247311126,0.0935,-1,False,2000
1h,oos,band_lower_slope_5_atr,death_vs_winner,530,0.2037735849056604,0.08923625123326251,0.035,-1,False,2000
1h,oos,band_lower_slope_5_pct,death_vs_rest,769,0.14044213263979194,0.05189344673462039,0.1415,-1,False,2000
1h,oos,band_lower_slope_5_pct,death_vs_winner,530,0.2037735849056604,0.08711722397285152,0.0375,-1,False,2000
4h,is,rvol_sma20,death_vs_rest,343,0.11078717201166181,-0.04593689080690063,0.3785,-1,True,2000
4h,is,rvol_sma20,death_vs_winner,255,0.14901960784313725,-0.05583041304844648,0.342,-1,True,2000
4h,is,rvol_sma50,death_vs_rest,343,0.11078717201166181,-0.10029280970241003,0.0555,-1,True,2000
4h,is,rvol_sma50,death_vs_winner,255,0.14901960784313725,-0.11938003200372542,0.05,-1,True,2000
4h,is,reg_4h_trend,death_vs_rest,0,0.0,,,-1,False,0
4h,is,reg_4h_trend,death_vs_winner,0,0.0,,,-1,False,0
4h,is,reg_4h_ema_slope,death_vs_rest,0,0.0,,,-1,False,0
4h,is,reg_4h_ema_slope,death_vs_winner,0,0.0,,,-1,False,0
4h,is,reg_4h_vol_pctl,death_vs_rest,0,0.0,,,1,False,0
4h,is,reg_4h_vol_pctl,death_vs_winner,0,0.0,,,1,False,0
4h,is,reg_4h_dev_pctl,death_vs_rest,0,0.0,,,1,False,0
4h,is,reg_4h_dev_pctl,death_vs_winner,0,0.0,,,1,False,0
4h,is,reg_1d_trend,death_vs_rest,344,0.11046511627906977,-0.1355535870462189,0.0085,-1,True,2000
4h,is,reg_1d_trend,death_vs_winner,256,0.1484375,-0.16108108024850576,0.012,-1,True,2000
4h,is,reg_1d_ema_slope,death_vs_rest,343,0.11078717201166181,-0.17033095751058688,0.001,-1,True,2000
4h,is,reg_1d_ema_slope,death_vs_winner,255,0.14901960784313725,-0.20000837984691228,0.0025,-1,True,2000
4h,is,reg_1d_vol_pctl,death_vs_rest,343,0.11078717201166181,0.012343334943081588,0.8175,1,True,2000
4h,is,reg_1d_vol_pctl,death_vs_winner,255,0.14901960784313725,0.02723846927534983,0.6585,1,True,2000
4h,is,reg_1d_dev_pctl,death_vs_rest,344,0.11046511627906977,0.011509765983573048,0.8265,1,True,2000
4h,is,reg_1d_dev_pctl,death_vs_winner,256,0.1484375,0.02001625827665716,0.7635,1,True,2000
4h,is,band_lower_slope_3_atr,death_vs_rest,344,0.11046511627906977,0.11604215662845425,0.0295,-1,False,2000
4h,is,band_lower_slope_3_atr,death_vs_winner,256,0.1484375,0.12223706714828943,0.052,-1,False,2000
4h,is,band_lower_slope_3_pct,death_vs_rest,344,0.11046511627906977,0.09613053873264794,0.072,-1,False,2000
4h,is,band_lower_slope_3_pct,death_vs_winner,256,0.1484375,0.10260039299806294,0.1,-1,False,2000
4h,is,band_lower_slope_5_atr,death_vs_rest,344,0.11046511627906977,0.11434610865251091,0.0365,-1,False,2000
4h,is,band_lower_slope_5_atr,death_vs_winner,256,0.1484375,0.12209528273956509,0.049,-1,False,2000
4h,is,band_lower_slope_5_pct,death_vs_rest,344,0.11046511627906977,0.09252889374097491,0.0845,-1,False,2000
4h,is,band_lower_slope_5_pct,death_vs_winner,256,0.1484375,0.09916072903759085,0.107,-1,False,2000
4h,oos,rvol_sma20,death_vs_rest,215,0.11627906976744186,-0.06454498993826271,0.3475,-1,True,2000
4h,oos,rvol_sma20,death_vs_winner,148,0.16891891891891891,-0.07713953922148462,0.3835,-1,True,2000
4h,oos,rvol_sma50,death_vs_rest,215,0.11627906976744186,-0.09052414907058239,0.2,-1,True,2000
4h,oos,rvol_sma50,death_vs_winner,148,0.16891891891891891,-0.11221290226409947,0.1905,-1,True,2000
4h,oos,reg_4h_trend,death_vs_rest,0,0.0,,,-1,False,0
4h,oos,reg_4h_trend,death_vs_winner,0,0.0,,,-1,False,0
4h,oos,reg_4h_ema_slope,death_vs_rest,0,0.0,,,-1,False,0
4h,oos,reg_4h_ema_slope,death_vs_winner,0,0.0,,,-1,False,0
4h,oos,reg_4h_vol_pctl,death_vs_rest,0,0.0,,,1,False,0
4h,oos,reg_4h_vol_pctl,death_vs_winner,0,0.0,,,1,False,0
4h,oos,reg_4h_dev_pctl,death_vs_rest,0,0.0,,,1,False,0
4h,oos,reg_4h_dev_pctl,death_vs_winner,0,0.0,,,1,False,0
4h,oos,reg_1d_trend,death_vs_rest,215,0.11627906976744186,0.02911791326702821,0.6275,-1,False,2000
4h,oos,reg_1d_trend,death_vs_winner,148,0.16891891891891891,0.03197245295862095,0.6575,-1,False,2000
4h,oos,reg_1d_ema_slope,death_vs_rest,215,0.11627906976744186,0.07388173118965084,0.2115,-1,False,2000
4h,oos,reg_1d_ema_slope,death_vs_winner,148,0.16891891891891891,0.09497864003380146,0.171,-1,False,2000
4h,oos,reg_1d_vol_pctl,death_vs_rest,215,0.11627906976744186,-0.060786679696277275,0.373,1,False,2000
4h,oos,reg_1d_vol_pctl,death_vs_winner,148,0.16891891891891891,-0.1236709990692295,0.1095,1,False,2000
4h,oos,reg_1d_dev_pctl,death_vs_rest,215,0.11627906976744186,-0.08445404172392545,0.221,1,False,2000
4h,oos,reg_1d_dev_pctl,death_vs_winner,148,0.16891891891891891,-0.13196579580566348,0.123,1,False,2000
4h,oos,band_lower_slope_3_atr,death_vs_rest,215,0.11627906976744186,0.0308706010010542,0.66,-1,False,2000
4h,oos,band_lower_slope_3_atr,death_vs_winner,148,0.16891891891891891,0.029038427145047386,0.7225,-1,False,2000
4h,oos,band_lower_slope_3_pct,death_vs_rest,215,0.11627906976744186,0.07884697076062407,0.264,-1,False,2000
4h,oos,band_lower_slope_3_pct,death_vs_winner,148,0.16891891891891891,0.09294290336369992,0.266,-1,False,2000
4h,oos,band_lower_slope_5_atr,death_vs_rest,215,0.11627906976744186,0.0106313378619991,0.8875,-1,False,2000
4h,oos,band_lower_slope_5_atr,death_vs_winner,148,0.16891891891891891,0.01001147565529405,0.903,-1,False,2000
4h,oos,band_lower_slope_5_pct,death_vs_rest,215,0.11627906976744186,0.06275141522498176,0.3765,-1,False,2000
4h,oos,band_lower_slope_5_pct,death_vs_winner,148,0.16891891891891891,0.07617244854523418,0.3685,-1,False,2000
