symbol,timeframe,segment,arm,fill,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,mean_net_r,net_r_win,net_r_loss,hold_bars_median,n_take_profit,n_stop_loss,n_end_of_data
ETH/USDT:USDT,4h,is,fixed_1.5r,baseline,74,53,43,0.7162162162162162,0.1981860095807307,0.0471152411781898,0.6046511627906976,16.581818927915382,0.5116279069767437,0.4506160606140574,1.4338766716146123,-1.0531942856220855,1.4354166666666668,26,17,0
ETH/USDT:USDT,4h,is,ob_extend,baseline,74,53,43,0.7162162162162162,0.2091670385910614,0.0471152411781898,0.6046511627906976,17.29447227965268,0.5541462389880754,0.493096134630245,1.5041321786413842,-1.0531942856220855,1.4354166666666668,26,17,0
ETH/USDT:USDT,4h,is,fixed_1.5r,pen_5bp,74,49,41,0.6621621621621622,0.1535027840719363,0.0471152411781897,0.5853658536585366,13.828268813069078,0.4634146341463418,0.3960919843719065,1.4230677272763892,-1.053756123257951,1.6375,24,17,0
ETH/USDT:USDT,4h,is,ob_extend,pen_5bp,74,49,41,0.6621621621621622,0.217279787303442,0.0471152411781899,0.5853658536585366,16.281839919134246,0.7466793412391319,0.6791018098812538,1.9065428458548572,-1.053756123257951,1.4354166666666668,24,17,0
ETH/USDT:USDT,4h,oos_warm,fixed_1.5r,baseline,46,31,25,0.6739130434782609,0.1417028086555727,0.0215191183469707,0.64,20.462079315620173,0.5999999999999995,0.538218625316506,1.444102043556679,-1.072240784888246,3.0395833333333333,16,9,0
ETH/USDT:USDT,4h,oos_warm,ob_extend,baseline,46,31,25,0.6739130434782609,0.1417028086555727,0.0215191183469707,0.64,20.462079315620173,0.5999999999999995,0.538218625316506,1.444102043556679,-1.072240784888246,3.0395833333333333,16,9,0
ETH/USDT:USDT,4h,oos_warm,fixed_1.5r,pen_5bp,46,30,25,0.6521739130434783,0.1417019086764476,0.0215241034881543,0.64,20.461299467211095,0.5999999999999996,0.5382159392558783,1.4441293506615271,-1.0722967921319415,3.0395833333333333,16,9,0
ETH/USDT:USDT,4h,oos_warm,ob_extend,pen_5bp,46,30,25,0.6521739130434783,0.1417019086764476,0.0215241034881543,0.64,20.461299467211095,0.5999999999999996,0.5382159392558783,1.4441293506615271,-1.0722967921319415,3.0395833333333333,16,9,0
ETH/USDT:USDT,4h,oos,fixed_1.5r,baseline,40,28,22,0.7,0.0934849063160525,0.0215191183469708,0.5909090909090909,15.338473444274523,0.4772727272727269,0.4140531345509824,1.44302584800891,-1.0722407848882465,3.154166666666667,13,9,0
ETH/USDT:USDT,4h,oos,ob_extend,baseline,40,28,22,0.7,0.0934849063160525,0.0215191183469708,0.5909090909090909,15.338473444274523,0.4772727272727269,0.4140531345509824,1.44302584800891,-1.0722407848882465,3.154166666666667,13,9,0
ETH/USDT:USDT,4h,oos,fixed_1.5r,pen_5bp,40,27,22,0.675,0.0934840443460354,0.0215241034881544,0.5909090909090909,15.337813552237206,0.477272727272727,0.4140500822093601,1.443059456753338,-1.0722967921319415,3.154166666666667,13,9,0
ETH/USDT:USDT,4h,oos,ob_extend,pen_5bp,40,27,22,0.675,0.0934840443460354,0.0215241034881544,0.5909090909090909,15.337813552237206,0.477272727272727,0.4140500822093601,1.443059456753338,-1.0722967921319415,3.154166666666667,13,9,0
SOL/USDT:USDT,4h,full,fixed_1.5r,baseline,126,88,76,0.6984126984126984,0.3364607263108504,0.0412724490098484,0.5789473684210527,14.83467162665423,0.4473684210526316,0.3991395061308771,1.4455665437830334,-1.0396976706408376,1.7791666666666666,44,32,0
SOL/USDT:USDT,4h,full,ob_extend,baseline,126,88,76,0.6984126984126984,0.3401477479473484,0.0412724490098484,0.5789473684210527,14.945474274503066,0.4518532741742529,0.4037219070458067,1.4534815999088209,-1.0396976706408376,1.7791666666666666,44,32,0
SOL/USDT:USDT,4h,full,fixed_1.5r,pen_5bp,126,87,75,0.6904761904761905,0.2853413138516916,0.0509585827243625,0.56,12.974747507436584,0.3999999999999999,0.3522626426091305,1.4461247404861313,-1.0399254819615975,1.9125,42,33,0
SOL/USDT:USDT,4h,full,ob_extend,pen_5bp,126,87,75,0.6904761904761905,0.2882226225227923,0.0509585827243625,0.56,13.06886923987488,0.4038463413019102,0.3562084606808064,1.4531708441855526,-1.039925481961598,1.9125,42,33,0
