symbol,timeframe,segment,fill,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,fill_rate,eligible_setups,funding_coverage
ETH/USDT:USDT,1d,IS,baseline,0.022609753444698982,5,5,0,9,0.030964313390570618,0.022609753444698982,0.04388127405402738,1.0,200,0,0.5333333333333333,15,0.6
ETH/USDT:USDT,1d,IS,pen_5bp,0.022609753444698982,5,5,0,9,0.030964313390570618,0.022609753444698982,0.04388127405402738,1.0,200,0,0.5333333333333333,15,0.6
ETH/USDT:USDT,1d,OOS,baseline,-0.006706446885225887,7,7,0,8,-0.0009696225068766153,-0.006706446885225887,0.0033581572873166805,1.0,200,0,0.8888888888888888,9,0.8571428571428571
ETH/USDT:USDT,1d,OOS,pen_5bp,-0.006706446885225887,7,7,0,8,-0.0009696225068766153,-0.006706446885225887,0.0033581572873166805,1.0,200,0,0.8888888888888888,9,0.8571428571428571
SOL/USDT:USDT,15m,IS,baseline,0.8656988117971574,609,609,0,1281,0.28615490091315254,-0.021919493092744415,0.6293587288363935,0.0,200,0,0.5009322560596644,1609,0.24958949096880131
SOL/USDT:USDT,15m,IS,pen_5bp,0.2686996514395716,571,571,0,1175,0.05927392256313389,-0.18132442199125126,0.33617865402762326,0.065,200,0,0.46550652579241764,1609,0.2574430823117338
SOL/USDT:USDT,15m,OOS,baseline,0.16580043667249464,291,291,0,652,0.12723956786477142,-0.03238362111199167,0.3284420995776018,0.32,200,0,0.5092936802973977,807,0.24398625429553264
SOL/USDT:USDT,15m,OOS,pen_5bp,0.05601086529307904,282,282,0,593,0.051704861127497635,-0.12034421465864362,0.24072626741780404,0.425,200,0,0.46964064436183395,807,0.25177304964539005
SOL/USDT:USDT,1h,IS,baseline,0.2856327300052337,157,157,0,320,0.16169222406940523,-0.0013159550043679701,0.3303990136017601,0.085,200,0,0.5050505050505051,396,0.5286624203821656
SOL/USDT:USDT,1h,IS,pen_5bp,0.2545394977957787,151,151,0,309,0.14148466856963904,-0.028748163401207786,0.33992495408232537,0.105,200,0,0.4898989898989899,396,0.5562913907284768
SOL/USDT:USDT,1h,OOS,baseline,0.05557517526105512,72,72,0,141,-0.002647491385120308,-0.10032578716805673,0.11280243480242516,0.12,200,0,0.505,200,0.5138888888888888
SOL/USDT:USDT,1h,OOS,pen_5bp,0.04077785182803273,69,69,0,136,-0.024624303353116626,-0.10436834271309417,0.05534567769791702,0.065,200,0,0.49,200,0.5362318840579711
SOL/USDT:USDT,4h,IS,baseline,0.03296811339906908,40,40,0,57,0.04631764606249536,-0.019290606302331436,0.11573848043308826,0.615,200,0,0.6716417910447762,67,0.775
SOL/USDT:USDT,4h,IS,pen_5bp,0.03300696619452701,40,40,0,57,0.045984394387396044,-0.019768894984594408,0.11662584608287653,0.665,200,0,0.6716417910447762,67,0.775
SOL/USDT:USDT,4h,OOS,baseline,0.1040938587400913,19,19,0,40,0.04458752105596067,-0.017263077484882705,0.11336633106915905,0.055,200,0,0.6304347826086957,46,0.8421052631578947
SOL/USDT:USDT,4h,OOS,pen_5bp,0.1040938587400913,19,19,0,39,0.05248307228334425,-0.0025153513338096673,0.10626228931091082,0.03,200,0,0.6304347826086957,46,0.8421052631578947
SOL/USDT:USDT,1d,IS,baseline,-0.0012129359407110315,5,5,0,10,-0.01481060933264684,-0.026106644866848366,-0.0009409669265640332,0.1,200,0,0.4166666666666667,12,1.0
SOL/USDT:USDT,1d,IS,pen_5bp,-0.0012123190445992805,5,5,0,10,-0.010683084046855942,-0.016116175272895453,0.008747929552604365,0.26,200,0,0.4166666666666667,12,1.0
SOL/USDT:USDT,1d,OOS,baseline,-0.02001887621423939,2,2,0,2,-0.02001887621423934,-0.02001887621423939,-0.02001887621423939,1.0,200,0,0.5,4,1.0
SOL/USDT:USDT,1d,OOS,pen_5bp,-0.02001887621423939,2,2,0,2,-0.02001887621423934,-0.02001887621423939,-0.02001887621423939,1.0,200,0,0.5,4,1.0
