칸(종목),칸(TF),진입시각(UTC),청산시각(UTC),청산사유,진입가,손절가,tp,tp_derived,재진입,bar_open,bar_high,bar_low,bar_close,bar_span,fill_position,entry_bar_mae_r,entry_bar_mfe_r,can_stop,can_tp,bar_range_pct,range_over_r,recorded_same_tp,recorded_same_sl
DOGE/USDT:USDT,15m,2024-08-11 20:04,2024-08-11 20:33,손절,0.1024004759999999,0.10157,0.1036461899999999,False,False,0.10253,0.10259,0.10196,0.10226,0.0006300000000000056,0.699168253968086,0.5303898005480608,0.22821129087430633,False,False,0.6152315151347599,0.7586010914223672,False,False
BCH/USDT:USDT,15m,2024-08-11 20:08,2024-08-11 22:09,손절,332.876562,330.41,336.5764049999999,False,False,333.74,333.81,332.29,332.48,1.5199999999999818,0.38589605263155596,0.237805496071037,0.37843686880769317,False,False,0.45662572061771717,0.6162423648787302,False,False
SOL/USDT:USDT,1h,2024-08-14 01:29,2024-08-14 03:31,익절,143.959444242532,142.853,145.61911060632997,False,False,144.05,144.083,143.833,144.083,0.25,0.505776970127954,0.1142798142657731,0.11166921270724631,False,False,0.17366002023376728,0.2259490269730194,False,False
BCH/USDT:USDT,15m,2024-08-14 13:41,2024-08-14 13:49,손절,341.8879892958954,339.25,345.8449732397385,False,False,342.72,342.95,341.33,342.41,1.6200000000000045,0.3444378369724834,0.2115206823483441,0.4025834015918943,False,False,0.47383940083310017,0.6141040839402384,False,False
XRP/USDT:USDT,15m,2024-08-14 13:47,2024-08-14 14:02,손절,0.5693138400000001,0.565,0.5757846000000002,False,False,0.5736,0.5738,0.5664,0.5708,0.007399999999999962,0.3937621621621718,0.6754631604324621,1.039945848710146,False,False,1.2998103120064604,1.7154090091426082,False,False
XRP/USDT:USDT,15m,2024-08-14 14:02,2024-08-14 14:05,익절,0.565113,0.5622,0.5694824999999999,False,False,0.5665,0.567,0.565,0.5669,0.0020000000000000018,0.05650000000001482,0.03879162375558941,0.6477857878475828,False,False,0.3539115185812398,0.6865774116031722,False,False
XRP/USDT:USDT,15m,2024-08-14 14:11,2024-08-14 14:18,익절,0.565113,0.5622,0.5694824999999999,True,True,0.5684,0.5684,0.5637,0.5647,0.0047000000000000375,0.30063829787233753,0.4850669412976399,1.1283899759698262,False,False,0.8316920686659195,1.6134569172674662,False,False
ADA/USDT:USDT,15m,2024-08-14 14:02,2024-08-14 14:52,익절,0.33276654,0.3302,0.33661635,False,False,0.3337,0.334,0.3325,0.334,0.0015000000000000013,0.17769333333332105,0.10385187840438145,0.48059254872319024,False,False,0.4507664742975665,0.5844444271275717,False,False
BTC/USDT:USDT,15m,2024-08-14 14:11,2024-08-14 15:04,익절,58843.366319999994,58360.0,59568.41579999999,False,False,59175.0,59178.7,58809.4,58887.3,369.29999999999563,0.09197487137826338,0.07027034899740782,0.6937464736889565,False,False,0.6275983566128439,0.7640168226863643,False,False
SOL/USDT:USDT,15m,2024-08-14 15:27,2024-08-14 15:38,익절,144.5977976917294,144.096,145.3504942293235,False,False,144.972,145.023,144.5,144.915,0.5229999999999961,0.1869936744347953,0.1948946624133476,0.8473580394624443,False,False,0.36169292226358046,1.0422527018757919,False,False
