symbol,timeframe,segment,guard,lens,num_candidates,num_trades,total_return,max_drawdown,win_rate,mean_net_r,cost_r_median,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate
BTC/USDT:USDT,15m,oos,0.0055000000000000005,baseline,508.0,45.0,0.09160386619202582,0.025929146348991804,0.5555555555555556,0.2222854726803354,0.1704675653273664,1.5716728166811722,0.9555555555555556,0.006776114305911088,0.9035433070866141
BTC/USDT:USDT,15m,is,0.0,pen_5bp,782.0,623.0,0.9296213118775176,0.07407018381786028,0.5922953451043339,0.13855213741236422,0.28130843963068985,1.4028216303150047,0.9390048154093098,0.004444802609793794,0.0
BTC/USDT:USDT,15m,is,0.0015,pen_5bp,782.0,581.0,0.9437486113996558,0.07622646768869927,0.5834767641996558,0.15889062033222565,0.27030895133937693,1.4182577766056048,0.9345955249569707,0.004678117463296806,0.07800511508951406
BTC/USDT:USDT,15m,is,0.002,pen_5bp,782.0,530.0,0.9947014420509429,0.07072458058360341,0.5886792452830188,0.2047828225531733,0.257919118944876,1.463522304338325,0.9283018867924528,0.004961450850725664,0.159846547314578
BTC/USDT:USDT,15m,is,0.0022,pen_5bp,782.0,511.0,1.0012212499928759,0.07072458058360295,0.589041095890411,0.2151902826706386,0.24981095837508147,1.4776109069526169,0.9256360078277887,0.005067465804502722,0.19053708439897699
BTC/USDT:USDT,15m,is,0.0025,pen_5bp,782.0,485.0,1.0135436132133064,0.07452527569770395,0.5896907216494846,0.22930838746445298,0.24076154537616462,1.494546249166838,0.9216494845360824,0.005221254132222763,0.24168797953964194
BTC/USDT:USDT,15m,is,0.003,pen_5bp,782.0,438.0,0.9816693846098795,0.07636910374302769,0.58675799086758,0.23923106942552516,0.22996596788305254,1.5143093413102804,0.91324200913242,0.005487174925247882,0.3209718670076726
BTC/USDT:USDT,15m,is,0.0033,pen_5bp,782.0,401.0,0.9526988105680033,0.07172340096197716,0.5835411471321695,0.24342531956525212,0.21671970249175898,1.5333377421397656,0.9052369077306733,0.005713451940456436,0.38107416879795397
BTC/USDT:USDT,15m,is,0.0055000000000000005,pen_5bp,782.0,163.0,0.7176284982103797,0.047339624370382534,0.6196319018404908,0.4063314061249539,0.1472127935934317,1.9295332998307502,0.7668711656441718,0.007843504047674133,0.7647058823529411
BTC/USDT:USDT,15m,oos,0.0,pen_5bp,377.0,310.0,-0.08873981574151275,0.10356679728358902,0.5064516129032258,-0.17577458265292062,0.3818291829592307,0.8630234702913688,0.9935483870967742,0.0032408130382664845,0.0
BTC/USDT:USDT,15m,oos,0.0015,pen_5bp,377.0,268.0,-0.07942893984269067,0.09821999900222264,0.48880597014925375,-0.15088941034686934,0.34650505776617163,0.8722895407704064,0.9925373134328358,0.0035654925768248765,0.16976127320954906
BTC/USDT:USDT,15m,oos,0.002,pen_5bp,377.0,227.0,-0.07144716704148486,0.09484416011992795,0.4669603524229075,-0.15653487285534698,0.313270373512226,0.8771602303731547,0.9911894273127754,0.003897896074130871,0.32625994694960214
BTC/USDT:USDT,15m,oos,0.0022,pen_5bp,377.0,210.0,-0.05521644752538596,0.07655579860004763,0.4714285714285714,-0.12924891096441204,0.3003220908190523,0.9001915373845383,0.9904761904761905,0.004043048996177069,0.3793103448275862
BTC/USDT:USDT,15m,oos,0.0025,pen_5bp,377.0,183.0,-0.04385043440119116,0.07810404427426565,0.4644808743169399,-0.12292965217953068,0.282011650694284,0.9141882352197325,0.9890710382513661,0.004293122249303821,0.46419098143236076
BTC/USDT:USDT,15m,oos,0.003,pen_5bp,377.0,148.0,-0.002656210888948044,0.07279686885407906,0.4797297297297297,-0.05707749390527636,0.2676905329323924,0.9940007872300978,0.9864864864864865,0.004658880308456028,0.5809018567639257
BTC/USDT:USDT,15m,oos,0.0033,pen_5bp,377.0,129.0,0.02390163196985577,0.06357128915149501,0.49612403100775193,-0.002055398994183383,0.26015696704798136,1.0606112483381358,0.9844961240310077,0.004881634715281919,0.6312997347480106
BTC/USDT:USDT,15m,oos,0.0055000000000000005,pen_5bp,377.0,39.0,0.06443514924374595,0.025929146348992016,0.5384615384615384,0.1788585704334899,0.17046756532736637,1.4546373809874162,0.9487179487179487,0.006725677201687336,0.8912466843501327
ETH/USDT:USDT,15m,is,0.0,baseline,848.0,703.0,1.72856749751413,0.049798739869262115,0.6116642958748222,0.2169361322698954,0.23926928534323313,1.5177729985364992,0.9018492176386913,0.005030111632242621,0.0
ETH/USDT:USDT,15m,is,0.0015,baseline,848.0,632.0,1.7297022007695986,0.05162169757554834,0.6075949367088608,0.25845259695147205,0.21752706115270304,1.5319904635687835,0.8908227848101266,0.005478592210234295,0.11084905660377359
ETH/USDT:USDT,15m,is,0.002,baseline,848.0,589.0,1.6498927035469357,0.06695891259002523,0.5925297113752123,0.24753891517529594,0.20792248911289335,1.5181832596892189,0.8828522920203735,0.005749004387071515,0.1721698113207547
ETH/USDT:USDT,15m,is,0.0022,baseline,848.0,571.0,1.6083205791004145,0.07002515862937347,0.5866900175131349,0.24204784362355586,0.20375197572948564,1.5131674722762676,0.8791593695271454,0.00586375639799879,0.20400943396226415
ETH/USDT:USDT,15m,is,0.0025,baseline,848.0,549.0,1.580363585962103,0.07562848421635267,0.5828779599271403,0.24260808181486596,0.19843413836976062,1.5149984122106945,0.8743169398907104,0.006004762733400774,0.2358490566037736
ETH/USDT:USDT,15m,is,0.003,baseline,848.0,503.0,1.5239265888594997,0.06716887238616706,0.5785288270377733,0.24905650184324,0.18946093146276882,1.5293940375393078,0.8628230616302187,0.006302897402997313,0.30660377358490565
ETH/USDT:USDT,15m,is,0.0033,baseline,848.0,477.0,1.4688736344295081,0.0652764814996869,0.5744234800838575,0.2472250747082731,0.18473318303492398,1.5297609831251306,0.8553459119496856,0.006474291764929119,0.3455188679245283
ETH/USDT:USDT,15m,is,0.0055000000000000005,baseline,848.0,288.0,1.0805245752172479,0.06549808991415823,0.5798611111111112,0.3096250582635799,0.14112218631573836,1.6117509155129204,0.7534722222222222,0.007917317535312373,0.6108490566037735
ETH/USDT:USDT,15m,oos,0.0,baseline,525.0,444.0,0.3673522787185426,0.06369087261104324,0.5923423423423423,0.1259470909494507,0.2872315797866676,1.2985304436152523,0.9797297297297297,0.004265196705358401,0.0
