lens,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate
baseline,BTC/USDT:USDT,1h,is,matched_random,18,248.0,187.0,0.33341074871773707,0.10273768834868716,0.5347593582887701
baseline,BTC/USDT:USDT,1h,is,matched_random,19,248.0,180.0,0.6162767339726106,0.06764959881410197,0.5722222222222222
baseline,BTC/USDT:USDT,1h,is,matched_random,-1,248.0,182.25,0.36550444516508435,0.08427970181321928,0.5387281628772371
baseline,BTC/USDT:USDT,1h,oos,default,-1,343.0,184.0,0.13513624298223476,0.12348146674624094,0.4945652173913043
baseline,BTC/USDT:USDT,1h,oos,filter_bot3,-1,135.0,93.0,0.06221506757113566,0.06473370960805953,0.5161290322580645
baseline,BTC/USDT:USDT,1h,oos,matched_random,0,135.0,93.0,0.03402726616304444,0.07593276375701001,0.4731182795698925
baseline,BTC/USDT:USDT,1h,oos,matched_random,1,135.0,95.0,0.097985511690583,0.10633390255382365,0.5157894736842106
baseline,BTC/USDT:USDT,1h,oos,matched_random,2,135.0,97.0,0.03397163138712676,0.07905123556480731,0.4639175257731959
baseline,BTC/USDT:USDT,1h,oos,matched_random,3,135.0,97.0,0.025988021755318187,0.07765390005742201,0.4845360824742268
baseline,BTC/USDT:USDT,1h,oos,matched_random,4,135.0,87.0,0.00607960688268904,0.08116598789858498,0.47126436781609193
baseline,BTC/USDT:USDT,1h,oos,matched_random,5,135.0,94.0,0.010581259339879216,0.10558544188782504,0.4574468085106383
baseline,BTC/USDT:USDT,1h,oos,matched_random,6,135.0,89.0,-0.019162315058753848,0.1084048897507554,0.43820224719101125
baseline,BTC/USDT:USDT,1h,oos,matched_random,7,135.0,91.0,-0.01650250173064378,0.08466622527103584,0.43956043956043955
baseline,BTC/USDT:USDT,1h,oos,matched_random,8,135.0,98.0,-0.06955456261197032,0.1239419069459507,0.42857142857142855
baseline,BTC/USDT:USDT,1h,oos,matched_random,9,135.0,98.0,0.05082058903381403,0.09231065966820187,0.47959183673469385
baseline,BTC/USDT:USDT,1h,oos,matched_random,10,135.0,96.0,0.06158290305799837,0.06804472781280105,0.5
baseline,BTC/USDT:USDT,1h,oos,matched_random,11,135.0,92.0,-0.12468649760442695,0.1505378727285774,0.3804347826086957
baseline,BTC/USDT:USDT,1h,oos,matched_random,12,135.0,89.0,0.08669997991035398,0.05580373023651148,0.48314606741573035
baseline,BTC/USDT:USDT,1h,oos,matched_random,13,135.0,92.0,-0.0487193042557843,0.08864666445093373,0.42391304347826086
baseline,BTC/USDT:USDT,1h,oos,matched_random,14,135.0,100.0,0.07353511913464172,0.06506246580592355,0.49
