threshold_atr,lens,barrier,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate,guard,threshold_fraction,mean_net_r,net_r_win,net_r_loss,cost_r_median,breakeven_win_rate,win_rate_margin,profit_factor,cap_hit_rate,effective_risk_mean,guard_reject_rate
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,19,70.0,56.0,-0.054886312720605,0.105855147524118,0.375,0.003,0.3333333333333333,-0.099420216575963,1.4645483782341766,-1.0378013734620468,0.0341731433408105,0.4136692573363242,-0.0386692573363242,0.8512365514605907,0.0178571428571428,0.009948532258372,0.0
1.6,baseline,atr,ETH/USDT:USDT,4h,is,matched_random,-1,70.0,56.95,-0.0027327567132219,0.1073103916968672,0.4133288058080618,0.003,0.3333333333333333,-0.00796022104321,1.4605854222122476,-1.0426786473827503,0.0380240461265217,0.4152096184506087,-0.0018808126425467,0.9946381654253758,0.0184379163919263,0.009955914564521,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,default,-1,83.0,50.0,0.2172131924633322,0.0512989472630195,0.58,0.003,0.3333333333333333,0.4012480974266354,1.4528389449468924,-1.0509487872441956,0.0445294177850753,0.4178117671140302,0.1621882328859697,1.8600076265760823,0.02,0.00999749772248,0.0120481927710843
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,filter_bot3,-1,36.0,28.0,0.1342162915784716,0.031461768990445,0.6071428571428571,0.003,0.3333333333333333,0.4578159327966835,1.444209809137868,-1.0666109670033292,0.0579494503980199,0.423179780159208,0.1839630769836491,2.0244711060581575,0.0357142857142857,0.0099955316472858,0.0277777777777777
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,0,36.0,30.0,0.2006714637735902,0.0212108139483693,0.6666666666666666,0.003,0.3333333333333333,0.6179881960350598,1.4543214765760497,-1.0546783650469194,0.0363129350815822,0.4145251740326329,0.2521414926340337,2.7706332108842906,0.0333333333333333,0.0099958295374668,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,1,36.0,29.0,0.1261377258720949,0.0309501332470946,0.5862068965517241,0.003,0.3333333333333333,0.4180130428986359,1.4501464012602976,-1.0441758814470514,0.039793374756743,0.4159173499026972,0.1702895466490269,1.9155067833953427,0.0,0.0099999999999999,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,2,36.0,27.0,0.040038806862075,0.0645830443532254,0.4814814814814814,0.003,0.3333333333333333,0.1527201301609935,1.4445472121466207,-1.0468335888256604,0.047915962156279,0.4191663848625116,0.0623150966189698,1.2565641163898609,0.037037037037037,0.0099953661527409,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,3,36.0,28.0,0.0552597252950414,0.0645041656422365,0.5,0.003,0.3333333333333333,0.1995998886300106,1.4513415350913557,-1.0521417578313343,0.0465631286545396,0.4186252514618158,0.0813747485381841,1.347577222924005,0.0357142857142857,0.0099955316472858,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,4,36.0,30.0,0.0842918919131005,0.0420812999036443,0.5333333333333333,0.003,0.3333333333333333,0.2774945565624909,1.4496724858654204,-1.062137362640857,0.0535324727753054,0.4214129891101222,0.1119203442232111,1.526307516276158,0.0333333333333333,0.0099958295374668,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,5,36.0,26.0,0.1055408012862002,0.0309568922136935,0.5769230769230769,0.003,0.3333333333333333,0.3936894843268742,1.4488283899625496,-1.0451362960854105,0.0415983425793657,0.4166393370317463,0.1602837398913305,1.854584732963439,0.0384615384615384,0.0099951879278463,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,6,36.0,27.0,0.122573448330328,0.0208858971446944,0.5925925925925926,0.003,0.3333333333333333,0.4366487131153531,1.4522874321456696,-1.040643969110562,0.039793374756743,0.4159173499026972,0.1766752426898953,1.9906886211974968,0.0,0.01,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,7,36.0,28.0,0.0564063277381375,0.0522528618270409,0.5,0.003,0.3333333333333333,0.2035145834242516,1.4575664561165864,-1.050537289268083,0.0399353361957571,0.4159741344783028,0.0840258655216971,1.3646082412141411,0.0357142857142857,0.0099955316472858,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,8,36.0,28.0,0.0556203481333432,0.0615284981255166,0.5,0.003,0.3333333333333333,0.2008187576552926,1.452268892668368,-1.050631377357783,0.0463487102587919,0.4185394841035167,0.0814605158964832,1.353300111606769,0.0357142857142857,0.0099955316472858,0.0
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,9,36.0,30.0,0.0858855173445254,0.0346230955726782,0.5333333333333333,0.003,0.3333333333333333,0.2823250340623029,1.448714214997031,-1.0506911727202428,0.046012318476204,0.4184049273904816,0.1149284059428517,1.5610365045686192,0.0333333333333333,0.0099958295374668,0.0277777777777777
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,10,36.0,28.0,0.0567989532172756,0.052013982357123,0.5,0.003,0.3333333333333333,0.2053951230057174,1.4634157305836326,-1.0526254845721978,0.0393911334052714,0.4157564533621086,0.0842435466378914,1.3630201429396491,0.0,0.01,0.0277777777777777
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,11,36.0,25.0,0.1176684401928663,0.0306437000330941,0.6,0.003,0.3333333333333333,0.4533964738495829,1.448897457904078,-1.03985500223216,0.039793374756743,0.4159173499026972,0.1840826500973028,2.0420758177129215,0.0,0.01,0.0277777777777777
1.6,baseline,zone,ETH/USDT:USDT,4h,oos,matched_random,12,36.0,29.0,0.1565119058819216,0.0311461901162383,0.6206896551724138,0.003,0.3333333333333333,0.5099786363014736,1.4556538375593,-1.0374898748476973,0.0357308289751349,0.414292331590054,0.2063973235823598,2.2369365201437623,0.0,0.0099999999999999,0.0
