arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades,exclude
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,44,11,9802,0.41593552336257905,-0.08426666597757712,-825.981859912211,-4.253609402575421,4.2641145878427515,-0.9975363736009155,15,17.092974403470027,7248,False,169,708,0.2387005649717514,7933,0.5783334548370634,0.03967799673669354,0.12394466271427095,0.04451862570336228,0.030901597124398755,0.013102082442399325,0.03557793950438459,1.9153608027941307e-05,-0.0001747356683023522,2.842170943040401e-14,0.0069296124096600705,631,0,477,ETH/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,44,11,13826,0.4017069289743961,-0.11734822086606284,-1622.4565016941847,-9.865725388488837,8.82884346447075,-1.1174425538509922,16,154.3637470941669,11298,False,0,707,0.0,0,0.0,0.0041581221165535994,0.12150634298261644,0.04414232602057276,0.02993215939363521,0.012276060609827522,0.035282596658314194,1.3607227739726146e-05,-0.0001404069274733581,2.842170943040401e-14,0.007215960573662824,1487,0,686,LINK/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,44,11,6155,0.41380991064175465,-0.09319007694433486,-573.5849235923811,-3.1233658310012298,3.356823820828359,-0.9304527129548553,13,28.58182099952396,4447,False,390,707,0.5516265912305516,18854,1.36366266454506,0.034271476192398495,0.12746155313673324,0.04588657214747645,0.03175575367368887,0.013407979109934772,0.036660384061487146,3.051902763920689e-05,-0.00027965488349329605,2.842170943040401e-14,0.006743245261391361,364,0,317,LINK/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,44,11,9777,0.41249872148920935,-0.09501875550836787,-928.9983726053127,-4.841695247592196,4.589109139643302,-1.055040335773868,15,28.420313527993642,7224,False,178,707,0.25176803394625175,8483,0.6135541732966874,0.0310855808543592,0.12610433636272758,0.04549948201147716,0.031294414756993946,0.013100839068571993,0.036362183232164294,1.920258421702779e-05,-0.00017178529069733874,2.842170943040401e-14,0.006827606987863427,668,0,469,LINK/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,44,11,13776,0.4011324041811847,-0.11846572701324096,-1631.9838553344075,-9.978337789623357,8.923027411181703,-1.1182681986518628,17,111.09731538029575,11058,False,0,706,0.0,0,0.0,0.002721413790902279,0.12118714080414332,0.04402992710029742,0.029843243191069693,0.01223181663370703,0.03519267309422106,1.3656615180709472e-05,-0.00012417583033286458,2.842170943040401e-14,0.0072260658646808255,1455,0,689,LTC/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,44,11,6212,0.41629104958145524,-0.08661747823246532,-538.0677747800746,-3.1234068334756624,3.2484028974146413,-0.9615207633146549,14,6.925661484293223,4586,False,387,706,0.5481586402266289,18593,1.3496660859465737,0.04047664777273229,0.12709412600519746,0.045562237311140695,0.03176986895806444,0.013553069363160714,0.03640132596250498,3.023899148733394e-05,-0.00022261458116075184,2.842170943040401e-14,0.006721250354381383,369,0,309,LTC/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,44,11,9805,0.4176440591534931,-0.08083969675307351,-792.6332266638857,-4.191354873570487,4.175181847886749,-1.003873609886459,15,57.00192112515747,7261,False,168,706,0.23796033994334279,8349,0.6060540069686411,0.04394938541693726,0.12478908217001095,0.04476483314784628,0.03113837306454526,0.013241229682488238,0.03577481283735347,1.9147747668524292e-05,-0.00014931430989097294,2.842170943040401e-14,0.006865293607945037,666,0,475,LTC/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,44,11,13666,0.3982145470510757,-0.12573728467948272,-1718.325732429811,-10.722438205432175,9.633969262614881,-1.1129823973013027,16,219.58008811418853,11377,False,0,709,0.0,0,0.0,-0.004396039513166237,0.12134124516631642,0.04411016681064001,0.029815098570052347,0.012170152637891772,0.03525675137023831,1.3738011553481685e-05,-2.4662234059882264e-05,2.842170943040401e-14,0.007264300285391876,1422,0,684,SOL/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,44,11,6313,0.42087755425312845,-0.07481170689847362,-472.286305650064,-2.697279847173978,3.163482121447986,-0.8526300271737846,13,60.9987234045014,4450,False,385,709,0.5430183356840621,18324,1.3408458949217035,0.05194692475276614,0.12675863165124002,0.045198171127925596,0.03177825284896933,0.013709373782747768,0.03611070242795019,2.9755205943183658e-05,-6.762374229611832e-05,2.842170943040401e-14,0.006746536414880082,384,0,311,SOL/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,44,11,9658,0.4150962932284117,-0.08761054695633497,-846.1426625042831,-4.529694632906259,4.310292052733386,-1.0509020218325433,15,10.138497644184707,6859,False,170,709,0.2397743300423131,8458,0.6189082394263135,0.03757752371226654,0.1251880706686021,0.04502110698706229,0.031089423834156027,0.013088496544071565,0.0359794379600824,1.9439186776753025e-05,-9.83384354747242e-06,2.842170943040401e-14,0.006921644128854841,621,0,469,SOL/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,44,11,14342,0.402942406916748,-0.11238135345927186,-1611.773371312877,-10.230847724618792,9.173637786736586,-1.115244351527672,17,194.2458438018091,11431,False,0,709,0.0,0,0.0,0.00725074580835802,0.11963209926762985,0.04314016883679427,0.0294225859710286,0.012167968585470664,0.03448176133834803,1.3117663556648562e-05,0.0004064968724313908,2.842170943040401e-14,0.007359461439532707,1543,0,1053,TRX/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,44,11,6463,0.4247253597400588,-0.06402247189566043,-413.77723586165337,-2.33577756716053,2.763603622244176,-0.845192685506675,14,137.7467371825115,4637,False,380,709,0.535966149506347,19160,1.3359364105424627,0.06157217019406051,0.1255946420897209,0.04433851578172509,0.0314323866951347,0.013709294816481568,0.03542401260277573,2.906461629573239e-05,0.0006613675773080761,2.842170943040401e-14,0.006848985798422838,381,0,457,TRX/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,44,11,10162,0.4219641802794725,-0.06884119233754162,-699.5641965340978,-3.717837680028049,3.827526839956993,-0.9713420272370509,16,235.47488865556164,7221,False,172,709,0.24259520451339917,8632,0.6018686375679821,0.05475533595877481,0.12359652829631655,0.04387213214512715,0.030813619569245616,0.013275717778384688,0.03506168179279995,1.847507044773477e-05,0.0005549019403111562,2.842170943040401e-14,0.006970271959573459,701,0,692,TRX/USDT:USDT
