sizing,scope,universe,symbol,timeframe,segment,scenario,leverage,total_return,win_rate,max_drawdown,num_trades,fill_rate,mean_r,sharpe,peak_concurrency,max_open_notional_ratio,max_concurrent_risk_ratio,clamped_entries,skipped_notional,liquidations
risk_pct,series,15m,ETH/USDT:USDT,15m,is,lev_2,2.0,0.3997851829556284,0.49907235621521334,0.23673254341310643,539,0.5038709677419355,0.24768089053803338,11.033872804293416,3,2.0000000000000004,0.030097457666255174,161.0,3.0,0.0
risk_pct,series,15m,ETH/USDT:USDT,15m,is,lev_3,3.0,0.37694241744548945,0.496309963099631,0.2766073911712531,542,0.5038709677419355,0.24077490774907748,10.073506682826517,4,3.0000000000000004,0.03559841772811151,31.0,0.0,0.0
risk_pct,series,15m,ETH/USDT:USDT,15m,oos,single,1.0,0.5147820944367255,0.551094890510949,0.06287856204849421,274,0.49774266365688485,0.3777372262773723,30.167015668414844,1,,,,,
risk_pct,series,15m,ETH/USDT:USDT,15m,oos,lev_1,1.0,0.5133807436342999,0.5521885521885522,0.06672375099111179,297,0.49774266365688485,0.38047138047138046,28.159423379282746,4,1.0000000000000002,0.03921781406569731,206.0,13.0,0.0
risk_pct,series,15m,ETH/USDT:USDT,15m,oos,lev_2,2.0,0.7957758168130382,0.551948051948052,0.10722268286238128,308,0.49774266365688485,0.37987012987012986,31.515881512420954,5,2.0000000000000004,0.04007261680927741,83.0,2.0,0.0
risk_pct,series,15m,ETH/USDT:USDT,15m,oos,lev_3,3.0,0.9036734845773168,0.5501618122977346,0.12299637795831617,309,0.49774266365688485,0.37540453074433655,32.93028216870423,5,3.0000000000000004,0.04958357931158734,20.0,0.0,0.0
risk_pct,series,1h,ETH/USDT:USDT,1h,is,single,1.0,0.16682685727499666,0.5167785234899329,0.12076368717392588,149,0.46808510638297873,0.28378378378378377,9.288968333417422,1,,,,,
risk_pct,series,1h,ETH/USDT:USDT,1h,is,lev_1,1.0,0.18712790759993714,0.5159235668789809,0.12076368717392624,157,0.46808510638297873,0.28205128205128205,9.820947669339516,3,1.0,0.029970051856505264,63.0,1.0,0.0
risk_pct,series,1h,ETH/USDT:USDT,1h,is,lev_2,2.0,0.25873421143755243,0.5159235668789809,0.13605471512014553,157,0.46808510638297873,0.28205128205128205,11.880358990460122,3,2.0,0.029934385799349733,20.0,1.0,0.0
risk_pct,series,1h,ETH/USDT:USDT,1h,is,lev_3,3.0,0.2849275698984495,0.5189873417721519,0.13289232287363664,158,0.46808510638297873,0.2898089171974522,12.629532627896653,3,3.0,0.029898974010332473,4.0,0.0,0.0
risk_pct,series,1h,ETH/USDT:USDT,1h,oos,single,1.0,0.16515191691649417,0.5512820512820513,0.07260688603759999,78,0.49065420560747663,0.3782051282051282,16.688993440325294,1,,,,,
risk_pct,series,1h,ETH/USDT:USDT,1h,oos,lev_1,1.0,0.13460126766308203,0.5301204819277109,0.0917879246590413,83,0.49065420560747663,0.3253012048192771,13.14202611786027,3,1.0000000000000002,0.030000000000000002,30.0,0.0,0.0
risk_pct,series,1h,ETH/USDT:USDT,1h,oos,lev_2,2.0,0.1815863678915639,0.5301204819277109,0.08728926750127487,83,0.49065420560747663,0.3253012048192771,15.940445898606816,3,2.0,0.03,9.0,0.0,0.0
risk_pct,series,1h,ETH/USDT:USDT,1h,oos,lev_3,3.0,0.1934089043542157,0.5301204819277109,0.08604051752561234,83,0.49065420560747663,0.3253012048192771,16.641576643265815,3,3.0,0.03,1.0,0.0,0.0
risk_pct,series,4h,ETH/USDT:USDT,4h,is,single,1.0,0.050835802423044155,0.5,0.04005625124545602,30,0.44,0.25,6.491712540077809,1,,,,,
risk_pct,series,4h,ETH/USDT:USDT,4h,is,lev_1,1.0,0.050835802423044155,0.5,0.04005625124545602,30,0.44,0.25,6.491712540077809,1,1.0,0.010000000000000002,3.0,0.0,0.0
risk_pct,series,4h,ETH/USDT:USDT,4h,is,lev_2,2.0,0.05430130598271935,0.5,0.04226031554656853,30,0.44,0.25,6.792141274435919,1,1.887615464201375,0.01,0.0,0.0,0.0
risk_pct,series,4h,ETH/USDT:USDT,4h,is,lev_3,3.0,0.05430130598271935,0.5,0.04226031554656853,30,0.44,0.25,6.792141274435919,1,1.887615464201375,0.01,0.0,0.0,0.0
risk_pct,series,4h,ETH/USDT:USDT,4h,oos,single,1.0,0.029927175742471262,0.5294117647058824,0.030733506926514994,17,0.5833333333333334,0.3235294117647059,6.953751557253508,1,,,,,
risk_pct,series,4h,ETH/USDT:USDT,4h,oos,lev_1,1.0,0.01918540742410296,0.5,0.03073350692651513,18,0.5833333333333334,0.25,4.341158700645916,2,1.0,0.02,3.0,0.0,0.0
risk_pct,series,4h,ETH/USDT:USDT,4h,oos,lev_2,2.0,0.029085597222475917,0.5,0.030733506926515133,18,0.5833333333333334,0.25,6.242437879654346,2,2.0,0.02,1.0,0.0,0.0
risk_pct,series,4h,ETH/USDT:USDT,4h,oos,lev_3,3.0,0.0324387368999096,0.5,0.030733506926514966,18,0.5833333333333334,0.25,6.8537712366293695,2,2.758496758679383,0.02,0.0,0.0,0.0
risk_pct,series,15m,SOL/USDT:USDT,15m,is,single,1.0,0.8458666750634642,0.5147540983606558,0.1024057784224972,610,0.5018610421836228,0.28688524590163933,19.400852868732517,1,,,,,
risk_pct,series,15m,SOL/USDT:USDT,15m,is,lev_1,1.0,0.8350760383199922,0.5119236883942766,0.10240577842249787,629,0.5018610421836228,0.27980922098569155,18.757088416905358,2,1.0000000000000002,0.02,377.0,2.0,0.0
risk_pct,series,15m,SOL/USDT:USDT,15m,is,lev_2,2.0,1.212614861567433,0.5111111111111111,0.12950967053531692,630,0.5018610421836228,0.2777777777777778,20.596775054154545,2,2.0000000000000004,0.020110268861055366,106.0,0.0,0.0
risk_pct,series,15m,SOL/USDT:USDT,15m,is,lev_3,3.0,1.2228520263854148,0.5111111111111111,0.13385368307746834,630,0.5018610421836228,0.2777777777777778,20.24107019244537,2,3.0000000000000004,0.020110268861055366,10.0,0.0,0.0
risk_pct,series,15m,SOL/USDT:USDT,15m,oos,single,1.0,0.1417644635389217,0.508833922261484,0.1216255483673006,283,0.5063451776649747,0.27208480565371024,10.35062762721216,1,,,,,
risk_pct,series,15m,SOL/USDT:USDT,15m,oos,lev_1,1.0,0.11521041693948009,0.5016949152542373,0.12162554836730073,295,0.5063451776649747,0.2542372881355932,8.393106410232713,3,1.0000000000000002,0.030000000000000002,213.0,2.0,0.0
risk_pct,series,15m,SOL/USDT:USDT,15m,oos,lev_2,2.0,0.2047637290413273,0.5,0.15796915539175999,296,0.5063451776649747,0.25,11.094083725058692,3,2.0000000000000004,0.030000000000000002,85.0,0.0,0.0
risk_pct,series,15m,SOL/USDT:USDT,15m,oos,lev_3,3.0,0.24664560101299504,0.5,0.1561804408146322,296,0.5063451776649747,0.25,12.412879381851834,3,3.0000000000000004,0.030000000000000002,9.0,0.0,0.0
