scenario,k,variant,scope,segment,exclude,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,max_open_notional_ratio,liquidation_events
k1.25_pure,1.25,pure,4h,oos_warm,-DOT,11,11,310,0.5612903225806452,0.8376835358382639,0.11426872050236431,6,0.05535375294728064,0.0691921911841008,3.427839819273697,0
k1.50_pure,1.5,pure,4h,full,-DOT,11,11,803,0.5915317559153176,3.28683839201908,0.3028085379731068,7,0.07,0.10500000000000002,3.4278398192736965,0
k1.50_pure,1.5,pure,4h,oos_warm,-DOT,11,11,310,0.5612903225806452,0.3157657955162349,0.16448821070616293,6,0.05535375294728064,0.08303062942092096,3.4278398192736965,0
k2.00_pure,2.0,pure,4h,full,-DOT,11,11,803,0.5915317559153176,-0.18099480970187734,0.5178855065270395,7,0.07,0.14,3.427839819273697,0
k2.00_pure,2.0,pure,4h,oos_warm,-DOT,11,11,310,0.5612903225806452,-0.32899847434443164,0.4204600629102389,6,0.05535375294728065,0.1107075058945613,3.4278398192736965,0
k1.00_pure,1.0,pure,4h,full,-ETH,11,11,802,0.5885286783042394,19.721591216237066,0.13462484986483308,6,0.060000000000000005,0.060000000000000005,2.8359974518567017,0
k1.00_pure,1.0,pure,4h,oos_warm,-ETH,11,11,301,0.5514950166112956,1.2920260612122945,0.07329616975027502,5,0.05010839967954776,0.05010839967954776,2.8359974518567017,0
k1.25_pure,1.25,pure,4h,full,-ETH,11,11,802,0.5885286783042394,8.112606682822449,0.18367260157630014,6,0.060000000000000005,0.07500000000000001,2.837467435409445,0
k1.25_pure,1.25,pure,4h,oos_warm,-ETH,11,11,301,0.5514950166112956,0.6496590553324313,0.11849020830255287,5,0.05013524812058769,0.06266906015073462,2.837467435409445,0
k1.50_pure,1.5,pure,4h,full,-ETH,11,11,802,0.5885286783042394,2.9900528680041134,0.30333255273559295,6,0.060000000000000005,0.09,2.838960533516086,0
k1.50_pure,1.5,pure,4h,oos_warm,-ETH,11,11,301,0.5514950166112956,0.18524783877895587,0.19689136850628852,5,0.050162518736240634,0.07524377810436095,2.838960533516086,0
k2.00_pure,2.0,pure,4h,full,-ETH,11,11,802,0.5885286783042394,-0.24510630089126734,0.5032167605029577,6,0.05999999999999999,0.11999999999999998,2.8420182889998107,0
k2.00_pure,2.0,pure,4h,oos_warm,-ETH,11,11,301,0.5514950166112956,-0.3914273445248674,0.47213036579419554,5,0.0502183669582606,0.1004367339165212,2.8420182889998107,0
k1.00_pure,1.0,pure,4h,full,-LINK,11,11,817,0.583843329253366,18.77433920233016,0.1494111142881872,7,0.07,0.07,3.427839819273697,0
k1.00_pure,1.0,pure,4h,oos_warm,-LINK,11,11,314,0.5382165605095541,1.1555872991867646,0.08841482800687667,5,0.050108399679547756,0.050108399679547756,3.427839819273697,0
k1.25_pure,1.25,pure,4h,full,-LINK,11,11,817,0.583843329253366,7.478796198762282,0.20666695831967022,7,0.07,0.08750000000000001,3.4278398192736965,0
k1.25_pure,1.25,pure,4h,oos_warm,-LINK,11,11,314,0.5382165605095541,0.5127081833696657,0.11811044425125185,5,0.05013524812058769,0.0626690601507346,3.4278398192736965,0
k1.50_pure,1.5,pure,4h,full,-LINK,11,11,817,0.583843329253366,2.6194952090142425,0.3253595979247394,7,0.07,0.10500000000000001,3.4278398192736965,0
k1.50_pure,1.5,pure,4h,oos_warm,-LINK,11,11,314,0.5382165605095541,0.05958906898031837,0.16583730748116093,5,0.05016251873624063,0.07524377810436095,3.4278398192736965,0
k2.00_pure,2.0,pure,4h,full,-LINK,11,11,817,0.583843329253366,-0.3492598863856445,0.6308281494459939,7,0.07,0.14,3.4278398192736965,0
k2.00_pure,2.0,pure,4h,oos_warm,-LINK,11,11,314,0.5382165605095541,-0.48306869883600073,0.5357486953470937,5,0.05021836695826062,0.10043673391652123,3.427839819273697,0
k1.00_pure,1.0,pure,4h,full,-LTC,11,11,820,0.5890243902439024,21.24353411087301,0.168376820284313,6,0.060000000000000005,0.060000000000000005,2.9874553044846266,0
k1.00_pure,1.0,pure,4h,oos_warm,-LTC,11,11,304,0.5526315789473685,1.336049443158959,0.06325051779651192,6,0.06,0.06,2.987455304484626,0
k1.25_pure,1.25,pure,4h,full,-LTC,11,11,820,0.5890243902439024,8.62162505979759,0.2205804388391647,6,0.06000000000000001,0.07500000000000001,2.9874553044846266,0
k1.25_pure,1.25,pure,4h,oos_warm,-LTC,11,11,304,0.5526315789473685,0.6772405309893543,0.09855426273159222,6,0.05999999999999999,0.07499999999999998,2.9874553044846253,0
k1.50_pure,1.5,pure,4h,full,-LTC,11,11,820,0.5890243902439024,3.144436089927274,0.3323329945734306,6,0.06000000000000001,0.09000000000000001,2.987455304484626,0
k1.50_pure,1.5,pure,4h,oos_warm,-LTC,11,11,304,0.5526315789473685,0.2022635598744575,0.16837214971677217,6,0.060000000000000005,0.09,2.987455304484626,0
k2.00_pure,2.0,pure,4h,full,-LTC,11,11,820,0.5890243902439024,-0.24087712767203512,0.5428010047247765,6,0.06,0.12,2.987455304484626,0
k2.00_pure,2.0,pure,4h,oos_warm,-LTC,11,11,304,0.5526315789473685,-0.38533096490166446,0.46211396580649444,6,0.06,0.12,2.9874553044846257,0
k1.00_pure,1.0,pure,4h,full,-SOL,11,11,796,0.5879396984924623,18.67518237101702,0.14977884653226936,6,0.060000000000000005,0.060000000000000005,2.9874553044846266,0
k1.00_pure,1.0,pure,4h,oos_warm,-SOL,11,11,292,0.5513698630136986,1.2237652836836488,0.08267092002866434,6,0.060000000000000005,0.060000000000000005,2.9874553044846266,0
k1.25_pure,1.25,pure,4h,full,-SOL,11,11,796,0.5879396984924623,7.694110554509018,0.20273841148980087,6,0.06,0.075,2.9874553044846266,0
k1.25_pure,1.25,pure,4h,oos_warm,-SOL,11,11,292,0.5513698630136986,0.6166897381232392,0.12633721630801867,6,0.060000000000000005,0.07500000000000001,2.9874553044846266,0
k1.50_pure,1.5,pure,4h,full,-SOL,11,11,796,0.5879396984924623,2.825134153854775,0.3229426450847891,6,0.06000000000000001,0.09000000000000002,2.9874553044846266,0
k1.50_pure,1.5,pure,4h,oos_warm,-SOL,11,11,292,0.5513698630136986,0.17340200191103505,0.17010319713192507,6,0.06,0.09,2.9874553044846266,0
k2.00_pure,2.0,pure,4h,full,-SOL,11,11,796,0.5879396984924623,-0.2693320005061212,0.5229772768628485,6,0.06,0.12,2.987455304484626,0
k2.00_pure,2.0,pure,4h,oos_warm,-SOL,11,11,292,0.5513698630136986,-0.38497683732506294,0.45750424184157085,6,0.059999999999999984,0.11999999999999997,2.9874553044846266,0
k1.00_pure,1.0,pure,4h,full,-TRX,11,11,798,0.5802005012531328,16.909617306171544,0.16752444959467003,6,0.060000000000000005,0.060000000000000005,3.427839819273697,0
k1.00_pure,1.0,pure,4h,oos_warm,-TRX,11,11,302,0.5596026490066225,1.4622689413233205,0.08962622233790013,5,0.050108399679547756,0.050108399679547756,3.4278398192736974,0
k1.25_pure,1.25,pure,4h,full,-TRX,11,11,798,0.5802005012531328,6.697902026023,0.24040840924327886,6,0.060000000000000005,0.07500000000000001,3.427839819273697,0
k1.25_pure,1.25,pure,4h,oos_warm,-TRX,11,11,302,0.5596026490066225,0.7631594071514067,0.13318560589088832,5,0.0501352481205877,0.06266906015073462,3.427839819273697,0
k1.50_pure,1.5,pure,4h,full,-TRX,11,11,798,0.5802005012531328,2.293651022962421,0.3348663944087268,6,0.06,0.09,3.427839819273697,0
k1.50_pure,1.5,pure,4h,oos_warm,-TRX,11,11,302,0.5596026490066225,0.2601803328272419,0.17577592161958247,5,0.05016251873624063,0.07524377810436095,3.4278398192736965,0
k2.00_pure,2.0,pure,4h,full,-TRX,11,11,798,0.5802005012531328,-0.40539926895287354,0.5897309105391833,6,0.06,0.12,3.427839819273697,0
k2.00_pure,2.0,pure,4h,oos_warm,-TRX,11,11,302,0.5596026490066225,-0.35994537417137346,0.4326670162550675,5,0.05021836695826062,0.10043673391652123,3.427839819273696,0
k1.00_pure,1.0,pure,4h,full,-XRP,11,11,813,0.5867158671586716,20.101866202038718,0.16514115146218447,7,0.06999999999999999,0.06999999999999999,3.232231889439166,0
k1.00_pure,1.0,pure,4h,oos_warm,-XRP,11,11,307,0.5570032573289903,1.4671336663176109,0.08282456378986346,6,0.05535375294728064,0.05535375294728064,2.9301157484842313,0
k1.25_pure,1.25,pure,4h,full,-XRP,11,11,813,0.5867158671586716,8.143192214494267,0.2195223499021424,7,0.06999999999999999,0.0875,3.232231889439165,0
k1.25_pure,1.25,pure,4h,oos_warm,-XRP,11,11,307,0.5570032573289903,0.7713006605665527,0.11378253954614066,6,0.05535375294728064,0.06919219118410079,2.9301157484842317,0
k1.50_pure,1.5,pure,4h,full,-XRP,11,11,813,0.5867158671586716,2.944152061085266,0.3040222717048093,7,0.06999999999999999,0.105,3.232231889439166,0
k1.50_pure,1.5,pure,4h,oos_warm,-XRP,11,11,307,0.5570032573289903,0.2695495852895574,0.17619487256142044,6,0.055353752947280635,0.08303062942092095,2.9301157484842317,0
k2.00_pure,2.0,pure,4h,full,-XRP,11,11,813,0.5867158671586716,-0.27591905787189064,0.5260314133806158,7,0.07,0.14,3.2322318894391655,0
