symbol,timeframe,direction,judgment_axis,lux_zones,flux_zones,lux_paired,lux_paired_share,flux_paired,flux_paired_share,overlap_ratio_p10,overlap_ratio_p50,overlap_ratio_p90,confirm_gap_bars_p50,lux_taps,flux_taps,tap_bars_both,gate_taps,gate_tap_share
LINK/USDT:USDT,4h,bearish,False,605,182,175,0.2892561983471074,133,0.7307692307692307,0.2128904043057227,0.9655172413793089,1.0,6.0,825,339,112,110,0.32448377581120946
LTC/USDT:USDT,1h,bullish,True,1952,771,628,0.32172131147540983,495,0.642023346303502,0.26607608129235066,0.9816883549599238,1.0,3.0,2790,1772,506,538,0.3036117381489842
LTC/USDT:USDT,1h,bearish,False,2336,667,733,0.3137842465753425,483,0.7241379310344828,0.2079951174855136,1.0,1.0,4.0,3401,1483,458,467,0.31490222521915034
LTC/USDT:USDT,2h,bullish,True,1060,366,355,0.33490566037735847,251,0.6857923497267759,0.23179487179487432,0.9558823529411747,1.0,5.0,1573,817,251,273,0.33414932680538556
LTC/USDT:USDT,2h,bearish,False,1166,344,394,0.3379073756432247,263,0.7645348837209303,0.15970664365833068,0.9107804142092983,1.0,4.0,1815,744,240,254,0.34139784946236557
LTC/USDT:USDT,4h,bullish,True,533,183,170,0.31894934333958724,125,0.6830601092896175,0.22406913563785527,0.9343542723371047,1.0,3.0,697,401,107,124,0.3092269326683292
LTC/USDT:USDT,4h,bearish,False,606,173,228,0.37623762376237624,141,0.815028901734104,0.19084129511677098,0.8617467581998497,1.0,3.5,953,334,130,128,0.38323353293413176
ADA/USDT:USDT,1h,bullish,True,1905,692,601,0.31548556430446195,461,0.6661849710982659,0.21052631578946676,1.0,1.0,3.0,2732,1670,392,433,0.2592814371257485
ADA/USDT:USDT,1h,bearish,False,2311,736,699,0.30246646473388145,510,0.6929347826086957,0.221313003528863,0.9379310344827723,1.0,6.0,3147,1459,423,440,0.3015764222069911
ADA/USDT:USDT,2h,bullish,True,976,349,303,0.3104508196721312,237,0.6790830945558739,0.26283018867924285,1.0,1.0,4.0,1453,781,197,219,0.28040973111395645
ADA/USDT:USDT,2h,bearish,False,1237,365,377,0.3047696038803557,263,0.7205479452054795,0.20272727272727492,0.8563922942206661,1.0,7.0,1703,682,234,237,0.34750733137829914
ADA/USDT:USDT,4h,bullish,True,475,176,160,0.3368421052631579,120,0.6818181818181818,0.1727856562935951,1.0,1.0,2.0,743,385,102,107,0.2779220779220779
ADA/USDT:USDT,4h,bearish,False,637,189,195,0.30612244897959184,134,0.708994708994709,0.21571309424520807,0.9047619047619029,1.0,7.0,869,361,130,126,0.3490304709141274
DOT/USDT:USDT,1h,bullish,True,1985,694,588,0.29622166246851384,437,0.6296829971181557,0.22416666666665794,1.0,1.0,3.0,2718,1560,417,420,0.2692307692307692
DOT/USDT:USDT,1h,bearish,False,2280,731,699,0.30657894736842106,518,0.7086183310533516,0.20843402037431052,0.9345794392523313,1.0,5.0,2980,1401,389,403,0.28765167737330477
DOT/USDT:USDT,2h,bullish,True,1009,361,351,0.3478691774033697,252,0.6980609418282548,0.23733333333333206,1.0,1.0,3.0,1498,797,232,263,0.3299874529485571
DOT/USDT:USDT,2h,bearish,False,1152,355,340,0.2951388888888889,252,0.7098591549295775,0.224840425531906,0.8811541565778884,1.0,7.0,1611,645,180,178,0.27596899224806204
DOT/USDT:USDT,4h,bullish,True,500,189,184,0.368,125,0.6613756613756614,0.26925000000000016,1.0,1.0,2.0,716,410,129,143,0.348780487804878
DOT/USDT:USDT,4h,bearish,False,632,188,202,0.31962025316455694,137,0.7287234042553191,0.2185958968567653,0.9532467532467512,1.0,6.0,781,346,106,107,0.3092485549132948
BCH/USDT:USDT,1h,bullish,True,1809,736,594,0.3283582089552239,471,0.6399456521739131,0.1845697311783271,0.9311090444082786,1.0,3.0,2580,1663,402,447,0.2687913409500902
BCH/USDT:USDT,1h,bearish,False,2589,735,871,0.33642332947083814,566,0.7700680272108843,0.1969696969696911,0.9627791563275488,1.0,4.0,3724,1683,574,628,0.3731431966726084
BCH/USDT:USDT,2h,bullish,True,930,357,309,0.33225806451612905,242,0.6778711484593838,0.18822064024583907,0.933333333333334,1.0,4.0,1342,750,235,243,0.324
BCH/USDT:USDT,2h,bearish,False,1280,353,452,0.353125,291,0.8243626062322946,0.23795012730874004,1.0,1.0,5.0,1920,779,280,289,0.37098844672657255
BCH/USDT:USDT,4h,bullish,True,452,184,146,0.3230088495575221,109,0.592391304347826,0.24298311201052938,0.9716724393864465,1.0,4.0,662,410,107,116,0.28292682926829266
BCH/USDT:USDT,4h,bearish,False,659,196,248,0.37632776934749623,159,0.8112244897959183,0.2684479561145149,0.9788429163429239,1.0,3.0,1051,434,168,178,0.41013824884792627
