symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,sym
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,0.0,baseline,0,1752550200000,1784107800000,35065,283,0.508833922261484,0.1417644635389217,0.1216255483673006,10.35062762721216,1.111422473039978,0.2720848056537102,0.5063451776649747,788,399,1.0,SOL
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,0.0,pen_5bp,0,1752550200000,1784107800000,35065,274,0.4781021897810219,0.0342384864296551,0.1158638046143032,3.3300536883574647,1.0278247156225246,0.1952554744525547,0.465736040609137,788,367,1.0,SOL
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1752550200000,1784107800000,35065,149,0.4832214765100671,0.0073502441711416,0.0990536858530167,1.8499701704229867,1.010976681210695,0.2080536912751678,0.2360406091370558,788,186,1.0,SOL
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1752550200000,1784107800000,35065,146,0.4452054794520548,-0.0496873624638299,0.1413938723105581,-6.200935757007901,0.9252637317541842,0.1130136986301369,0.232233502538071,788,183,1.0,SOL
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1752550200000,1784107800000,35065,156,0.4615384615384615,-0.0187015588242124,0.1129801849814535,-1.428240814111981,0.974662854721662,0.1538461538461538,0.2398477157360406,788,189,1.0,SOL
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1752550200000,1784107800000,35065,161,0.4658385093167702,-0.0365851824786876,0.103029769502752,-3.704331610764232,0.9499126904872772,0.1645962732919254,0.2398477157360406,788,189,1.0,SOL
SOL/USDT:USDT,15m,oos,0,zone_limit,1.5,0.0,pen_5bp_drop_50,4,1752550200000,1784107800000,35065,154,0.474025974025974,0.0196651796398489,0.1029413869494366,3.359460244236167,1.0278116513298523,0.185064935064935,0.2360406091370558,788,186,1.0,SOL
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,baseline,0,1689433200000,1784106000000,26299,221,0.5067873303167421,0.2398815532619159,0.0993657596694897,9.043706735711352,1.2221842071680284,0.2669683257918552,0.5016722408026756,598,300,1.0,BTC
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp,0,1689433200000,1784106000000,26299,209,0.4880382775119617,0.1296036490627782,0.1118439865102003,5.600671318041426,1.1271863918982885,0.2200956937799043,0.4581939799331103,598,274,1.0,BTC
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,0,1689433200000,1784106000000,26299,123,0.4634146341463415,-0.0364185564559767,0.126095262424534,-2.213783262470789,0.939516915697076,0.1585365853658536,0.245819397993311,598,147,1.0,BTC
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,1,1689433200000,1784106000000,26299,113,0.4690265486725664,0.013353293048612,0.0838748098668046,1.5128193218424193,1.0228988691123144,0.1725663716814159,0.2274247491638795,598,136,1.0,BTC
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,2,1689433200000,1784106000000,26299,114,0.4736842105263157,0.0313057364704278,0.1119032911912578,2.84576377430013,1.053227713092459,0.1842105263157894,0.225752508361204,598,135,1.0,BTC
BTC/USDT:USDT,1h,full,0,zone_limit,1.5,0.0,pen_5bp_drop_50,3,1689433200000,1784106000000,26299,117,0.452991452991453,-0.0125482591766833,0.0809510275148938,-0.4607716157382392,0.9785796845275052,0.1324786324786324,0.2341137123745819,598,140,1.0,BTC
