timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,broke_rate,mean_r,arm
1h,is,zone_width_atr,Q3,3,2.247330661208669,17.316423026474453,399,0.5939849624060151,0.015037593984962405,atr_1.5
1h,oos,zone_width_atr,Q1,1,0.2315656469356457,1.2640957306468428,232,0.4956896551724138,0.2607758620689655,atr_1.5
1h,oos,zone_width_atr,Q2,2,1.2644022732567646,2.2926101611785246,231,0.5714285714285714,0.07142857142857142,atr_1.5
1h,oos,zone_width_atr,Q3,3,2.297864179530232,14.152846787549121,232,0.6336206896551724,-0.08405172413793104,atr_1.5
15m,is,zone_width_atr,Q1,1,0.10644194918795229,1.1918954713231438,1415,0.5568904593639576,0.10777385159010601,atr_2
15m,is,zone_width_atr,Q2,2,1.1924138619912947,2.000799620542001,1414,0.5424328147100425,0.14391796322489392,atr_2
15m,is,zone_width_atr,Q3,3,2.001063664072568,20.968155842868,1414,0.5919377652050919,0.020155586987270154,atr_2
15m,oos,zone_width_atr,Q1,1,0.1987242786280556,1.2060930073955534,726,0.5440771349862259,0.13980716253443526,atr_2
15m,oos,zone_width_atr,Q2,2,1.20665166165985,1.9983294323441239,725,0.5489655172413793,0.12758620689655173,atr_2
15m,oos,zone_width_atr,Q3,3,1.9986133693604702,17.080362180368912,725,0.5986206896551725,0.0034482758620689655,atr_2
1h,is,zone_width_atr,Q1,1,0.302715265395744,1.2789307881264047,346,0.5549132947976878,0.11271676300578035,atr_2
1h,is,zone_width_atr,Q2,2,1.2795792389867164,2.1420900729829095,345,0.5391304347826087,0.15217391304347827,atr_2
1h,is,zone_width_atr,Q3,3,2.1434581347044404,17.316423026474453,346,0.6213872832369942,-0.05346820809248555,atr_2
1h,oos,zone_width_atr,Q1,1,0.2315656469356457,1.1980604735760845,200,0.535,0.1625,atr_2
1h,oos,zone_width_atr,Q2,2,1.2008963565053525,2.230818783971675,200,0.54,0.15,atr_2
1h,oos,zone_width_atr,Q3,3,2.244673783685252,14.152846787549121,200,0.63,-0.075,atr_2
