arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades,exclude
1_봉마감,0.003,1.5,full,False,44,11,19062,0.38988563634455986,-0.13917453432638227,-0.08285149614903684,-22.12247914851728,21.032660157904775,-1.0518155564931198,30,266.881241143091,266.881241143091,1.0,0.1221069328870946,17333,451,46448,0,1623,-TRX
1_봉마감,0.003,1.5,oos_warm,False,44,11,6370,0.39733124018838306,-0.13734156918565554,-0.07509361453834362,-7.168128953446841,6.661294284469859,-1.076086515222517,23,172.92908223751814,172.92908223751814,1.0,0.2321831875680936,5756,451,46448,0,484,-TRX
1_봉마감,0.003,1.5,full,False,44,11,18936,0.39369455006337134,-0.13366538907292452,-0.07607616409756272,-20.506195959467146,19.80415977131866,-1.035448925693137,30,27.001337072230434,27.001337072230434,1.0,0.02594433144768577,16719,692,45493,0,1588,-XRP
1_봉마감,0.003,1.5,oos_warm,False,44,11,6272,0.40114795918367346,-0.1334761516392737,-0.06939030988087276,-6.555241208671065,5.875075833011081,-1.1157713355525127,23,35.432852904868774,35.432852904868774,1.0,0.06930671020796025,5384,692,45493,0,477,-XRP
1_봉마감,0.003,1.5,full,False,36,9,15993,0.3923591571312449,-0.1415730880428947,-0.08237268069938686,-18.265590635995128,18.02201602073691,-1.0135153922279256,24,482.0724308093858,482.0724308093858,1.0,0.1471448797273285,14154,667,36950,0,1621,-new3
1_봉마감,0.003,1.5,oos_warm,False,36,9,5275,0.39829383886255926,-0.1460194025314778,-0.07951343587467471,-6.123017167215791,5.816135975628555,-1.0527637580815108,21,26.745904396714426,26.745904396714426,1.0,0.11041736928474803,4837,667,36950,0,490,-new3
2_교차,0.003,1.5,full,False,44,11,25812,0.3675422284208895,-0.21944620306677268,-0.15118585506304982,-43.21153034665487,41.57106216661291,-1.039461781694851,28,21.50129747898017,21.50129747898017,0.9999225166589183,0.06752018820855284,25072,1871,58916,0,2128,-ADA
2_교차,0.003,1.5,oos_warm,False,44,11,8567,0.37224232520135403,-0.2303106285168414,-0.1523835040167393,-13.97285472741148,11.923206592882092,-1.1719041030248512,22,9.276536064689294,9.276536064689294,1.0,0.031946234310759804,7905,1871,58916,0,614,-ADA
2_교차,0.003,1.5,full,False,44,11,26020,0.3651806302843966,-0.22548973038100717,-0.15677142234659563,-44.62540994595563,42.945332793435924,-1.0391212977810829,26,5.038512830409039,5.038512830409039,1.0,0.04786300266336794,25335,1846,59156,0,2138,-BCH
2_교차,0.003,1.5,oos_warm,False,44,11,8601,0.3711196372514824,-0.23370496383424103,-0.15530336981528972,-14.255887265213367,11.175544743050947,-1.2756324271421136,22,4.740992955512991,4.740992955512991,1.0,0.026508491005208107,7910,1846,59156,0,614,-BCH
2_교차,0.003,1.5,full,False,44,11,25989,0.3656162222478741,-0.22193605860566887,-0.15434180049961688,-44.634939804369026,41.99455493825301,-1.062874457652863,28,64.58454974218758,64.58454974218758,0.9999230443649236,0.10343538719559173,25386,1683,59489,0,2139,-BNB
2_교차,0.003,1.5,oos_warm,False,44,11,8759,0.37024774517639,-0.23081457476119407,-0.15479448040366797,-14.537197754735587,12.22088915243717,-1.189536831028083,22,1.8009882347980808,1.8009882347980808,1.0,0.019111921042175475,8115,1683,59489,0,620,-BNB
2_교차,0.003,1.5,full,False,44,11,26155,0.3657044542152552,-0.2201404260441342,-0.15381700464981657,-44.57091282033774,42.739730944899364,-1.0428449556175063,26,159.40574071320765,159.40574071320765,0.9999235327853183,0.10520519322876573,25585,1549,58868,0,2159,-BTC
2_교차,0.003,1.5,oos_warm,False,44,11,8713,0.370939974750373,-0.22791046533144757,-0.15309498222846088,-14.44586688727479,11.897189863377264,-1.214225128216457,22,16.112586571125792,16.112586571125792,1.0,0.02520076628559018,8051,1549,58868,0,622,-BTC
2_교차,0.003,1.5,full,False,44,11,25939,0.3656270480743282,-0.22506022064750122,-0.15640310442979455,-44.49648048681546,42.283026510277935,-1.0523485227813456,28,45.978970953541705,45.978970953541705,0.99992289602529,0.09298210683891336,25278,1884,58975,0,2135,-DOGE
2_교차,0.003,1.5,oos_warm,False,44,11,8594,0.37270188503607166,-0.2304008041596911,-0.15203699732612533,-14.059809244991639,11.500306696309691,-1.2225595035220462,23,16.921245629231233,16.921245629231233,1.0,0.02539540624978623,7950,1884,58975,0,613,-DOGE
2_교차,0.003,1.5,full,False,44,11,25739,0.3673413885543339,-0.22101722703110674,-0.15208137459756574,-43.0616387676003,40.37456425093049,-1.0665536474887871,27,683.5787408124193,683.5787408124193,0.9999222969035316,0.7117547246889253,24904,1874,58863,0,2139,-DOT
2_교차,0.003,1.5,oos_warm,False,44,11,8573,0.3704654146739764,-0.2353599767737721,-0.15709940190370145,-14.291199530882292,11.995764357147198,-1.1913538066765583,22,9.59182709641487,9.59182709641487,1.0,0.04069200900045048,7914,1874,58863,0,614,-DOT
