symbol,timeframe,detector,direction,num_zones,born_dead,born_dead_share,num_taps,width_atr_p10,width_atr_p50,width_atr_p90,delay_bars_p50,delay_move_atr_p50
BNB/USDT:USDT,4h,flux,bullish,194,0,0.0,381,0.8750674636046282,1.4063981473590699,2.361332390556102,10.0,2.9879481267816868
BNB/USDT:USDT,4h,flux,bearish,171,0,0.0,315,0.7096796260144496,1.2076498382328227,1.958952233051062,10.0,3.1642937243836737
BNB/USDT:USDT,4h,lux,bullish,512,86,0.16796875,736,0.5058956348012285,0.801288067785628,1.2584916059566515,5.0,0.7041959701886915
BNB/USDT:USDT,4h,lux,bearish,585,81,0.13846153846153847,794,0.5554330353722315,0.8757631698833191,1.512526361945242,5.0,0.6011714675240125
XRP/USDT:USDT,1h,flux,bullish,710,0,0.0,1580,0.772620642082547,1.2691340000692906,2.322318898908441,10.0,2.9486659453526345
XRP/USDT:USDT,1h,flux,bearish,735,0,0.0,1602,0.6973200834917597,1.1545843301679866,2.1982869054628527,9.0,2.9714515537879156
XRP/USDT:USDT,1h,lux,bullish,1823,288,0.15798134942402633,2737,0.5259011963157841,0.8070580170907384,1.319801237007316,5.0,0.7240132681597087
XRP/USDT:USDT,1h,lux,bearish,2407,385,0.1599501454092231,3494,0.5427104235943709,0.8849565912765626,1.5870729199825708,5.0,0.6365388229992813
XRP/USDT:USDT,2h,flux,bullish,334,0,0.0,779,0.8349851291280814,1.4662011891815023,2.555515017113822,11.0,3.1198302904540745
XRP/USDT:USDT,2h,flux,bearish,346,0,0.0,794,0.7520556538109393,1.2821400905893818,2.3069688888150033,11.0,3.0473973342540965
XRP/USDT:USDT,2h,lux,bullish,929,156,0.16792249730893433,1365,0.5120377961791591,0.8093665704346035,1.280882110748653,5.0,0.6609213490210977
XRP/USDT:USDT,2h,lux,bearish,1276,149,0.11677115987460815,1950,0.559310952070045,0.9212315102498445,1.6323172139382085,5.0,0.5918589344673827
XRP/USDT:USDT,4h,flux,bullish,195,0,0.0,405,0.8461921768546551,1.3391038194398854,2.249974939085832,10.0,2.88605270022681
XRP/USDT:USDT,4h,flux,bearish,199,0,0.0,403,0.680994494225823,1.267785138243079,2.3681310378499267,10.0,2.7094262907920266
XRP/USDT:USDT,4h,lux,bullish,471,79,0.16772823779193205,626,0.5202684946266645,0.7952890378009159,1.2986486049526957,5.0,0.7239721227288267
XRP/USDT:USDT,4h,lux,bearish,645,84,0.13023255813953488,1020,0.5499880874928831,0.8951762236686791,1.591604284695839,5.0,0.6045469970797571
TRX/USDT:USDT,1h,flux,bullish,743,0,0.0,1468,0.7333574509535213,1.263588230616105,2.272812078657533,10.0,3.12991138984948
TRX/USDT:USDT,1h,flux,bearish,643,0,0.0,1349,0.6601432570867498,1.088920234271459,2.156106130872698,9.0,3.367793266794568
TRX/USDT:USDT,1h,lux,bullish,2030,422,0.20788177339901479,2471,0.4911908171197378,0.7664500425372177,1.2069317655953256,5.0,0.8241424745363306
TRX/USDT:USDT,1h,lux,bearish,2282,352,0.15425065731814197,3276,0.5416070003372175,0.9042137529412175,1.5231972636010083,5.0,0.6732429243092162
TRX/USDT:USDT,2h,flux,bullish,388,0,0.0,738,0.7622974556737498,1.325531205578711,2.3542601321789816,12.0,3.2145678140830576
TRX/USDT:USDT,2h,flux,bearish,321,0,0.0,678,0.6680970948243614,1.1513128434926858,2.087811601461178,9.0,3.2505704062230594
TRX/USDT:USDT,2h,lux,bullish,982,203,0.20672097759674135,1211,0.4941976568434248,0.764900761463962,1.1871042178679663,5.0,0.8485852314606142
TRX/USDT:USDT,2h,lux,bearish,1199,176,0.14678899082568808,1751,0.5502986948088612,0.9049179442768117,1.553997931719869,5.0,0.6776699360931151
TRX/USDT:USDT,4h,flux,bullish,216,0,0.0,377,0.7539176572595266,1.3575804742344013,2.121013661619976,10.0,3.02798070008219
TRX/USDT:USDT,4h,flux,bearish,159,0,0.0,319,0.6790990878631126,1.2253835584474704,1.946923844148321,9.0,3.171581610929639
TRX/USDT:USDT,4h,lux,bullish,513,103,0.20077972709551656,576,0.485871773046548,0.7478097401167959,1.176256069620953,5.0,0.8835251126970584
TRX/USDT:USDT,4h,lux,bearish,578,83,0.14359861591695502,838,0.5295007867422097,0.8774066283763984,1.541795053518125,5.0,0.6646946740716564
DOGE/USDT:USDT,1h,flux,bullish,688,0,0.0,1588,0.7875906468659041,1.304156119248041,2.288502408873069,10.0,2.9713398105653344
DOGE/USDT:USDT,1h,flux,bearish,733,0,0.0,1550,0.7594879567818154,1.197246658314487,2.2320446439358568,10.0,2.9298854823459544
DOGE/USDT:USDT,1h,lux,bullish,1796,331,0.18429844097995546,2623,0.514666239291762,0.8211083241087638,1.289799772898463,5.0,0.7006059904875488
DOGE/USDT:USDT,1h,lux,bearish,2461,312,0.1267777326290126,3733,0.5524998692158034,0.8923650956232003,1.6040560381537232,5.0,0.6205114854175052
DOGE/USDT:USDT,2h,flux,bullish,331,0,0.0,834,0.793798931791651,1.381870816401179,2.4511049305862738,11.0,3.1673087570087266
DOGE/USDT:USDT,2h,flux,bearish,352,0,0.0,687,0.7427253345682596,1.3095990847149617,2.3659395989176546,10.0,2.898398519703439
DOGE/USDT:USDT,2h,lux,bullish,902,165,0.18292682926829268,1274,0.5216375415350555,0.8170980599922355,1.2878710647504763,5.0,0.7245691047965648
DOGE/USDT:USDT,2h,lux,bearish,1283,168,0.1309431021044427,1951,0.5569653330079788,0.9107486148584503,1.60756985710565,5.0,0.6062475983357759
DOGE/USDT:USDT,4h,flux,bullish,175,0,0.0,441,0.8095934990837685,1.357211682141824,2.3859119153488164,11.0,3.0468680552575167
DOGE/USDT:USDT,4h,flux,bearish,184,0,0.0,358,0.7871968665203771,1.365571049460471,2.4165689854736847,10.0,2.829245960012993
DOGE/USDT:USDT,4h,lux,bullish,464,78,0.16810344827586207,626,0.5188520363172788,0.8178040763780896,1.309567349105435,5.0,0.749323471914171
DOGE/USDT:USDT,4h,lux,bearish,658,68,0.1033434650455927,1032,0.5368514792251197,0.8770422064302239,1.5177732629218974,5.0,0.5966451958401167
LINK/USDT:USDT,1h,flux,bullish,732,0,0.0,1530,0.7536808810771962,1.2360051691492637,2.1910655336616887,10.0,3.083097747680222
LINK/USDT:USDT,1h,flux,bearish,721,0,0.0,1516,0.7001076519841839,1.119698012243749,1.9522521257273604,10.0,3.077296773158908
LINK/USDT:USDT,1h,lux,bullish,1977,401,0.2028325746079919,2636,0.5124185174349878,0.7818076792440966,1.2140111592825893,5.0,0.7518553077107375
LINK/USDT:USDT,1h,lux,bearish,2234,423,0.18934646374216652,3019,0.532633890548181,0.8275783938489569,1.3984154242256266,5.0,0.6439215252108981
LINK/USDT:USDT,2h,flux,bullish,367,0,0.0,774,0.7840535766991613,1.2620674019835179,2.181001928330846,10.0,3.230185414408517
LINK/USDT:USDT,2h,flux,bearish,338,0,0.0,732,0.7431115318343319,1.1994838337127436,2.067133001367436,10.5,3.026392289458781
LINK/USDT:USDT,2h,lux,bullish,997,199,0.1995987963891675,1393,0.5220869900557605,0.786079775618829,1.258021026439422,5.0,0.7273042540890138
LINK/USDT:USDT,2h,lux,bearish,1178,194,0.16468590831918506,1628,0.5461561129049227,0.8473210387789747,1.3945797931542685,5.0,0.593684425944352
LINK/USDT:USDT,4h,flux,bullish,191,0,0.0,404,0.7921664138112317,1.2355280313680337,2.260154838135178,11.0,3.3074689870806613
LINK/USDT:USDT,4h,flux,bearish,182,0,0.0,339,0.6755383017220251,1.1408395849680766,1.9090622587204147,9.0,3.0180546435872313
LINK/USDT:USDT,4h,lux,bullish,534,118,0.2209737827715356,696,0.5109422977810911,0.7893880425432251,1.2113303233763195,5.0,0.8092929424534895
LINK/USDT:USDT,4h,lux,bearish,605,109,0.18016528925619835,825,0.5405011107845756,0.8138885538070307,1.3863186173582571,5.0,0.6506842969065738
LTC/USDT:USDT,1h,flux,bullish,771,0,0.0,1772,0.7896476523802368,1.3285239915954823,2.287206559856746,10.0,2.948705647102312
LTC/USDT:USDT,1h,flux,bearish,667,0,0.0,1483,0.6905083694472551,1.1363301564168897,2.0483514442148967,10.0,3.118047712633684
LTC/USDT:USDT,1h,lux,bullish,1952,364,0.1864754098360656,2790,0.5088815830700636,0.792324060467052,1.2662760742819634,5.0,0.7062587317382725
LTC/USDT:USDT,1h,lux,bearish,2336,348,0.14897260273972604,3401,0.5361925190621635,0.8752459347822084,1.5320870548721155,5.0,0.6285568699745558
LTC/USDT:USDT,2h,flux,bullish,366,0,0.0,817,0.8521906432148049,1.373271450404675,2.388578128439108,11.0,2.991245781588254
LTC/USDT:USDT,2h,flux,bearish,344,0,0.0,744,0.6780301823439183,1.1874288050623278,2.1084039747100234,10.0,3.15018331775154
LTC/USDT:USDT,2h,lux,bullish,1060,193,0.1820754716981132,1573,0.5017886643858321,0.8006354125438193,1.2555228369455407,5.0,0.6980138234591953
LTC/USDT:USDT,2h,lux,bearish,1166,152,0.13036020583190394,1815,0.5618100778893667,0.8924881472458732,1.5569459158620638,5.0,0.5958657027447327
LTC/USDT:USDT,4h,flux,bullish,183,0,0.0,401,0.8371372591118819,1.30658092072702,2.356058310579899,11.0,2.9980000321798355
LTC/USDT:USDT,4h,flux,bearish,173,0,0.0,334,0.7416780537671905,1.1311571998616066,2.0679610841307343,8.0,2.976414415084708
LTC/USDT:USDT,4h,lux,bullish,533,97,0.18198874296435272,697,0.5071337487776392,0.7752173800862523,1.2024568113875465,5.0,0.7612913176456977
LTC/USDT:USDT,4h,lux,bearish,606,70,0.11551155115511551,953,0.561478452248644,0.8863751094259766,1.527849140364516,5.0,0.5568377882621143
ADA/USDT:USDT,1h,flux,bullish,692,0,0.0,1670,0.7696457042466468,1.2495481572429505,2.173011239842619,10.0,3.1423255977641213
ADA/USDT:USDT,1h,flux,bearish,736,0,0.0,1459,0.7153149577816411,1.166970045714683,1.925075038097431,10.0,3.0916376381184536
ADA/USDT:USDT,1h,lux,bullish,1905,369,0.19370078740157481,2732,0.5017500279775389,0.7889101138174841,1.233247940792141,5.0,0.7310837099002198
ADA/USDT:USDT,1h,lux,bearish,2311,391,0.1691908264820424,3147,0.5335011810753622,0.8446894219786534,1.4108446003454245,5.0,0.6432368027711795
ADA/USDT:USDT,2h,flux,bullish,349,0,0.0,781,0.8026259901159903,1.3139589549239532,2.3765696659294058,10.0,3.1813318555239656
ADA/USDT:USDT,2h,flux,bearish,365,0,0.0,682,0.6731910166912162,1.1305068902113131,1.927439599010053,10.0,2.9728515403496414
ADA/USDT:USDT,2h,lux,bullish,976,165,0.16905737704918034,1453,0.5190092367990622,0.7976499247050495,1.2959864158527012,5.0,0.7247265535886407
ADA/USDT:USDT,2h,lux,bearish,1237,206,0.16653193209377526,1703,0.558143853992656,0.8389170937540967,1.4176155920746598,5.0,0.6144071666172499
ADA/USDT:USDT,4h,flux,bullish,176,0,0.0,385,0.8106949462073737,1.2985057548935455,2.238931404940157,10.0,3.1017487212298716
ADA/USDT:USDT,4h,flux,bearish,189,0,0.0,361,0.7624733371015427,1.1616811009131482,2.0932068444713754,10.0,2.8436428409559698
ADA/USDT:USDT,4h,lux,bullish,475,73,0.15368421052631578,743,0.5426942867960104,0.8098440399352869,1.2436768389200983,5.0,0.7203284203015664
ADA/USDT:USDT,4h,lux,bearish,637,98,0.15384615384615385,869,0.5332952262206505,0.8176094551181641,1.3700800024635542,5.0,0.6092483875197244
DOT/USDT:USDT,1h,flux,bullish,694,0,0.0,1560,0.8011056904094691,1.2997702297716114,2.302244205685597,10.0,2.9782068395988937
