symbol,entry_tf,segment,arm,eligible,filled,num_trades,fill_rate,total_return,max_drawdown,win_rate,sharpe,mean_gross_r,n_take_profit,n_stop_loss,n_end_of_data,frac_no_resistance,dist_median_r
BNB/USDT:USDT,15m,is,resistance_combined,1426,1184,603,0.8302945301542777,0.19262564951288422,0.2858847729499531,0.494195688225539,6.219267405178232,0.20468763349667393,299,304,0,0.001402524544179523,1.716078648767858
BNB/USDT:USDT,15m,oos,fixed_1.5r,714,581,271,0.8137254901960784,-0.1719627838310591,0.2021280482644725,0.43911439114391143,-14.712045170886867,0.097785977859779,119,152,0,,
BNB/USDT:USDT,15m,oos,resistance_self,714,581,227,0.8137254901960784,-0.06761862219234353,0.3597928945232465,0.2555066079295154,0.7364094221409486,0.16610532424955307,60,167,0,0.0196078431372549,4.008588360183883
BNB/USDT:USDT,15m,oos,resistance_combined,714,581,284,0.8137254901960784,0.09346545986153051,0.26661388580849993,0.44366197183098594,4.154895083922195,0.2580818788284901,128,156,0,0.0014005602240896359,1.8872397930613947
XRP/USDT:USDT,15m,full,fixed_1.5r,2314,1849,972,0.7990492653414002,0.37748165884778884,0.19433895193394468,0.48662551440329216,7.44326332209882,0.2165637860082302,473,499,0,,
XRP/USDT:USDT,15m,full,resistance_self,2314,1849,714,0.7990492653414002,-0.10336512523364182,0.32457545706210567,0.29411764705882354,-0.2989496655408575,0.15946099979942338,211,503,0,0.003025064822817632,3.832001396914879
XRP/USDT:USDT,15m,full,resistance_combined,2314,1849,1044,0.7990492653414002,1.355561700916001,0.2165300874573696,0.4942528735632184,7.945980621611603,0.2691007157207154,517,527,0,0.0,1.6124191902581386
XRP/USDT:USDT,15m,is,fixed_1.5r,1506,1211,634,0.8041168658698539,0.3524244479989251,0.11901708702404759,0.48738170347003157,10.184851017531674,0.21845425867507873,309,325,0,,
XRP/USDT:USDT,15m,is,resistance_self,1506,1211,520,0.8041168658698539,-0.09150897968394783,0.32457545706210567,0.2846153846153846,-0.5116011569742666,0.12359263159125662,149,371,0,0.004648074369189907,3.6477238427301613
XRP/USDT:USDT,15m,is,resistance_combined,1506,1211,677,0.8041168658698539,0.5492194032604082,0.1683141483469866,0.49039881831610044,10.886355403197049,0.22312030042023992,333,344,0,0.0,1.588866440438824
XRP/USDT:USDT,15m,oos,fixed_1.5r,800,630,333,0.7875,-0.030573320851364952,0.19505326280061833,0.4804804804804805,-1.1295369766144545,0.2012012012012009,160,173,0,,
XRP/USDT:USDT,15m,oos,resistance_self,800,630,276,0.7875,-0.15380408264297477,0.3329492221991778,0.3007246376811594,-7.282311468756076,0.1547290605856948,83,193,0,0.0,4.164367667328159
XRP/USDT:USDT,15m,oos,resistance_combined,800,630,363,0.7875,-0.1303690457185705,0.24827794001506948,0.4986225895316804,-7.515661125233006,0.15510727383231668,181,182,0,0.0,1.6706226191712297
TRX/USDT:USDT,15m,full,fixed_1.5r,1986,1600,496,0.8056394763343404,-0.30184656802385196,0.34454378282361164,0.41935483870967744,-17.918534355637,0.048387096774193186,208,288,0,,
TRX/USDT:USDT,15m,full,resistance_self,1986,1600,428,0.8056394763343404,-0.09624381837235997,0.20697968859403665,0.3014018691588785,-2.5192761674269573,0.18685354066683343,129,299,0,0.019133937562940583,4.732002393024353
TRX/USDT:USDT,15m,full,resistance_combined,1986,1600,534,0.8056394763343404,-0.2922968756390786,0.34244497874116153,0.46629213483146065,-15.208857498089408,0.07187050004897913,250,284,0,0.0015105740181268882,1.7903773540099197
TRX/USDT:USDT,15m,is,fixed_1.5r,1289,1029,367,0.7982932505818464,-0.2314990181537166,0.34454378282361164,0.4250681198910082,-17.03172579326276,0.06267029972751989,156,211,0,,
TRX/USDT:USDT,15m,is,resistance_self,1289,1029,314,0.7982932505818464,-0.05817098356869337,0.20697968859403665,0.30254777070063693,-1.6233066794101292,0.223360383259197,95,219,0,0.02948021722265322,4.513893999803216
TRX/USDT:USDT,15m,is,resistance_combined,1289,1029,398,0.7982932505818464,-0.2515397167432796,0.32682889154945166,0.46984924623115576,-17.120292142944894,0.07651466732289527,188,210,0,0.0023273855702094647,1.7808361829026076
TRX/USDT:USDT,15m,oos,fixed_1.5r,684,562,125,0.8216374269005848,-0.12008192180953665,0.1408174193581714,0.384,-29.604708616085592,-0.039999999999999786,48,77,0,,
TRX/USDT:USDT,15m,oos,resistance_self,684,562,111,0.8216374269005848,-0.08727670956771526,0.177769825950964,0.2882882882882883,-15.100706877882592,-0.011068983598547069,32,79,0,0.0029239766081871343,5.166181823079598
TRX/USDT:USDT,15m,oos,resistance_combined,684,562,132,0.8216374269005848,-0.07703096443779323,0.12307787035860142,0.4393939393939394,-14.317414775210535,0.02129600786886893,58,74,0,0.0,1.794753238164069
