universe,scope,arm,leverage_mode,multiple,segment,exclude_symbol,num_cells,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,skipped_cell_busy,skipped_notional,skipped_sizing
nine,both,book,cap_only,1.0,oos,,18,2303,0.542336083369518,7.948591618237784,0.10606669767859266,3.0,0.02579535916553596,1.0000000000000002,0.0,2059.0,446.0,1581.0,1384.0
nine,both,book,cap_only,2.0,oos,,18,3017,0.5425919787868744,16.49269724967505,0.15350310325065059,5.0,0.04000000000000001,2.0000000000000004,0.0,2651.0,607.0,415.0,1675.0
nine,both,book,cap_only,3.0,oos,,18,3219,0.5461323392357875,29.649471707620368,0.1399940899248382,5.0,0.04428210343314343,3.0000000000000004,0.0,2795.0,650.0,113.0,1732.0
nine,both,book,cap_only,5.0,oos,,18,3284,0.5478075517661388,41.048376569397064,0.14251021486580198,6.0,0.05654358284023281,5.0,0.0,2834.0,664.0,7.0,1759.0
nine,both,isolated,,1.0,oos,BNB,16,3028,0.5434410378149932,0.27811700282984636,0.059118230951413664,,,,,,,,
nine,both,book,combined,1.0,oos,BNB,16,2154,0.5431754874651811,6.710792992660103,0.11054480547795446,3.0,0.02579535916553596,1.0000000000000002,0.0,1918.0,434.0,1378.0,1201.0
nine,both,book,combined,2.0,oos,BNB,16,2151,0.5425383542538355,50.99777353329819,0.20610532348007704,3.0,0.05159071833107193,2.0000000000000004,0.0,1915.0,427.0,1386.0,1203.0
nine,both,book,combined,3.0,oos,BNB,16,2142,0.5452847805788982,302.5243952715356,0.30966324228244535,3.0,0.07738607749660789,3.0000000000000004,0.0,1906.0,426.0,1404.0,1195.0
nine,both,book,combined,5.0,oos,BNB,16,2156,0.5459183673469388,7085.519964284709,0.4777164359931133,3.0,0.12897679582767982,5.000000000000002,0.0,1921.0,426.0,1389.0,1196.0
nine,both,book,cap_only,1.0,oos,BNB,16,2154,0.5431754874651811,6.710792992660103,0.11054480547795446,3.0,0.02579535916553596,1.0000000000000002,0.0,1918.0,434.0,1378.0,1201.0
nine,both,book,cap_only,2.0,oos,BNB,16,2798,0.5453895639742673,15.68731011657019,0.14593980541886203,4.0,0.04,2.0000000000000004,0.0,2447.0,578.0,351.0,1440.0
nine,both,book,cap_only,3.0,oos,BNB,16,2972,0.5487886944818304,27.551413540662697,0.13335822813278836,5.0,0.04010761973000591,3.0000000000000004,0.0,2568.0,610.0,82.0,1503.0
nine,both,book,cap_only,5.0,oos,BNB,16,3024,0.5499338624338624,35.01294886812834,0.1489529359120077,6.0,0.05487529615221558,5.000000000000001,0.0,2601.0,621.0,5.0,1517.0
nine,both,isolated,,1.0,oos,BTC,16,3033,0.5441347022489553,0.28180010184747206,0.05913921809077845,,,,,,,,
nine,both,book,combined,1.0,oos,BTC,16,2193,0.5485636114911081,8.565612829508893,0.09668625661678656,3.0,0.02657148255087771,1.0000000000000002,0.0,1937.0,433.0,1297.0,1161.0
nine,both,book,combined,2.0,oos,BTC,16,2195,0.5457858769931663,77.04387806487262,0.18766209288987548,3.0,0.05238026656565282,2.0000000000000004,0.0,1938.0,433.0,1292.0,1164.0
nine,both,book,combined,3.0,oos,BTC,16,2199,0.5475216007276035,562.8535228791753,0.27274255655474755,3.0,0.0774929341776328,3.000000000000001,0.0,1942.0,431.0,1292.0,1162.0
nine,both,book,combined,5.0,oos,BTC,16,2201,0.546569741026806,18469.27229846898,0.4249288222684175,3.0,0.1289767958276798,5.000000000000001,0.0,1945.0,433.0,1282.0,1168.0
nine,both,book,cap_only,1.0,oos,BTC,16,2193,0.5485636114911081,8.565612829508893,0.09668625661678656,3.0,0.02657148255087771,1.0000000000000002,0.0,1937.0,433.0,1297.0,1161.0
