timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,death_rate,ambiguous_rate,winner_rate,mean_r
1h,is,freshness_bars,Q2,2,31.0,111.0,478,0.11506276150627615,0.27405857740585776,0.6108786610878661,0.5271966527196653
1h,is,freshness_bars,Q3,3,112.0,17460.0,483,0.08281573498964803,0.22567287784679088,0.6915113871635611,0.7287784679089027
1h,is,prior_taps,Q1,1,0.0,9.0,1448,0.10497237569060773,0.27900552486187846,0.6160220994475138,0.5400552486187845
1h,is,approach_mom,Q1,1,-6.754159988743459,-1.9309660551560635,483,0.09316770186335403,0.2629399585921325,0.6438923395445134,0.6097308488612836
1h,is,approach_mom,Q2,2,-1.9303687283678252,-0.8258670132412882,482,0.11410788381742738,0.2863070539419087,0.5995850622406639,0.49896265560165975
1h,is,approach_mom,Q3,3,-0.817204533982465,4.872928091983983,483,0.10766045548654245,0.28778467908902694,0.6045548654244306,0.5113871635610766
1h,is,tap_rsi,Q1,1,9.227533969248995,35.06385090521347,483,0.09316770186335403,0.2153209109730849,0.6915113871635611,0.7287784679089027
1h,is,tap_rsi,Q2,2,35.12038733551525,43.164716922339856,482,0.10995850622406639,0.3091286307053942,0.5809128630705395,0.45228215767634855
1h,is,tap_rsi,Q3,3,43.184189950659764,77.7969367950735,483,0.11180124223602485,0.31262939958592134,0.5755693581780539,0.4389233954451346
1h,is,stop_width_frac,Q1,1,0.0030440828403806752,0.00865617592453181,483,0.049689440993788817,0.2815734989648033,0.6687370600414079,0.6718426501035196
1h,is,stop_width_frac,Q2,2,0.008658514784707264,0.014556952256170255,482,0.12033195020746888,0.26348547717842324,0.6161825726141079,0.5404564315352697
1h,is,stop_width_frac,Q3,3,0.014558924512234837,0.10867149583043129,483,0.14492753623188406,0.2919254658385093,0.5631469979296067,0.4078674948240166
1h,is,stop_width_atr,Q1,1,0.10000418947667378,0.7565272464929501,483,0.037267080745341616,0.19668737060041408,0.7660455486542443,0.9151138716356108
1h,is,stop_width_atr,Q2,2,0.7577240494011888,1.0180100074502136,482,0.11618257261410789,0.31742738589211617,0.5663900414937759,0.41597510373443985
1h,is,stop_width_atr,Q3,3,1.018102140466598,1.3206404039718087,483,0.16149068322981366,0.32298136645962733,0.515527950310559,0.2888198757763975
