symbol,timeframe,segment,window,entry_mode,take_profit_r,offset_bps,fill,seed,start_time,end_time,num_bars,num_trades,win_rate,total_return,max_drawdown,sharpe,profit_factor,mean_r,fill_rate,eligible_setups,num_filled,funding_coverage,level
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,3,1752480000000,1784072700000,35104,196,0.413265306122449,-0.15941140627626682,0.2484290311227173,-18.502479711432432,0.8034636387899835,0.03316326530612245,0.46989374262101535,847,398,1.0,L0r
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,4,1752480000000,1784072700000,35104,198,0.3888888888888889,-0.1882121895545567,0.23628850068136312,-22.641082695293186,0.7758883224835038,-0.027777777777777776,0.4817001180637544,847,408,1.0,L0r
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,baseline,0,1752480000000,1784072700000,35104,301,0.42524916943521596,-0.169101465374309,0.23715064615676115,-12.969807630462567,0.8568981873473928,0.06312292358803986,0.6245572609208973,847,529,1.0,L1
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp,0,1752480000000,1784072700000,35104,290,0.40344827586206894,-0.2178474051791439,0.2453206310300023,-18.016515060272084,0.8105065465381381,0.008620689655172414,0.5914994096812278,847,501,1.0,L1
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1752480000000,1784072700000,35104,165,0.3939393939393939,-0.1281747511499456,0.18647061939147763,-17.153160462479423,0.8159451417235462,-0.015151515151515152,0.30578512396694213,847,259,1.0,L1
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,1,1752480000000,1784072700000,35104,162,0.3765432098765432,-0.21735085904321078,0.2465251405880336,-32.37136826837731,0.6959142396465042,-0.05864197530864197,0.3010625737898465,847,255,1.0,L1
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,2,1752480000000,1784072700000,35104,167,0.40718562874251496,-0.12799428360091333,0.2081260576905186,-17.264678244030183,0.8203820160931534,0.017964071856287425,0.2939787485242031,847,249,1.0,L1
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,3,1752480000000,1784072700000,35104,163,0.3987730061349693,-0.11816483544898765,0.16416075991160684,-15.582188134696048,0.8296279889546407,-0.003067484662576687,0.3010625737898465,847,255,1.0,L1
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,4,1752480000000,1784072700000,35104,171,0.4093567251461988,-0.10157906969860578,0.15643463928334841,-12.337132680590635,0.8655195443153751,0.023391812865497075,0.3116883116883117,847,264,1.0,L1
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,baseline,0,1752480000000,1784072700000,35104,222,0.47297297297297297,0.012274865841066275,0.12126665420065676,1.9970042908356986,1.0137582650850505,0.18243243243243243,0.5346153846153846,780,417,1.0,L2
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp,0,1752480000000,1784072700000,35104,212,0.4528301886792453,-0.03768586875858855,0.13046503302561907,-3.141571755265656,0.9560506479944068,0.1320754716981132,0.46923076923076923,780,366,1.0,L2
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1752480000000,1784072700000,35104,118,0.4830508474576271,0.0627894695945237,0.08087910135995804,11.854980146322292,1.13254088226198,0.2076271186440678,0.23717948717948717,780,185,1.0,L2
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,1,1752480000000,1784072700000,35104,108,0.39814814814814814,-0.11037421383553701,0.13059586276327137,-23.44587943439142,0.7576387670427857,-0.004629629629629629,0.23333333333333334,780,182,1.0,L2
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,2,1752480000000,1784072700000,35104,105,0.45714285714285713,-0.01887880323165409,0.10589372027836978,-3.093968740094336,0.9575739228715555,0.14285714285714285,0.2423076923076923,780,189,1.0,L2
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,3,1752480000000,1784072700000,35104,119,0.453781512605042,-0.03671345881327525,0.14720722923006313,-6.183805100953449,0.9268518436834293,0.13445378151260504,0.24102564102564103,780,188,1.0,L2
BTC/USDT:USDT,15m,oos,0,zone_limit,1.5,2.0,pen_5bp_drop_50,4,1752480000000,1784072700000,35104,115,0.4434782608695652,-0.018975989538254,0.10789250745358252,-2.70083642507987,0.9607407916365366,0.10869565217391304,0.23717948717948717,780,185,1.0,L2
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,baseline,0,1689292800000,1752476400000,17552,173,0.4624277456647399,-0.02646101575284556,0.14296997571528933,-0.9411288898415398,0.969051457528686,0.15606936416184972,1.0,191,191,1.0,L0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1752476400000,17552,170,0.4470588235294118,-0.062345212738109515,0.16080465808816083,-2.987169598998784,0.9261737922669889,0.11764705882352941,0.9738219895287958,191,186,1.0,L0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1752476400000,17552,94,0.44680851063829785,-0.001559495427429283,0.11291935579607702,0.3373435825082134,0.9967459029011215,0.11702127659574468,0.5340314136125655,191,102,1.0,L0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,1,1689292800000,1752476400000,17552,88,0.45454545454545453,-0.01923015602201431,0.11986853128235746,-1.4948966659008676,0.9557568309819857,0.13636363636363635,0.4869109947643979,191,93,1.0,L0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,2,1689292800000,1752476400000,17552,86,0.4069767441860465,-0.09828169022351212,0.139375981353239,-10.697349194107229,0.7821458216895887,0.01744186046511628,0.49214659685863876,191,94,1.0,L0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,3,1689292800000,1752476400000,17552,89,0.4943820224719101,0.05739306222350024,0.06408131017487088,6.1715111742813145,1.1376831997541677,0.23595505617977527,0.5026178010471204,191,96,1.0,L0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,4,1689292800000,1752476400000,17552,85,0.4235294117647059,-0.06166079234102308,0.10565796340140414,-6.388491990251613,0.8573902942648735,0.058823529411764705,0.4712041884816754,191,90,1.0,L0
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,baseline,0,1689292800000,1752476400000,17552,221,0.47058823529411764,0.009429546246229074,0.13546721616075866,0.8638213709312157,1.0088255897980805,0.17647058823529413,1.0,375,375,1.0,L0r
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp,0,1689292800000,1752476400000,17552,214,0.4532710280373832,-0.03303516020426887,0.15951152090343454,-0.9621125070511171,0.968232854733336,0.13317757009345793,0.9733333333333334,375,365,1.0,L0r
BTC/USDT:USDT,1h,is,0,zone_limit,1.5,2.0,pen_5bp_drop_50,0,1689292800000,1752476400000,17552,131,0.4351145038167939,-0.05982589716549737,0.10535056255072325,-3.8805087502297972,0.9083795691131793,0.08778625954198473,0.49066666666666664,375,184,1.0,L0r
