symbol,timeframe,segment,lens,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,real_zones,fake_zones,pool_k,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
BTC/USDT:USDT,1h,oos_warm,pen_5bp,False,0.018330401356976653,78,78,0,829,1508,12064,8,0.06475541963660873,-0.054905602598832044,0.18759267939277124,0.775,200,0,0.08301096146083098
ETH/USDT:USDT,1h,is,baseline,False,0.4273802016549262,159,159,0,1471,962,7696,8,0.4290953970108481,0.17485610543610927,0.719723322469868,0.465,200,0,6.113725594227505
ETH/USDT:USDT,1h,is,pen_5bp,False,0.30973956560015903,151,151,0,1407,962,7696,8,0.36359679335032147,0.06960911383467155,0.6595253247213605,0.675,200,0,6.113725594227505
ETH/USDT:USDT,1h,oos_warm,baseline,False,0.6056446805592521,91,91,0,875,1470,11760,8,0.2343871445568898,0.029811970112577548,0.4324920228583469,0.0,200,0,-0.27968191183148383
ETH/USDT:USDT,1h,oos_warm,pen_5bp,False,0.5041565787015837,85,85,0,809,1470,11760,8,0.20249137489466565,0.021216593186857063,0.39186348133575594,0.0,200,0,-0.27968191183148383
SOL/USDT:USDT,1h,is,baseline,False,0.4754535649909289,187,187,0,1557,962,7696,8,0.7255496810886567,0.32459191531663034,1.2703586129847682,0.895,200,0,48.926213948931476
SOL/USDT:USDT,1h,is,pen_5bp,False,0.49056113520840333,177,177,0,1492,962,7696,8,0.6549178461213085,0.27988155331687575,1.1277474981831042,0.78,200,0,48.926213948931476
SOL/USDT:USDT,1h,oos_warm,baseline,False,0.3499453404686463,93,93,0,970,1460,11680,8,0.2895275660605474,0.050289114211130435,0.5397244236483175,0.305,200,0,-0.5162541822628602
SOL/USDT:USDT,1h,oos_warm,pen_5bp,False,0.3446175741196554,88,88,0,935,1460,11680,8,0.25426760887389777,0.0752315526425844,0.461031954539405,0.185,200,0,-0.5162541822628602
BNB/USDT:USDT,1h,is,baseline,False,0.8529515079235287,142,142,0,1523,950,7600,8,0.4914773673909967,0.2098452179253145,0.7971304463532269,0.01,200,0,16.06886306615608
BNB/USDT:USDT,1h,is,pen_5bp,False,0.7407299999217539,134,134,0,1437,950,7600,8,0.4172788108594915,0.14059748330575475,0.6954278265735367,0.015,200,0,16.06886306615608
BNB/USDT:USDT,1h,oos_warm,baseline,False,0.11604628788947358,78,78,0,766,1415,11320,8,0.17478352359326482,0.012496169330727572,0.3163226153294734,0.785,200,0,0.11524915844570272
BNB/USDT:USDT,1h,oos_warm,pen_5bp,False,0.14163836564118684,77,77,0,709,1415,11320,8,0.15973453659429732,0.008296728692009493,0.2988314096335085,0.595,200,0,0.11524915844570272
XRP/USDT:USDT,1h,is,baseline,False,1.1599659258078006,153,153,0,1302,943,7544,8,0.6107522648373015,0.2766271050704887,0.9681082908002762,0.0,200,0,1.5036555645816407
XRP/USDT:USDT,1h,is,pen_5bp,False,0.9252794151712868,138,138,0,1236,943,7544,8,0.5501867961515966,0.28918890192073904,0.830065569133146,0.005,200,0,1.5036555645816407
XRP/USDT:USDT,1h,oos_warm,baseline,False,0.1621705067802708,93,93,0,828,1445,11560,8,0.06231587342095949,-0.08029041806986278,0.22403352076504507,0.09,200,0,0.8647279856232641
XRP/USDT:USDT,1h,oos_warm,pen_5bp,False,0.1093186421208602,85,85,0,766,1445,11560,8,0.02521597383946837,-0.11206588647772588,0.16735861054259568,0.165,200,0,0.8647279856232641
TRX/USDT:USDT,1h,is,baseline,False,0.9194723486066446,162,162,0,1409,930,7440,8,0.42279915488402914,0.15846878819422727,0.6952614873019058,0.0,200,0,3.2179401993355476
TRX/USDT:USDT,1h,is,pen_5bp,False,0.7754895814056261,152,152,0,1308,930,7440,8,0.3526367305962387,0.12195269180139658,0.6613261608539411,0.0,200,0,3.2179401993355476
TRX/USDT:USDT,1h,oos_warm,baseline,False,0.05744229855136036,65,65,0,746,1386,11088,8,0.026962282860046295,-0.05610348387240374,0.10664915211498883,0.26,200,0,1.595144253507804
TRX/USDT:USDT,1h,oos_warm,pen_5bp,False,0.04883118134778542,59,59,0,652,1386,11088,8,0.021372655355381517,-0.06527791924009761,0.10729747347094817,0.21,200,0,1.595144253507804
DOGE/USDT:USDT,1h,is,baseline,False,1.1849491401941639,143,143,0,1255,931,7448,8,0.7354653209483328,0.3620016029019598,1.1765403555871967,0.025,200,0,37.553481694185216
DOGE/USDT:USDT,1h,is,pen_5bp,False,1.0179191509206296,138,138,0,1197,931,7448,8,0.7093505917601681,0.36132957320553194,1.1122384429616747,0.075,200,0,37.553481694185216
DOGE/USDT:USDT,1h,oos_warm,baseline,False,0.0952252746068114,89,89,0,820,1421,11368,8,0.19175055316622713,0.012624224602897994,0.36266729676916604,0.85,200,0,-0.313523631258774
DOGE/USDT:USDT,1h,oos_warm,pen_5bp,False,0.09534703389218248,85,85,0,783,1421,11368,8,0.176243037443421,0.015379590459476457,0.3553534780330441,0.82,200,0,-0.313523631258774
LINK/USDT:USDT,1h,is,baseline,False,0.7244274842059378,174,174,0,1805,971,7768,8,0.7818692107116147,0.3518195287682227,1.1769129740154098,0.605,200,0,-0.1124235916074674
LINK/USDT:USDT,1h,is,pen_5bp,False,0.675600078951407,166,166,0,1739,971,7768,8,0.7084552852082023,0.35823799503145654,1.1449576926575475,0.545,200,0,-0.1124235916074674
LINK/USDT:USDT,1h,oos_warm,baseline,False,0.10090029851648924,92,92,0,943,1453,11624,8,0.16336668686782954,-0.013931522307024897,0.38119578435800267,0.73,200,0,-0.1861011848786911
LINK/USDT:USDT,1h,oos_warm,pen_5bp,False,0.0447281953737509,88,88,0,903,1453,11624,8,0.11283925249576415,-0.060978107288926005,0.27934653004839366,0.805,200,0,-0.1861011848786911
LTC/USDT:USDT,1h,is,baseline,False,0.39937119943693833,158,158,0,1619,974,7792,8,0.5941098459008377,0.3065774572373579,1.076602391727388,0.855,200,0,0.24632952691680265
LTC/USDT:USDT,1h,is,pen_5bp,False,0.3743135517035771,149,149,0,1521,974,7792,8,0.5273886699370182,0.24776259171748496,0.8693261465846776,0.855,200,0,0.24632952691680265
LTC/USDT:USDT,1h,oos_warm,baseline,False,0.11020515622979565,84,84,0,774,1438,11504,8,0.23942460668199786,0.03635360500084717,0.4560081068425128,0.915,200,0,-0.2298963986186483
LTC/USDT:USDT,1h,oos_warm,pen_5bp,False,0.08082713449624589,80,80,0,736,1438,11504,8,0.2225185542453152,0.052362840015946134,0.40203464100527,0.955,200,0,-0.2298963986186483
