symbol,timeframe,bucket,bucket_lo,bucket_hi,narrow,active_taps,break_bar_taps,break_bar_share
BNB/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,490,35,0.06666666666666667
BNB/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,428,10,0.0228310502283105
BNB/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,60,56,0.4827586206896552
BNB/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,121,68,0.35978835978835977
BNB/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,237,67,0.22039473684210525
BNB/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,333,26,0.07242339832869081
BNB/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,261,19,0.06785714285714285
BNB/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,194,4,0.020202020202020204
BNB/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,27,22,0.4489795918367347
BNB/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,70,29,0.29292929292929293
BNB/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,130,31,0.19254658385093168
BNB/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,150,13,0.07975460122699386
BNB/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,122,6,0.046875
BNB/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,95,1,0.010416666666666666
XRP/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,464,570,0.5512572533849129
XRP/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1481,560,0.27437530622244
XRP/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2570,536,0.1725692208628461
XRP/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2453,301,0.1092955700798838
XRP/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,1988,168,0.07792207792207792
XRP/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,1656,72,0.041666666666666664
XRP/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,104,137,0.5684647302904564
XRP/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,371,157,0.29734848484848486
XRP/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,537,134,0.19970193740685543
XRP/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,614,74,0.10755813953488372
XRP/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,485,50,0.09345794392523364
XRP/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,491,28,0.05394990366088632
XRP/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,42,41,0.4939759036144578
XRP/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,134,67,0.3333333333333333
XRP/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,237,60,0.20202020202020202
XRP/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,288,58,0.1676300578034682
XRP/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,299,31,0.09393939393939393
XRP/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,302,14,0.04430379746835443
XRP/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,13,29,0.6904761904761905
XRP/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,73,37,0.33636363636363636
XRP/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,122,46,0.27380952380952384
XRP/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,140,27,0.16167664670658682
XRP/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,144,14,0.08860759493670886
XRP/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,153,10,0.06134969325153374
TRX/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,485,447,0.4796137339055794
TRX/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1357,573,0.29689119170984457
TRX/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2229,441,0.1651685393258427
TRX/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2425,264,0.09817776124953514
TRX/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,1873,99,0.050202839756592295
TRX/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,1327,47,0.03420669577874818
TRX/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,111,107,0.4908256880733945
