arm,symbol,timeframe,entry_ms,entry_utc,day,is_reentry,take_profit_derived,engine_entry,engine_take_profit,stop_price,net_r,reconstructed,ohlc_match,verdict,order_ok,outcome_ok,fill_ms,fill_price,take_profit_price,first_tp_ms,tp_after_fill_ms,fill_offset_s,tick_count
band,BNB/USDT:USDT,15m,1779522600000,2026-05-23 07:50,2026-05-23,True,True,635.1570059999999,638.0925149999997,633.2,1.1417041919150932,True,True,인공물,False,False,1779522656481.0,635.1570059999999,638.0925149999997,1779522600066.0,,56.481,5909
static,BNB/USDT:USDT,1h,1769885040000,2026-01-31 18:44,2026-01-31,True,True,753.990768,766.86192,745.41,1.4020110426926893,True,True,진짜,True,True,1769885040038.0,753.990768,766.86192,1769885094386.0,1769885094386.0,0.038,9165
band,BNB/USDT:USDT,1h,1769885040000,2026-01-31 18:44,2026-01-31,True,True,753.990768,766.86192,745.41,1.4020110426926893,True,True,진짜,True,True,1769885040038.0,753.990768,766.86192,1769885094386.0,1769885094386.0,0.038,9165
static,BNB/USDT:USDT,2h,1781616480000,2026-06-16 13:28,2026-06-16,False,False,601.72032,604.7508,599.7,1.1710922854597725,True,True,순서역전-성립,False,True,1781616491481.0,601.72032,604.7508,1781616480054.0,1781616519551.0,11.481,9635
band,BNB/USDT:USDT,2h,1781616480000,2026-06-16 13:28,2026-06-16,False,False,601.72032,604.7508,599.7,1.1710922854597725,True,True,순서역전-성립,False,True,1781616491481.0,601.72032,604.7508,1781616480054.0,1781616519551.0,11.481,9635
static,BNB/USDT:USDT,4h,1760131140000,2025-10-10 21:19,2025-10-10,True,True,837.757518,866.583795,818.54,1.4507062461270466,True,True,순서역전-성립,False,True,1760131196642.0,837.757518,866.583795,1760131140044.0,1760131196890.0,56.642,28749
band,BNB/USDT:USDT,4h,1760131140000,2025-10-10 21:19,2025-10-10,True,True,837.757518,866.583795,818.54,1.4507062461270466,True,True,순서역전-성립,False,True,1760131196642.0,837.757518,866.583795,1760131140044.0,1760131196890.0,56.642,28749
static,BTC/USDT:USDT,15m,1724796840000,2024-08-27 22:14,2024-08-27,False,False,58018.1013,58643.30325,57601.3,1.3455598278499858,True,True,인공물,False,False,1724796897536.0,58018.1013,58643.30325,1724796840020.0,,57.536,32122
band,BTC/USDT:USDT,15m,1724796840000,2024-08-27 22:14,2024-08-27,False,False,58018.1013,58643.30325,57601.3,1.3455598278499858,True,True,인공물,False,False,1724796897536.0,58018.1013,58643.30325,1724796840020.0,,57.536,32122
static,BTC/USDT:USDT,15m,1734552600000,2024-12-18 20:10,2024-12-18,True,True,100971.1902,101588.27549999999,100559.8,1.2287165121218322,True,True,인공물,False,False,1734552642252.0,100971.1902,101588.27549999999,1734552600000.0,,42.252,14226
band,BTC/USDT:USDT,15m,1734552600000,2024-12-18 20:10,2024-12-18,True,True,100971.1902,101588.27549999999,100559.8,1.2287165121218322,True,True,인공물,False,False,1734552642252.0,100971.1902,101588.27549999999,1734552600000.0,,42.252,14226
static,BTC/USDT:USDT,15m,1779475500000,2026-05-22 18:45,2026-05-22,True,True,76083.7137,76455.28424999998,75836.0,1.1608536083868135,True,True,인공물,False,False,1779475559698.0,76083.7137,76455.28424999998,1779475500055.0,,59.698,17381
band,BTC/USDT:USDT,15m,1779475500000,2026-05-22 18:45,2026-05-22,True,True,76083.7137,76455.28424999998,75836.0,1.1608536083868135,True,True,인공물,False,False,1779475559698.0,76083.7137,76455.28424999998,1779475500055.0,,59.698,17381
static,BTC/USDT:USDT,4h,1768948380000,2026-01-20 22:33,2026-01-20,False,False,87867.26994,88884.37485,87189.2,1.356133403468625,True,True,인공물,False,False,1768948434568.0,87867.26994,88884.37485,1768948380065.0,,54.568,34916
band,BTC/USDT:USDT,4h,1768948380000,2026-01-20 22:33,2026-01-20,False,False,87867.26994,88884.37485,87189.2,1.356133403468625,True,True,인공물,False,False,1768948434568.0,87867.26994,88884.37485,1768948380065.0,,54.568,34916
static,DOGE/USDT:USDT,15m,1741654260000,2025-03-11 00:51,2025-03-11,True,True,0.143148624,0.14470656000000004,0.14211,1.3470700778260694,True,True,인공물,False,False,1741654305793.0,0.143148624,0.14470656000000004,1741654260000.0,,45.793,5927
band,DOGE/USDT:USDT,15m,1741654260000,2025-03-11 00:51,2025-03-11,True,True,0.143148624,0.14470656000000004,0.14211,1.3470700778260694,True,True,인공물,False,False,1741654305793.0,0.143148624,0.14470656000000004,1741654260000.0,,45.793,5927
static,DOGE/USDT:USDT,15m,1741654320000,2025-03-11 00:52,2025-03-11,True,True,0.143148624,0.14470656000000004,0.14211,1.3470700778260696,True,True,진짜,True,True,1741654320016.0,0.143148624,0.14470656000000004,1741654369259.0,1741654369259.0,0.016,4141
band,DOGE/USDT:USDT,15m,1741654320000,2025-03-11 00:52,2025-03-11,True,True,0.143148624,0.14470656000000004,0.14211,1.3470700778260696,True,True,진짜,True,True,1741654320016.0,0.143148624,0.14470656000000004,1741654369259.0,1741654369259.0,0.016,4141
static,DOGE/USDT:USDT,15m,1761130980000,2025-10-22 11:03,2025-10-22,False,False,0.186107214,0.187903035,0.18491,1.3276861165230234,True,True,순서역전-성립,False,True,1761131039015.0,0.186107214,0.187903035,1761130980034.0,1761131039324.0,59.015,2688
band,DOGE/USDT:USDT,15m,1761130980000,2025-10-22 11:03,2025-10-22,False,False,0.186107214,0.187903035,0.18491,1.3276861165230234,True,True,순서역전-성립,False,True,1761131039015.0,0.18610721400000002,0.18790303500000005,1761130980034.0,1761131039324.0,59.015,2688
static,DOGE/USDT:USDT,15m,1774137660000,2026-03-22 00:01,2026-03-22,True,True,0.090248046,0.091070115,0.0897,1.3175436027687624,True,True,인공물,False,False,1774137693000.0,0.090248046,0.091070115,1774137660028.0,,33.0,3388
band,DOGE/USDT:USDT,15m,1774137660000,2026-03-22 00:01,2026-03-22,True,True,0.090248046,0.091070115,0.0897,1.3175436027687624,True,True,인공물,False,False,1774137693000.0,0.090248046,0.091070115,1774137660028.0,,33.0,3388
static,DOGE/USDT:USDT,4h,1770337140000,2026-02-06 00:19,2026-02-06,True,True,0.080476092,0.08209023,0.0794,1.4164011930634193,True,True,인공물,False,False,1770337188204.0,0.080476092,0.08209023,1770337140089.0,,48.204,6314
band,DOGE/USDT:USDT,4h,1770337140000,2026-02-06 00:19,2026-02-06,True,True,0.080476092,0.08209023,0.0794,1.4164011930634193,True,True,인공물,False,False,1770337188204.0,0.080476092,0.08209023,1770337140089.0,,48.204,6314
static,DOT/USDT:USDT,15m,1724796840000,2024-08-27 22:14,2024-08-27,False,False,4.2588516,4.3156289999999995,4.221,1.3749069182227582,True,True,인공물,False,False,1724796894248.0,4.2588516,4.3156289999999995,1724796840608.0,,54.248,824
band,DOT/USDT:USDT,15m,1724796840000,2024-08-27 22:14,2024-08-27,False,False,4.2588516,4.3156289999999995,4.221,1.3749069182227582,True,True,인공물,False,False,1724796894248.0,4.2588516,4.3156289999999995,1724796840608.0,,54.248,824
static,DOT/USDT:USDT,15m,1772803800000,2026-03-06 13:30,2026-03-06,False,False,1.4922984,1.5077459999999998,1.482,1.3392828467723277,True,True,인공물,False,False,1772803805469.0,1.4922984,1.5077459999999998,1772803800015.0,,5.469,504
band,DOT/USDT:USDT,15m,1772803800000,2026-03-06 13:30,2026-03-06,False,False,1.4922984,1.5077459999999998,1.482,1.3392828467723277,True,True,미체결,False,False,,,,,,,504
static,DOT/USDT:USDT,15m,1780236840000,2026-05-31 14:14,2026-05-31,False,False,1.1742347999999998,1.1820869999999994,1.169,1.2519506298999217,True,True,인공물,False,False,1780236896403.0,1.1742347999999998,1.1820869999999994,1780236840520.0,,56.403,207
