symbol,timeframe,segment,arm,num_candidates,num_trades,win_rate,total_return,max_drawdown
SOL/USDT:USDT,1h,oos_warm,band,176,113,0.584070796460177,0.4510003831576365,0.04713203349390442
SOL/USDT:USDT,1h,oos,off,117,87,0.5747126436781609,0.3063432069392269,0.04405544250917245
SOL/USDT:USDT,1h,oos,freeze,181,118,0.5677966101694916,0.4040913650618582,0.07048357187004196
SOL/USDT:USDT,1h,oos,band,165,103,0.5728155339805825,0.3593480945460911,0.05419970085578237
SOL/USDT:USDT,2h,full,off,163,136,0.6176470588235294,0.8527849438520574,0.04495639401679082
SOL/USDT:USDT,2h,full,freeze,260,188,0.5957446808510638,1.1642230907321103,0.05832819861965581
SOL/USDT:USDT,2h,full,band,248,175,0.6171428571428571,1.214497661809992,0.05467232918238197
SOL/USDT:USDT,2h,is,off,110,91,0.6153846153846154,0.5417351648459797,0.03174146590129161
SOL/USDT:USDT,2h,is,freeze,173,127,0.5984251968503937,0.7389165698775668,0.041774886692275325
SOL/USDT:USDT,2h,is,band,160,116,0.6206896551724138,0.7659077535734595,0.03456343399835116
SOL/USDT:USDT,2h,oos_warm,off,53,45,0.6222222222222222,0.20175305467405033,0.044956394016790975
SOL/USDT:USDT,2h,oos_warm,freeze,87,61,0.5901639344262295,0.24458132622457415,0.05832819861965564
SOL/USDT:USDT,2h,oos_warm,band,88,59,0.6101694915254238,0.2540279396411124,0.05467232918238214
SOL/USDT:USDT,2h,oos,off,47,39,0.6410256410256411,0.18758332941950703,0.03128353459582673
SOL/USDT:USDT,2h,oos,freeze,72,52,0.5961538461538461,0.20696313146529155,0.036553243652106014
SOL/USDT:USDT,2h,oos,band,73,50,0.62,0.2161242154946931,0.031283534595826785
SOL/USDT:USDT,4h,full,off,88,76,0.5789473684210527,0.33646072631085044,0.04127244900984847
SOL/USDT:USDT,4h,full,freeze,128,95,0.5684210526315789,0.4114802965350533,0.04127244900984851
SOL/USDT:USDT,4h,full,band,118,87,0.5747126436781609,0.39096817647170573,0.04127244900984853
SOL/USDT:USDT,4h,is,off,44,38,0.6052631578947368,0.18396233963451014,0.021101881258520097
SOL/USDT:USDT,4h,is,freeze,59,49,0.5714285714285714,0.19822444769540798,0.032291155676367575
SOL/USDT:USDT,4h,is,band,56,45,0.6,0.22059772254358304,0.0211018812585202
SOL/USDT:USDT,4h,oos_warm,off,44,38,0.5526315789473685,0.1288034100167548,0.04127244900984839
SOL/USDT:USDT,4h,oos_warm,freeze,69,46,0.5652173913043478,0.17797654625542672,0.041272449009848264
SOL/USDT:USDT,4h,oos_warm,band,62,42,0.5476190476190477,0.13957952794888862,0.04127244900984842
SOL/USDT:USDT,4h,oos,off,37,32,0.53125,0.08700831926875599,0.04127244900984824
SOL/USDT:USDT,4h,oos,freeze,55,37,0.5135135135135135,0.08591605616311045,0.0423970134248622
SOL/USDT:USDT,4h,oos,band,48,34,0.5,0.06591497689393072,0.04236766550043196
BNB/USDT:USDT,1h,full,off,296,220,0.6090909090909091,1.067979652057256,0.07825526785664368
BNB/USDT:USDT,1h,full,freeze,420,286,0.5979020979020979,1.336521808995186,0.11615499550852461
BNB/USDT:USDT,1h,full,band,395,257,0.6108949416342413,1.3670022926427854,0.08768640359599865
BNB/USDT:USDT,1h,is,off,190,142,0.6619718309859155,0.8529515079235287,0.046145444488873075
BNB/USDT:USDT,1h,is,freeze,267,191,0.6492146596858639,1.1963472444125942,0.04644506567678418
BNB/USDT:USDT,1h,is,band,248,170,0.6705882352941176,1.1749668158350848,0.046445065676784046
BNB/USDT:USDT,1h,oos_warm,off,106,78,0.5128205128205128,0.11604628788947358,0.0782552678566434
BNB/USDT:USDT,1h,oos_warm,freeze,153,95,0.49473684210526314,0.06382167707733352,0.10987697038943008
BNB/USDT:USDT,1h,oos_warm,band,147,87,0.4942528735632184,0.08829352034686981,0.08768640359599868
