level,segment,excluded,num_trades,total_return,max_drawdown,mean_net_r
L3,oos_warm,TRX/USDT:USDT,7570,-0.999480880125138,0.999512515875672,-0.1625297474223932
L3,oos_warm,DOGE/USDT:USDT,7069,-0.9990300812625684,0.9990795902450312,-0.1640977747912533
L3,oos_warm,LINK/USDT:USDT,7138,-0.9989892756306774,0.999060947226138,-0.1636865192279986
L3,oos_warm,LTC/USDT:USDT,7155,-0.998617003098213,0.9986948177284164,-0.156333271712436
L3,oos_warm,ADA/USDT:USDT,7142,-0.9988839644768454,0.998951976940069,-0.160417789406662
L3,oos_warm,DOT/USDT:USDT,7147,-0.9991455676726612,0.9991858862138068,-0.1680469639493976
L3,oos_warm,BCH/USDT:USDT,7163,-0.9993137859076198,0.9993589562701034,-0.1667069039192301
L4,oos_warm,-,9514,-0.9999746780257376,0.9999775596032764,-0.1797515766346367
L4,oos_warm,BTC/USDT:USDT,8990,-0.9999592334681638,0.9999619630802524,-0.1796767361638467
L4,oos_warm,ETH/USDT:USDT,8684,-0.9999484097611748,0.99995509301644,-0.1807974744475884
L4,oos_warm,SOL/USDT:USDT,8585,-0.9999478432889378,0.9999558495556388,-0.1844990898586509
L4,oos_warm,BNB/USDT:USDT,8959,-0.999940726113887,0.9999478843971608,-0.1734886537381008
L4,oos_warm,XRP/USDT:USDT,8770,-0.9999311870891894,0.9999411686702424,-0.1763916660235787
L4,oos_warm,TRX/USDT:USDT,9194,-0.999965886157272,0.9999700416153766,-0.1782557272020791
L4,oos_warm,DOGE/USDT:USDT,8573,-0.9999093780538648,0.999917453488093,-0.1772535857298173
L4,oos_warm,LINK/USDT:USDT,8697,-0.9999169605861784,0.9999253481723228,-0.176679135487306
L4,oos_warm,LTC/USDT:USDT,8701,-0.9998913902574892,0.9999052901626524,-0.1710368714720982
L4,oos_warm,ADA/USDT:USDT,8705,-0.9999035290710944,0.9999174331851576,-0.1729095850634223
L4,oos_warm,DOT/USDT:USDT,8685,-0.9999347766229822,0.9999386743355092,-0.1822560888363967
L4,oos_warm,BCH/USDT:USDT,8678,-0.9999432198275784,0.9999493912384698,-0.1802841261631962
L1,oos_warm,-,17334,-0.9999999911677916,0.9999999924656836,-0.3571170379848932
L1,oos_warm,BTC/USDT:USDT,16339,-0.9999999754972086,0.9999999785707284,-0.3414940143844812
L1,oos_warm,ETH/USDT:USDT,16097,-0.9999999793306068,0.9999999818552232,-0.3626712649817582
L1,oos_warm,SOL/USDT:USDT,16160,-0.9999999745785336,0.9999999781092632,-0.3662139942245657
L1,oos_warm,BNB/USDT:USDT,16227,-0.9999999622117158,0.9999999676415524,-0.3435486923349793
L1,oos_warm,XRP/USDT:USDT,16200,-0.9999999532535522,0.9999999604465418,-0.3554187587549479
L1,oos_warm,TRX/USDT:USDT,16279,-0.9999999439736096,0.9999999521581228,-0.3233603463630113
L1,oos_warm,DOGE/USDT:USDT,16235,-0.9999999391009412,0.9999999469198292,-0.3571946864702388
L1,oos_warm,LINK/USDT:USDT,16230,-0.9999999566074014,0.9999999623163152,-0.3604010722521839
L1,oos_warm,LTC/USDT:USDT,16162,-0.9999999624954656,0.9999999681402592,-0.3555853066740484
L1,oos_warm,ADA/USDT:USDT,16217,-0.9999999469687784,0.9999999545974542,-0.3549122817614379
L1,oos_warm,DOT/USDT:USDT,16187,-0.999999967324304,0.9999999711989864,-0.3589736092617803
L1,oos_warm,BCH/USDT:USDT,16142,-0.9999999801203168,0.9999999844183723,-0.3659047783530222
L0,oos_warm,-,19184,-0.9999999999515309,0.9999999999646293,-0.23667344056375372
L0,oos_warm,BTC/USDT:USDT,18252,-0.9999999998822179,0.9999999999167373,-0.22752730336884638
L0,oos_warm,ETH/USDT:USDT,18020,-0.9999999999178446,0.9999999999391518,-0.24216467923893253
L0,oos_warm,SOL/USDT:USDT,17969,-0.9999999998591911,0.9999999999003736,-0.24294314638533063
L0,oos_warm,BNB/USDT:USDT,18116,-0.9999999997208108,0.9999999997797373,-0.22424346728745895
L0,oos_warm,XRP/USDT:USDT,18112,-0.9999999997117175,0.999999999799265,-0.238491013308561
L0,oos_warm,TRX/USDT:USDT,18100,-0.9999999998038507,0.9999999998630501,-0.2106146362603846
L0,oos_warm,DOGE/USDT:USDT,18088,-0.9999999996733905,0.9999999997559637,-0.23717164563883972
L0,oos_warm,LINK/USDT:USDT,18091,-0.9999999997457447,0.999999999807473,-0.23452634660896823
L0,oos_warm,LTC/USDT:USDT,18079,-0.9999999998633492,0.9999999999018719,-0.23983760866819778
L0,oos_warm,ADA/USDT:USDT,18036,-0.9999999997321783,0.9999999997889004,-0.23730202911116344
L0,oos_warm,DOT/USDT:USDT,18059,-0.999999999804553,0.9999999998530952,-0.24338064610179028
L0,oos_warm,BCH/USDT:USDT,17947,-0.999999999878925,0.999999999920357,-0.2428798250527399
