timeframe,segment,feature,remove_fraction,threshold,n_subset,n_removed,base_death_rate,gate_death_rate,matched_death_mean,p_death,winner_removed_rate,death_removed_rate
1h,oos,band_lower_slope_3_atr,0.3333333333333333,-0.00868119269975361,530,145,0.2037735849056604,0.18181818181818182,0.20623376623376624,0.047619047619047616,0.7379310344827587,0.2620689655172414
1h,is,band_lower_slope_3_atr,0.5,-0.08585128020422299,1044,522,0.14559386973180077,0.12835249042145594,0.14492337164750954,0.14285714285714285,0.8371647509578544,0.16283524904214558
1h,oos,band_lower_slope_3_atr,0.5,-0.08585128020422299,530,236,0.2037735849056604,0.17687074829931973,0.20867346938775513,0.09523809523809523,0.7627118644067796,0.23728813559322035
1h,is,band_lower_slope_3_pct,0.25,0.00032940059217266646,1044,261,0.14559386973180077,0.13537675606641125,0.14342273307790548,0.23809523809523808,0.8237547892720306,0.17624521072796934
1h,oos,band_lower_slope_3_pct,0.25,0.00032940059217266646,530,97,0.2037735849056604,0.19168591224018475,0.20484988452655886,0.09523809523809523,0.7422680412371134,0.25773195876288657
1h,is,band_lower_slope_3_pct,0.3333333333333333,-7.515633870663191e-05,1044,348,0.14559386973180077,0.13649425287356323,0.14418103448275862,0.19047619047619047,0.8362068965517241,0.16379310344827586
1h,oos,band_lower_slope_3_pct,0.3333333333333333,-7.515633870663191e-05,530,146,0.2037735849056604,0.18489583333333334,0.20651041666666664,0.09523809523809523,0.7465753424657534,0.2534246575342466
1h,is,band_lower_slope_3_pct,0.5,-0.0010400621693588512,1044,522,0.14559386973180077,0.13026819923371646,0.14492337164750954,0.19047619047619047,0.8390804597701149,0.16091954022988506
1h,oos,band_lower_slope_3_pct,0.5,-0.0010400621693588512,530,258,0.2037735849056604,0.14705882352941177,0.2051470588235294,0.047619047619047616,0.7364341085271318,0.26356589147286824
1h,is,band_lower_slope_5_atr,0.25,0.04123994213503156,1044,261,0.14559386973180077,0.13537675606641125,0.14342273307790548,0.23809523809523808,0.8237547892720306,0.17624521072796934
1h,oos,band_lower_slope_5_atr,0.25,0.04123994213503156,530,121,0.2037735849056604,0.1882640586797066,0.20537897310513445,0.09523809523809523,0.743801652892562,0.256198347107438
1h,is,band_lower_slope_5_atr,0.3333333333333333,0.0038636984601993648,1044,348,0.14559386973180077,0.13649425287356323,0.14418103448275862,0.19047619047619047,0.8362068965517241,0.16379310344827586
1h,oos,band_lower_slope_5_atr,0.3333333333333333,0.0038636984601993648,530,157,0.2037735849056604,0.18498659517426275,0.20683646112600534,0.09523809523809523,0.7515923566878981,0.2484076433121019
1h,is,band_lower_slope_5_atr,0.5,-0.06174820256649617,1044,522,0.14559386973180077,0.13026819923371646,0.14492337164750954,0.19047619047619047,0.8390804597701149,0.16091954022988506
1h,oos,band_lower_slope_5_atr,0.5,-0.06174820256649617,530,239,0.2037735849056604,0.16494845360824742,0.20893470790378008,0.047619047619047616,0.7489539748953975,0.2510460251046025
1h,is,band_lower_slope_5_pct,0.25,0.00044714973668006025,1044,261,0.14559386973180077,0.13537675606641125,0.14342273307790548,0.23809523809523808,0.8237547892720306,0.17624521072796934
1h,oos,band_lower_slope_5_pct,0.25,0.00044714973668006025,530,110,0.2037735849056604,0.1976190476190476,0.20535714285714293,0.2857142857142857,0.7727272727272727,0.22727272727272727
1h,is,band_lower_slope_5_pct,0.3333333333333333,3.6417446691972616e-05,1044,348,0.14559386973180077,0.13793103448275862,0.14418103448275862,0.2857142857142857,0.8390804597701149,0.16091954022988506
1h,oos,band_lower_slope_5_pct,0.3333333333333333,3.6417446691972616e-05,530,157,0.2037735849056604,0.18230563002680966,0.20683646112600534,0.047619047619047616,0.7452229299363057,0.25477707006369427
