symbol,timeframe,condition,bucket,window_start,window_end,n_bucket,n_kept,threshold,all_net_pp,actual_net_pp,null_mean_net_pp,null_sums,p_value,funding_coverage
LTC/USDT:USDT,2h,zone_width,is,1600128000000,1784678400000,39,20,0.9648345884296929,23.636796124418158,10.49241135893805,11.95207266359124,"[-0.1516766782, -3.8510963409, 11.5989896162, -4.2760238318, 19.1501221962, 0.7848375923, 16.0922272688, 18.5426270625, 3.6256029711, 3.3659449431, 10.0311173362, 33.1863952462, 22.2726774291, 17.3318090377, 18.7533419697, 7.2339568721, 2.8312813062, 17.5793318685, 24.3539995119, 20.585987895]",0.5714285714285714,0.0
LTC/USDT:USDT,2h,zone_width,oos,1600128000000,1784678400000,33,13,0.9648345884296929,15.784885227907026,8.399044101520285,7.296557760862115,"[14.1988914723, 2.0147901416, 22.9275925539, -0.2631824287, 5.791991133, 5.7094396253, -0.6840133724, 9.2828467084, -0.6184808673, 4.5756684863, 7.2557339475, 10.725115797, 1.81437142, 6.6164325336, 12.0887880879, 18.6295501877, -6.4854477669, 20.5347959584, 8.7675356401, 3.0487359597]",0.42857142857142855,0.0
LTC/USDT:USDT,2h,price_adv,is,1600128000000,1784678400000,39,21,-0.007478823599564502,23.636796124418158,19.264617975390127,12.510851490806113,"[-1.5788924687, -1.740621413, 14.2401860511, -0.9139629486, 16.9991563377, 10.0695160416, 13.6675533466, 12.1695414296, 7.5225382565, -1.4304091875, 12.982616124, 26.8133096133, 25.6347383123, 21.4877401881, 20.8638168976, 5.8067410817, 5.80420794, 20.2205283034, 22.2030336534, 19.395692257]",0.38095238095238093,0.0
LTC/USDT:USDT,2h,price_adv,oos,1600128000000,1784678400000,33,13,-0.007478823599564502,15.784885227907026,9.244144725428464,7.296557760862115,"[14.1988914723, 2.0147901416, 22.9275925539, -0.2631824287, 5.791991133, 5.7094396253, -0.6840133724, 9.2828467084, -0.6184808673, 4.5756684863, 7.2557339475, 10.725115797, 1.81437142, 6.6164325336, 12.0887880879, 18.6295501877, -6.4854477669, 20.5347959584, 8.7675356401, 3.0487359597]",0.38095238095238093,0.0
LTC/USDT:USDT,2h,trend,is,1600128000000,1784678400000,39,2,,23.636796124418158,1.6624803700091269,1.253158013228259,"[-2.4791573839, -7.5633812709, 5.0619737157, 0.9972520481, -2.2171544825, 4.6244282488, 6.7971275854, 6.7971275854, -1.4728271754, 3.2664468274, -4.8070657228, 6.7672317532, 1.3626759537, 1.2139806445, 4.8308835369, -4.5756397807, 0.1702419309, -0.0700249821, 6.8944748673, -0.5354336344]",0.42857142857142855,0.0
LTC/USDT:USDT,2h,trend,oos,1600128000000,1784678400000,33,6,,15.784885227907026,-8.693050599350782,3.7966433095978944,"[-0.592726457, 7.3214810745, 10.6907553187, 3.3844397854, 7.4536233764, -5.1928141488, 3.8804196781, -2.3637326342, 2.5213012812, -2.7826760305, 7.0109582375, 9.1830587427, 6.4659846353, 1.2397304487, 8.1887596165, 6.1054195569, -2.8344120767, 9.4567317799, 2.4020988699, 4.3944651375]",1.0,0.0
BTC/USDT:USDT,15m,zone_width,is,1600128000000,1784678400000,322,163,0.9450237144418476,57.03541598306081,27.96473271462665,27.003945476390687,"[6.2504500251, 35.9305838184, 30.5509495843, 35.1504179601, 35.7681759245, 23.8851092011, 19.6512446028, 27.4778041257, 24.06936774, 27.103452559, 40.7463215176, 27.6133842519, 26.7105448811, 20.4849581943, 26.3629138405, 23.961663837, 27.2345756914, 21.3361718243, 34.53093982, 25.2598801285]",0.3333333333333333,0.8647003745318352
BTC/USDT:USDT,15m,zone_width,oos,1600128000000,1784678400000,119,50,0.9450237144418476,7.424436841873582,-0.9999291417657377,4.383079239754013,"[6.2471553299, -1.2799181208, 5.5994222797, 11.7115081809, 2.1422544437, 4.1958287303, 9.8827535961, 5.8831036594, -0.8599156689, 0.2887874471, 2.7300152373, 6.5247641291, 8.326478864, 0.9856553159, 3.0351969681, 4.8151992366, 6.6410422338, 6.9001185021, 5.1574132419, -1.2652788109]",0.9047619047619048,0.8647003745318352
BTC/USDT:USDT,15m,price_adv,is,1600128000000,1784678400000,322,164,-0.036109784048308335,57.03541598306081,38.043219370237686,27.26557412448769,"[7.0084375488, 36.5158406193, 31.729138602, 36.4351767039, 34.984250491, 25.2810237638, 20.0913691759, 27.9038584558, 24.4233510459, 27.6660892318, 40.2778372337, 28.7022630705, 27.7787902002, 19.4080244023, 25.7899141669, 23.0666682943, 27.7486441813, 21.8241625125, 34.0976038858, 24.5790389039]",0.09523809523809523,0.8647003745318352
BTC/USDT:USDT,15m,price_adv,oos,1600128000000,1784678400000,119,42,-0.036109784048308335,7.424436841873582,1.81803483158704,3.0376726544126624,"[9.3666722775, -0.595893838, 4.3052494736, 9.4182446185, 1.0947981285, 2.1399317138, 9.5243214315, 4.5351693854, -1.036046775, -2.928180624, -0.1564441046, 5.1126690036, 6.8363913577, 1.7216290692, -1.4349065674, 5.4172388102, 2.4280464109, 4.7963924586, 4.0473834353, -3.839212577]",0.6190476190476191,0.8647003745318352
