symbol,timeframe,segment,arm,fill,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold
SOL/USDT:USDT,1h,is,short_only,baseline,0.3097737303672371,206,0,206,427,0.025687218008621,-0.1681589104700127,0.2342458619020515,0.0,200,0,4.691092883155781
SOL/USDT:USDT,1h,is,both,baseline,0.3021997795287652,350,168,182,845,0.0340699651241063,-0.2354339443728497,0.3286177397952995,0.035,200,0,4.691092883155781
SOL/USDT:USDT,1h,oos,long_only,baseline,-0.0840189793175503,71,71,0,207,-0.0287785315629978,-0.1377436112657978,0.0915211486762486,0.835,200,0,-0.5352087439526967
SOL/USDT:USDT,1h,oos,short_only,baseline,0.0088325344404749,85,0,85,210,-0.022152745789923,-0.1276479579856217,0.0933706657672928,0.325,200,0,-0.5352087439526967
SOL/USDT:USDT,1h,oos,both,baseline,-0.0309893242542708,148,67,81,417,-0.0143995416493589,-0.1744838191361328,0.1599072083184006,0.525,200,0,-0.5352087439526967
BNB/USDT:USDT,1h,is,long_only,baseline,0.1532373322022391,137,137,0,407,0.0460428066098647,-0.1023342781059218,0.2159643506593642,0.09,200,0,1.7387059279349089
BNB/USDT:USDT,1h,is,short_only,baseline,0.1540395365142925,155,0,155,364,-0.0351465310110182,-0.1809128183471181,0.0855473429848998,0.0,200,0,1.7387059279349089
BNB/USDT:USDT,1h,is,both,baseline,0.3992189446144515,270,128,142,771,0.0063829280196703,-0.196106366867102,0.221897183755639,0.0,200,0,1.7387059279349089
BNB/USDT:USDT,1h,oos,long_only,baseline,-0.0602078416024012,88,88,0,195,-0.0816528514705095,-0.1680808568363449,0.0192340944381267,0.325,200,0,-0.1740271531728354
BNB/USDT:USDT,1h,oos,short_only,baseline,-0.0514865664105669,73,0,73,187,-0.0479314857135136,-0.1470348848754878,0.0603075917224476,0.535,200,0,-0.1740271531728354
BNB/USDT:USDT,1h,oos,both,baseline,-0.0818360046618545,154,84,70,382,-0.1205391925172303,-0.2451657190146624,-9.096047764105606e-05,0.29,200,0,-0.1740271531728354
XRP/USDT:USDT,1h,is,long_only,baseline,0.448181484701583,181,181,0,415,0.1503156077595274,-0.0453624857371442,0.3274121499765264,0.0,200,0,2.7753382690834822
XRP/USDT:USDT,1h,is,short_only,baseline,0.4511585112637336,173,0,173,383,0.2090263840085122,0.002327965299696,0.4228358001304637,0.015,200,0,2.7753382690834822
XRP/USDT:USDT,1h,is,both,baseline,1.1256264891867254,316,155,161,798,0.3615451289648676,0.0623014125084777,0.6742909840796522,0.0,200,0,2.7753382690834822
XRP/USDT:USDT,1h,oos,long_only,baseline,-0.071159850939448,71,71,0,184,-0.0146638916686135,-0.1147031837851644,0.0858161162249809,0.86,200,0,-0.6271351387630457
XRP/USDT:USDT,1h,oos,short_only,baseline,0.018882061770314,81,0,81,192,-0.0165685533826272,-0.1241644654145306,0.0873752694515411,0.23,200,0,-0.6271351387630457
XRP/USDT:USDT,1h,oos,both,baseline,-0.0569113328628403,135,62,73,376,-0.0135682543483889,-0.150522870002212,0.1203461203411525,0.705,200,0,-0.6271351387630457
TRX/USDT:USDT,1h,is,long_only,baseline,0.0602147879588352,132,132,0,341,0.0355609150835077,-0.0792971907618586,0.1443657322705658,0.37,200,0,2.7044954800879553
TRX/USDT:USDT,1h,is,short_only,baseline,-0.1705065600414362,113,0,113,291,-0.1455410657165422,-0.2299936557392719,-0.0506548689045903,0.68,200,0,2.7044954800879553
TRX/USDT:USDT,1h,is,both,baseline,-0.0752287240317697,236,130,106,632,-0.0612485268209913,-0.1988369145692668,0.0816694566514655,0.59,200,0,2.7044954800879553
