symbol,timeframe,segment,arm,arm_label,lens,no_same_step_tp,combine_obs,max_zone_width_atr,real_total_return,real_num_trades,real_long,real_short,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,zones,buy_hold
LTC/USDT:USDT,1h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.5482285517127639,242,242,0,481,0.4343141518130704,0.1224637250950318,0.7899491937389841,0.235,200,0,1438,-0.0450652528548124
LTC/USDT:USDT,1h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.1098836452707653,84,84,0,173,0.1428669290843222,0.00775668367056,0.2786827998582388,0.645,200,0,1438,-0.2298963986186483
LTC/USDT:USDT,1h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.4037067607486839,227,227,0,470,0.3525075539138729,0.0678310807579462,0.6636688027083579,0.34,200,0,1438,-0.0450652528548124
LTC/USDT:USDT,1h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.080339363770077,80,80,0,170,0.1315583886880898,0.001588508574453,0.280493568153343,0.75,200,0,1438,-0.2298963986186483
ADA/USDT:USDT,1h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.8188989296761887,289,289,0,561,0.3755712447210511,0.1099458981898171,0.7065164279486725,0.01,200,0,1428,0.7871113856289891
ADA/USDT:USDT,1h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.200549647251158,103,103,0,216,0.0287675648796866,-0.1230688102219524,0.1781739292678889,0.01,200,0,1428,-0.5056947608200455
ADA/USDT:USDT,1h,full,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.5654614477789562,268,268,0,547,0.3286169565165013,0.0635290405315483,0.6737053183689695,0.06,200,0,1428,0.7871113856289891
ADA/USDT:USDT,1h,oos_warm,D,가장 보수적 — 체결 보수화 + 같은 분 익절 금지,pen_5bp,True,False,1.28,0.1159824079831627,94,94,0,212,0.0351635460072088,-0.1043862814384168,0.1777317074116126,0.135,200,0,1428,-0.5056947608200455
DOT/USDT:USDT,1h,full,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,1.0996030241085588,243,243,0,463,0.412113976878378,0.1382710331641234,0.7151729189635058,0.0,200,0,1425,-0.8425516087037381
DOT/USDT:USDT,1h,oos_warm,A,채택 엔진(현행) = 기준선,baseline,False,False,1.28,0.127792051094406,93,93,0,169,0.1342058660849257,-0.0070075864421931,0.2778984020758502,0.525,200,0,1425,-0.8261601642710472
