timeframe,segment,feature,axis,excluded_symbol,n,correlation
15m,is,band_lower_slope_5_pct,death_vs_rest,XRP/USDT:USDT,4667,0.05063873521313982
15m,is,band_lower_slope_5_pct,death_vs_rest,TRX/USDT:USDT,4830,0.04381523717180917
15m,is,band_lower_slope_5_pct,death_vs_rest,DOGE/USDT:USDT,4683,0.052722598653469246
15m,is,band_lower_slope_5_pct,death_vs_rest,LINK/USDT:USDT,4615,0.04934097080307594
15m,is,band_lower_slope_5_pct,death_vs_rest,LTC/USDT:USDT,4662,0.048072686186594174
15m,oos,band_lower_slope_5_pct,death_vs_rest,BTC/USDT:USDT,2393,0.08785993706592139
15m,oos,band_lower_slope_5_pct,death_vs_rest,ETH/USDT:USDT,2264,0.08596468223094768
15m,oos,band_lower_slope_5_pct,death_vs_rest,SOL/USDT:USDT,2163,0.08448506777283006
15m,oos,band_lower_slope_5_pct,death_vs_rest,BNB/USDT:USDT,2380,0.08762587399278039
15m,oos,band_lower_slope_5_pct,death_vs_rest,XRP/USDT:USDT,2247,0.10659408911380398
15m,oos,band_lower_slope_5_pct,death_vs_rest,TRX/USDT:USDT,2488,0.08814043927413925
15m,oos,band_lower_slope_5_pct,death_vs_rest,DOGE/USDT:USDT,2181,0.0888736359720529
15m,oos,band_lower_slope_5_pct,death_vs_rest,LINK/USDT:USDT,2195,0.09285611586689102
15m,oos,band_lower_slope_5_pct,death_vs_rest,LTC/USDT:USDT,2225,0.08463717702961478
1h,is,band_lower_slope_3_atr,death_vs_rest,BTC/USDT:USDT,1279,0.058017272850920905
1h,is,band_lower_slope_3_atr,death_vs_rest,ETH/USDT:USDT,1289,0.043771761369428695
1h,is,band_lower_slope_3_atr,death_vs_rest,SOL/USDT:USDT,1261,0.05795057971318609
1h,is,band_lower_slope_3_atr,death_vs_rest,BNB/USDT:USDT,1306,0.08284423258806481
1h,is,band_lower_slope_3_atr,death_vs_rest,XRP/USDT:USDT,1294,0.05405483918447169
1h,is,band_lower_slope_3_atr,death_vs_rest,TRX/USDT:USDT,1286,0.05862440428692474
1h,is,band_lower_slope_3_atr,death_vs_rest,DOGE/USDT:USDT,1305,0.053531426151045024
1h,is,band_lower_slope_3_atr,death_vs_rest,LINK/USDT:USDT,1274,0.05607759573145588
1h,is,band_lower_slope_3_atr,death_vs_rest,LTC/USDT:USDT,1290,0.07452876726059438
1h,oos,band_lower_slope_3_atr,death_vs_rest,BTC/USDT:USDT,684,0.0584369146885081
1h,oos,band_lower_slope_3_atr,death_vs_rest,ETH/USDT:USDT,678,0.054089672570192086
1h,oos,band_lower_slope_3_atr,death_vs_rest,SOL/USDT:USDT,676,0.03859182715476977
1h,oos,band_lower_slope_3_atr,death_vs_rest,BNB/USDT:USDT,691,0.02678955847297037
1h,oos,band_lower_slope_3_atr,death_vs_rest,XRP/USDT:USDT,677,0.05253559076808802
1h,oos,band_lower_slope_3_atr,death_vs_rest,TRX/USDT:USDT,704,0.04405122733772686
1h,oos,band_lower_slope_3_atr,death_vs_rest,DOGE/USDT:USDT,680,0.06102902787094253
1h,oos,band_lower_slope_3_atr,death_vs_rest,LINK/USDT:USDT,677,0.05212957503759321
1h,oos,band_lower_slope_3_atr,death_vs_rest,LTC/USDT:USDT,685,0.08591446141063215
1h,is,band_lower_slope_3_pct,death_vs_rest,BTC/USDT:USDT,1279,0.04872284146311144
1h,is,band_lower_slope_3_pct,death_vs_rest,ETH/USDT:USDT,1289,0.039968806289020324
1h,is,band_lower_slope_3_pct,death_vs_rest,SOL/USDT:USDT,1261,0.05274746376454419
1h,is,band_lower_slope_3_pct,death_vs_rest,BNB/USDT:USDT,1306,0.06304724256249726
1h,is,band_lower_slope_3_pct,death_vs_rest,XRP/USDT:USDT,1294,0.04556173878354974
1h,is,band_lower_slope_3_pct,death_vs_rest,TRX/USDT:USDT,1286,0.048030708006760556
1h,is,band_lower_slope_3_pct,death_vs_rest,DOGE/USDT:USDT,1305,0.04359794374563447
1h,is,band_lower_slope_3_pct,death_vs_rest,LINK/USDT:USDT,1274,0.055040034370927804
1h,is,band_lower_slope_3_pct,death_vs_rest,LTC/USDT:USDT,1290,0.06380503703433055
1h,oos,band_lower_slope_3_pct,death_vs_rest,BTC/USDT:USDT,684,0.06072540206744618
1h,oos,band_lower_slope_3_pct,death_vs_rest,ETH/USDT:USDT,678,0.05649079783926034
1h,oos,band_lower_slope_3_pct,death_vs_rest,SOL/USDT:USDT,676,0.04087149199449171
1h,oos,band_lower_slope_3_pct,death_vs_rest,BNB/USDT:USDT,691,0.03651922157625841
1h,oos,band_lower_slope_3_pct,death_vs_rest,XRP/USDT:USDT,677,0.06677257188435552
1h,oos,band_lower_slope_3_pct,death_vs_rest,TRX/USDT:USDT,704,0.04376210818952004
1h,oos,band_lower_slope_3_pct,death_vs_rest,DOGE/USDT:USDT,680,0.053880063358399885
1h,oos,band_lower_slope_3_pct,death_vs_rest,LINK/USDT:USDT,677,0.05575329535456855
1h,oos,band_lower_slope_3_pct,death_vs_rest,LTC/USDT:USDT,685,0.0958268562103047
1h,is,band_lower_slope_5_atr,death_vs_rest,BTC/USDT:USDT,1279,0.04986351608654704
1h,is,band_lower_slope_5_atr,death_vs_rest,ETH/USDT:USDT,1289,0.04530416042496651
1h,is,band_lower_slope_5_atr,death_vs_rest,SOL/USDT:USDT,1261,0.05569467876587096
1h,is,band_lower_slope_5_atr,death_vs_rest,BNB/USDT:USDT,1306,0.07927952652064883
1h,is,band_lower_slope_5_atr,death_vs_rest,XRP/USDT:USDT,1294,0.0519883145679297
1h,is,band_lower_slope_5_atr,death_vs_rest,TRX/USDT:USDT,1286,0.058094178669006555
1h,is,band_lower_slope_5_atr,death_vs_rest,DOGE/USDT:USDT,1305,0.054115669216397676
1h,is,band_lower_slope_5_atr,death_vs_rest,LINK/USDT:USDT,1274,0.05372889277105894
1h,is,band_lower_slope_5_atr,death_vs_rest,LTC/USDT:USDT,1290,0.06814746530110577
1h,oos,band_lower_slope_5_atr,death_vs_rest,BTC/USDT:USDT,684,0.062226936926392945
1h,oos,band_lower_slope_5_atr,death_vs_rest,ETH/USDT:USDT,678,0.06196433856185327
1h,oos,band_lower_slope_5_atr,death_vs_rest,SOL/USDT:USDT,676,0.04820293203254327
1h,oos,band_lower_slope_5_atr,death_vs_rest,BNB/USDT:USDT,691,0.03567240698731237
1h,oos,band_lower_slope_5_atr,death_vs_rest,XRP/USDT:USDT,677,0.06157802499098941
1h,oos,band_lower_slope_5_atr,death_vs_rest,TRX/USDT:USDT,704,0.0485162901893531
1h,oos,band_lower_slope_5_atr,death_vs_rest,DOGE/USDT:USDT,680,0.06670279711650946
1h,oos,band_lower_slope_5_atr,death_vs_rest,LINK/USDT:USDT,677,0.055955035254775465
1h,oos,band_lower_slope_5_atr,death_vs_rest,LTC/USDT:USDT,685,0.1032713026216728
1h,is,band_lower_slope_5_pct,death_vs_rest,BTC/USDT:USDT,1279,0.042710441649007246
1h,is,band_lower_slope_5_pct,death_vs_rest,ETH/USDT:USDT,1289,0.03877915367968985
1h,is,band_lower_slope_5_pct,death_vs_rest,SOL/USDT:USDT,1261,0.04839654207947888
1h,is,band_lower_slope_5_pct,death_vs_rest,BNB/USDT:USDT,1306,0.06003898574762104
1h,is,band_lower_slope_5_pct,death_vs_rest,XRP/USDT:USDT,1294,0.041894792294807255
1h,is,band_lower_slope_5_pct,death_vs_rest,TRX/USDT:USDT,1286,0.04546013088631319
1h,is,band_lower_slope_5_pct,death_vs_rest,DOGE/USDT:USDT,1305,0.043490074283203804
1h,is,band_lower_slope_5_pct,death_vs_rest,LINK/USDT:USDT,1274,0.05411505069088506
1h,is,band_lower_slope_5_pct,death_vs_rest,LTC/USDT:USDT,1290,0.05649386451028926
1h,oos,band_lower_slope_5_pct,death_vs_rest,BTC/USDT:USDT,684,0.053667030820081126
1h,oos,band_lower_slope_5_pct,death_vs_rest,ETH/USDT:USDT,678,0.05049786925159145
1h,oos,band_lower_slope_5_pct,death_vs_rest,SOL/USDT:USDT,676,0.03805211608803188
1h,oos,band_lower_slope_5_pct,death_vs_rest,BNB/USDT:USDT,691,0.03171287742442408
1h,oos,band_lower_slope_5_pct,death_vs_rest,XRP/USDT:USDT,677,0.06140259815322099
1h,oos,band_lower_slope_5_pct,death_vs_rest,TRX/USDT:USDT,704,0.03902535381031749
1h,oos,band_lower_slope_5_pct,death_vs_rest,DOGE/USDT:USDT,680,0.04779722102315627
1h,oos,band_lower_slope_5_pct,death_vs_rest,LINK/USDT:USDT,677,0.04658820836603985
1h,oos,band_lower_slope_5_pct,death_vs_rest,LTC/USDT:USDT,685,0.0997906539421993
