scope,arm,month,monthly_return,equity_end,num_exits,btc_buy_hold
1h,long_short,2024-12,0.20884152350820395,25046.999546662206,81,-0.03820692108474688
1h,long_short,2025-01,0.0005318567323846501,25060.32096199713,59,0.08245639447287978
1h,long_short,2025-02,0.24024834625187874,31081.021629658233,75,-0.16206179500534768
1h,long_short,2025-03,0.08496246778285355,33721.741928526244,75,-0.0405800875968082
1h,long_short,2025-04,0.3610315108367883,45896.35336503034,83,0.10578130635366878
1h,long_short,2025-05,0.06520519806321867,48889.03417657662,76,0.08422653030958283
1h,long_short,2025-06,0.08631783366562051,53109.0296967032,67,0.014245624071230978
1h,long_short,2025-07,0.14855651966889716,60998.72231143753,75,0.09522529319496131
1h,long_short,2025-08,0.0324393729688075,62977.48261511898,65,-0.044473565232134304
1h,long_short,2025-09,0.18412957296800525,74573.49959564081,66,0.043969157754659705
1h,long_short,2025-10,0.04031748505745658,77580.1155512703,61,-0.07587446563713596
1h,long_short,2025-11,0.07775801454853348,83612.59130498288,45,-0.17925581023415404
1h,long_short,2025-12,0.02794118307147997,85948.82602571625,39,0.01584618096139212
1h,long_short,2026-01,0.004611210617984751,86345.15416488935,60,-0.11366216216216218
1h,long_short,2026-02,-0.03924776254161577,82956.30005760657,57,-0.12991297452928896
1h,long_short,2026-03,0.22908583745338373,101960.41352833755,66,0.03789353612167301
1h,long_short,2026-04,0.044921433860047655,106540.62150099388,55,0.1207126229134996
1h,long_short,2026-05,0.10103283618357994,117304.72266000058,58,-0.05804685901370987
1h,long_short,2026-06,0.2725328382919212,149274.11167157718,66,-0.17909835204471114
1h,long_short,2026-07,0.07121863738302081,159905.2105013878,53,0.10350569003793342
2h,long_only,2024-08,-0.011346007553274862,9886.539924467252,8,-0.09776683825994315
2h,long_only,2024-09,0.03226629192579189,10205.54190780611,9,0.10548630040109597
2h,long_only,2024-10,0.11280762182894422,11356.804819901343,26,0.15705170393966106
2h,long_only,2024-11,0.013327582611146749,11508.163574337248,8,0.388220820053097
2h,long_only,2024-12,0.08536277875365128,12490.532395394228,13,-0.03820692108474688
2h,long_only,2025-01,-0.012256382310196878,12337.443655098377,14,0.08245639447287978
2h,long_only,2025-02,-0.015420040238326438,12147.199777498676,22,-0.16206179500534768
