arm,guard,multiple,segment,adopted_point,num_cells,num_symbols,num_trades,win_rate,mean_net_r,mean_gross_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,clamp_rate,mean_effective_risk,liquidation_events,guard_cut,guard_kept,symbols_below_gate,min_symbol_trades,lens,net_r_stderr,gross_r,cost_r,breakeven_win_rate,breakeven_win_rate_zero_cost,win_rate_margin,same_step_tp_trades,same_step_tp_trade_share,same_step_tp_net_r_share,exclude
기준,0.003,1.5,full,False,44,11,45675,0.4044006568144499,-0.09852720886830595,-0.028443963499611435,-26.827943584818147,20.06140848084553,-1.3372911284087183,21,382.1138418403372,382.1138418403372,0.607991242474001,0.09659302798197009,41194,16557,95695,0,3080,baseline,0.005960541380711726,0.01096858667506229,0.1094957955433691,0.4437983182173476,0.4,-0.03939766140289769,3891,0.0851888341543514,,-DOT
기준,0.003,1.5,oos_warm,False,44,11,13755,0.400945110868775,-0.11967707743824867,-0.04202192624399377,-9.988390475727707,8.740381870978773,-1.1427865078633204,16,81.14821599255887,81.14821599255887,0.6949472918938567,0.05627907464857279,11079,16557,95695,0,686,baseline,0.010888220764697221,0.0022530131867299166,0.12193009062497866,0.4487720362499915,0.4,-0.04782692538121652,910,0.06615776081424936,,-DOT
기준,0.003,1.5,full,False,44,11,46217,0.4046130211826817,-0.0961759175112619,-0.027260415475098193,-26.893293288051105,21.900930460292482,-1.2279520880087735,24,315.032227879577,315.032227879577,0.5988056342904127,0.11753345414390713,41259,16244,96209,0,3119,baseline,0.005921961866492076,0.011499885245331153,0.10767580275659393,0.44307032110263755,0.4,-0.038457299919955834,3876,0.0838652443905922,,-ETH
기준,0.003,1.5,oos_warm,False,44,11,13717,0.3979004155427572,-0.12588222697943022,-0.04922370816638612,-10.835460309981794,10.191858579363618,-1.063148612748742,17,117.40040990501547,117.40040990501547,0.6889990522709047,0.053851462822326106,11207,16244,96209,0,698,baseline,0.010881061696826691,-0.005359029205841575,0.1205231977735886,0.4482092791094354,0.4,-0.05030886356667824,881,0.06422687176496318,,-ETH
기준,0.003,1.5,full,False,44,11,45847,0.4040613344384584,-0.09929478363611195,-0.029336418530824155,-26.916957583185507,19.395145776025508,-1.3878192973655177,24,3268.931257534906,3268.931257534906,0.6100944445656205,0.20700164274082564,41649,16637,95965,0,3082,baseline,0.0059485457647100205,0.01012040474586059,0.10941518838197299,0.44376607535278917,0.4,-0.039704740914330794,3937,0.08587257617728532,,-LINK
기준,0.003,1.5,oos_warm,False,44,11,13826,0.4017069289743961,-0.11734822086606284,-0.039984203904019085,-9.865725388488837,8.82884346447075,-1.1174425538509922,16,154.3637470941669,154.3637470941669,0.6963691595544627,0.04523796265884856,11298,16637,95965,0,686,baseline,0.010862425325968173,0.0041581221165535994,0.12150634298261644,0.44860253719304655,0.4,-0.046895608218650464,938,0.06784319398235208,,-LINK
기준,0.003,1.5,full,False,44,11,45875,0.40479564032697546,-0.09667040132165511,-0.027157230215917923,-26.64021032145935,20.146525143919206,-1.3223228388593913,22,107.61369091678797,107.61369091678797,0.6061471389645776,0.10015438748943735,41326,16383,95854,0,3090,baseline,0.005946476206496114,0.01195618956694212,0.10862659088859834,0.44345063635543935,0.4,-0.038654996028463895,3882,0.08462125340599455,,-LTC
기준,0.003,1.5,oos_warm,False,44,11,13776,0.4011324041811847,-0.11846572701324096,-0.0413085133093951,-9.978337789623357,8.923027411181703,-1.1182681986518628,17,111.09731538029575,111.09731538029575,0.6955574912891986,0.061088708136875884,11058,16383,95854,0,689,baseline,0.010877621638397492,0.002721413790902279,0.12118714080414332,0.44847485632165734,0.4,-0.04734245214047267,920,0.06678281068524972,,-LTC
기준,0.003,1.5,full,False,44,11,45906,0.4020607328018124,-0.10474003800547953,-0.03443942651779167,-28.86611924858184,15.705978942827036,-1.8379064019925402,23,1049.8624719418183,1049.8624719418183,0.6121204199886725,0.10007144012235851,39345,16748,96023,0,3073,baseline,0.005939669483470197,0.005171954080361379,0.10991199208584192,0.4439647968343368,0.4,-0.04190406403252439,3903,0.08502156580839106,,-SOL
기준,0.003,1.5,oos_warm,False,44,11,13666,0.3982145470510757,-0.12573728467948272,-0.0485062063238062,-10.722438205432175,9.633969262614881,-1.1129823973013027,16,219.58008811418853,219.58008811418853,0.6943509439484853,0.10107496418546633,11377,16748,96023,0,684,baseline,0.010906033599452563,-0.004396039513166237,0.12134124516631642,0.4485364980665266,0.4,-0.05032195101545095,879,0.06432021074198742,,-SOL
