timeframe,segment,feature,axis,excluded_symbol,n,correlation
15m,is,tap_rsi,death_vs_winner,BNB/USDT:USDT,3203,0.08715584412702858
15m,is,tap_rsi,death_vs_winner,XRP/USDT:USDT,3145,0.09399022233424234
15m,is,tap_rsi,death_vs_winner,TRX/USDT:USDT,3287,0.08906847351121824
15m,is,tap_rsi,death_vs_winner,DOGE/USDT:USDT,3163,0.09154716579782264
15m,is,tap_rsi,death_vs_winner,LINK/USDT:USDT,3124,0.09780473180824144
15m,is,tap_rsi,death_vs_winner,LTC/USDT:USDT,3175,0.08694626313701734
15m,oos,tap_rsi,death_vs_winner,BTC/USDT:USDT,1660,0.13370337932169787
15m,oos,tap_rsi,death_vs_winner,ETH/USDT:USDT,1577,0.12513975002300337
15m,oos,tap_rsi,death_vs_winner,SOL/USDT:USDT,1490,0.13757150138533708
15m,oos,tap_rsi,death_vs_winner,BNB/USDT:USDT,1652,0.13370588711535464
15m,oos,tap_rsi,death_vs_winner,XRP/USDT:USDT,1538,0.15214050311401858
15m,oos,tap_rsi,death_vs_winner,TRX/USDT:USDT,1720,0.13413387892735318
15m,oos,tap_rsi,death_vs_winner,DOGE/USDT:USDT,1515,0.13895516287482357
15m,oos,tap_rsi,death_vs_winner,LINK/USDT:USDT,1529,0.15000886636186972
15m,oos,tap_rsi,death_vs_winner,LTC/USDT:USDT,1551,0.13241244564391874
15m,is,trend_dev,death_vs_winner,BTC/USDT:USDT,3245,0.048734741970810694
15m,is,trend_dev,death_vs_winner,ETH/USDT:USDT,3252,0.044744288263147976
15m,is,trend_dev,death_vs_winner,SOL/USDT:USDT,3070,0.05485524206009469
15m,is,trend_dev,death_vs_winner,BNB/USDT:USDT,3203,0.04757610103115512
15m,is,trend_dev,death_vs_winner,XRP/USDT:USDT,3145,0.04569277288042867
15m,is,trend_dev,death_vs_winner,TRX/USDT:USDT,3287,0.042665014215533884
15m,is,trend_dev,death_vs_winner,DOGE/USDT:USDT,3163,0.0578028943082555
15m,is,trend_dev,death_vs_winner,LINK/USDT:USDT,3124,0.05332080170281571
15m,is,trend_dev,death_vs_winner,LTC/USDT:USDT,3175,0.04560214866270274
15m,oos,trend_dev,death_vs_winner,BTC/USDT:USDT,1660,0.07411887383981518
15m,oos,trend_dev,death_vs_winner,ETH/USDT:USDT,1577,0.06998288056247966
15m,oos,trend_dev,death_vs_winner,SOL/USDT:USDT,1490,0.0705729344804939
15m,oos,trend_dev,death_vs_winner,BNB/USDT:USDT,1652,0.06480571042561775
15m,oos,trend_dev,death_vs_winner,XRP/USDT:USDT,1538,0.09576669786225314
15m,oos,trend_dev,death_vs_winner,TRX/USDT:USDT,1720,0.07144282638383344
15m,oos,trend_dev,death_vs_winner,DOGE/USDT:USDT,1515,0.08125153180664202
15m,oos,trend_dev,death_vs_winner,LINK/USDT:USDT,1529,0.07761683319062541
15m,oos,trend_dev,death_vs_winner,LTC/USDT:USDT,1551,0.07507809941945688
15m,is,volume_pctl,death_vs_winner,BTC/USDT:USDT,3245,-0.059684904619102266
15m,is,volume_pctl,death_vs_winner,ETH/USDT:USDT,3252,-0.06034030305666532
15m,is,volume_pctl,death_vs_winner,SOL/USDT:USDT,3070,-0.04009839348906987
15m,is,volume_pctl,death_vs_winner,BNB/USDT:USDT,3203,-0.05816024743552607
15m,is,volume_pctl,death_vs_winner,XRP/USDT:USDT,3145,-0.05673195335166274
15m,is,volume_pctl,death_vs_winner,TRX/USDT:USDT,3287,-0.0591166423065436
15m,is,volume_pctl,death_vs_winner,DOGE/USDT:USDT,3163,-0.06588111455417403
15m,is,volume_pctl,death_vs_winner,LINK/USDT:USDT,3124,-0.06302028962960939
15m,is,volume_pctl,death_vs_winner,LTC/USDT:USDT,3175,-0.06013110467645233
15m,oos,volume_pctl,death_vs_winner,BTC/USDT:USDT,1660,-0.06990529496189084
15m,oos,volume_pctl,death_vs_winner,ETH/USDT:USDT,1577,-0.0806819419839506
15m,oos,volume_pctl,death_vs_winner,SOL/USDT:USDT,1490,-0.05967947736208996
15m,oos,volume_pctl,death_vs_winner,BNB/USDT:USDT,1652,-0.0738825655771515
15m,oos,volume_pctl,death_vs_winner,XRP/USDT:USDT,1538,-0.07599036396158702
15m,oos,volume_pctl,death_vs_winner,TRX/USDT:USDT,1720,-0.05777625807775395
15m,oos,volume_pctl,death_vs_winner,DOGE/USDT:USDT,1515,-0.06661280922787523
15m,oos,volume_pctl,death_vs_winner,LINK/USDT:USDT,1529,-0.07537246525280374
15m,oos,volume_pctl,death_vs_winner,LTC/USDT:USDT,1551,-0.08460244258393348
15m,is,zone_width_atr,death_vs_winner,BTC/USDT:USDT,3245,0.17921418738442868
15m,is,zone_width_atr,death_vs_winner,ETH/USDT:USDT,3252,0.18687225063580398
15m,is,zone_width_atr,death_vs_winner,SOL/USDT:USDT,3070,0.17446396762852484
15m,is,zone_width_atr,death_vs_winner,BNB/USDT:USDT,3203,0.18331248907048353
15m,is,zone_width_atr,death_vs_winner,XRP/USDT:USDT,3145,0.1723304801770095
15m,is,zone_width_atr,death_vs_winner,TRX/USDT:USDT,3287,0.17895224342158114
15m,is,zone_width_atr,death_vs_winner,DOGE/USDT:USDT,3163,0.17655597618194485
15m,is,zone_width_atr,death_vs_winner,LINK/USDT:USDT,3124,0.1736332351406274
15m,is,zone_width_atr,death_vs_winner,LTC/USDT:USDT,3175,0.18282803148955265
15m,oos,zone_width_atr,death_vs_winner,BTC/USDT:USDT,1660,0.21449566533514824
15m,oos,zone_width_atr,death_vs_winner,ETH/USDT:USDT,1577,0.20909341902315823
15m,oos,zone_width_atr,death_vs_winner,SOL/USDT:USDT,1490,0.2067190229700909
15m,oos,zone_width_atr,death_vs_winner,BNB/USDT:USDT,1652,0.2044024930114863
15m,oos,zone_width_atr,death_vs_winner,XRP/USDT:USDT,1538,0.2103165300318866
15m,oos,zone_width_atr,death_vs_winner,TRX/USDT:USDT,1720,0.2033709914669058
15m,oos,zone_width_atr,death_vs_winner,DOGE/USDT:USDT,1515,0.21111266421815425
15m,oos,zone_width_atr,death_vs_winner,LINK/USDT:USDT,1529,0.20032269459801863
15m,oos,zone_width_atr,death_vs_winner,LTC/USDT:USDT,1551,0.21356486967475685
1h,is,zone_width_atr,death_vs_rest,BTC/USDT:USDT,1279,0.14981934087785537
1h,is,zone_width_atr,death_vs_rest,ETH/USDT:USDT,1289,0.15246115539011998
1h,is,zone_width_atr,death_vs_rest,SOL/USDT:USDT,1261,0.14804537092577008
1h,is,zone_width_atr,death_vs_rest,BNB/USDT:USDT,1306,0.1568191651137712
1h,is,zone_width_atr,death_vs_rest,XRP/USDT:USDT,1294,0.1626134409529741
1h,is,zone_width_atr,death_vs_rest,TRX/USDT:USDT,1286,0.1557975348169829
1h,is,zone_width_atr,death_vs_rest,DOGE/USDT:USDT,1305,0.15827294589478158
1h,is,zone_width_atr,death_vs_rest,LINK/USDT:USDT,1274,0.13609707698684265
1h,is,zone_width_atr,death_vs_rest,LTC/USDT:USDT,1290,0.15737218180621287
1h,oos,zone_width_atr,death_vs_rest,BTC/USDT:USDT,684,0.15764496997725858
1h,oos,zone_width_atr,death_vs_rest,ETH/USDT:USDT,678,0.19235589877995346
1h,oos,zone_width_atr,death_vs_rest,SOL/USDT:USDT,676,0.17330588803373573
1h,oos,zone_width_atr,death_vs_rest,BNB/USDT:USDT,691,0.16780409987100264
1h,oos,zone_width_atr,death_vs_rest,XRP/USDT:USDT,677,0.1715920095325532
1h,oos,zone_width_atr,death_vs_rest,TRX/USDT:USDT,704,0.17398470234283533
1h,oos,zone_width_atr,death_vs_rest,DOGE/USDT:USDT,680,0.15569986231762503
1h,oos,zone_width_atr,death_vs_rest,LINK/USDT:USDT,677,0.1715578991557473
1h,oos,zone_width_atr,death_vs_rest,LTC/USDT:USDT,685,0.17010065715962472
1h,is,freshness_bars,death_vs_winner,BTC/USDT:USDT,919,-0.016637200513014427
1h,is,freshness_bars,death_vs_winner,ETH/USDT:USDT,936,-0.020297990636063714
1h,is,freshness_bars,death_vs_winner,SOL/USDT:USDT,916,-0.02831435271160693
1h,is,freshness_bars,death_vs_winner,BNB/USDT:USDT,937,-0.03722712500830669
1h,is,freshness_bars,death_vs_winner,XRP/USDT:USDT,930,-0.03276815910644967
1h,is,freshness_bars,death_vs_winner,TRX/USDT:USDT,918,-0.032237502257920686
1h,is,freshness_bars,death_vs_winner,DOGE/USDT:USDT,941,-0.02512263205881685
1h,is,freshness_bars,death_vs_winner,LINK/USDT:USDT,917,-0.030157471875915595
1h,is,freshness_bars,death_vs_winner,LTC/USDT:USDT,938,-0.06659684507799367
1h,oos,freshness_bars,death_vs_winner,BTC/USDT:USDT,478,-0.08423864524859634
1h,oos,freshness_bars,death_vs_winner,ETH/USDT:USDT,461,-0.1075363651468614
1h,oos,freshness_bars,death_vs_winner,SOL/USDT:USDT,463,-0.1271782861093428
1h,oos,freshness_bars,death_vs_winner,BNB/USDT:USDT,478,-0.08527969873242475
1h,oos,freshness_bars,death_vs_winner,XRP/USDT:USDT,463,-0.09375558297926648
1h,oos,freshness_bars,death_vs_winner,TRX/USDT:USDT,480,-0.09752859993013084
1h,oos,freshness_bars,death_vs_winner,DOGE/USDT:USDT,472,-0.10187430345483174
1h,oos,freshness_bars,death_vs_winner,LINK/USDT:USDT,470,-0.09028963480916302
1h,oos,freshness_bars,death_vs_winner,LTC/USDT:USDT,475,-0.10521510067303909
1h,is,tap_rsi,death_vs_winner,BTC/USDT:USDT,919,0.04913524980307896
1h,is,tap_rsi,death_vs_winner,ETH/USDT:USDT,936,0.03684194087809087
1h,is,tap_rsi,death_vs_winner,SOL/USDT:USDT,916,0.046302500399370214
1h,is,tap_rsi,death_vs_winner,BNB/USDT:USDT,937,0.07277569911074902
1h,is,tap_rsi,death_vs_winner,XRP/USDT:USDT,930,0.05683757902008746
1h,is,tap_rsi,death_vs_winner,TRX/USDT:USDT,918,0.06480847814789494
1h,is,tap_rsi,death_vs_winner,DOGE/USDT:USDT,941,0.04489307804120252
1h,is,tap_rsi,death_vs_winner,LINK/USDT:USDT,917,0.05883191142757404
1h,is,tap_rsi,death_vs_winner,LTC/USDT:USDT,938,0.06051104224648016
1h,oos,tap_rsi,death_vs_winner,BTC/USDT:USDT,478,0.11274591209460921
1h,oos,tap_rsi,death_vs_winner,ETH/USDT:USDT,461,0.11562459357197348
1h,oos,tap_rsi,death_vs_winner,SOL/USDT:USDT,463,0.10783930083391541
1h,oos,tap_rsi,death_vs_winner,BNB/USDT:USDT,478,0.07887906315153725
1h,oos,tap_rsi,death_vs_winner,XRP/USDT:USDT,463,0.1265633572891211
1h,oos,tap_rsi,death_vs_winner,TRX/USDT:USDT,480,0.11202419659840974
1h,oos,tap_rsi,death_vs_winner,DOGE/USDT:USDT,472,0.12244031856962678
1h,oos,tap_rsi,death_vs_winner,LINK/USDT:USDT,470,0.119793407032898
1h,oos,tap_rsi,death_vs_winner,LTC/USDT:USDT,475,0.14097159823643723
1h,is,zone_width_atr,death_vs_winner,BTC/USDT:USDT,919,0.20539509205031528
1h,is,zone_width_atr,death_vs_winner,ETH/USDT:USDT,936,0.20925769545404677
1h,is,zone_width_atr,death_vs_winner,SOL/USDT:USDT,916,0.20564237729631688
1h,is,zone_width_atr,death_vs_winner,BNB/USDT:USDT,937,0.21491063519021192
1h,is,zone_width_atr,death_vs_winner,XRP/USDT:USDT,930,0.22347302476470088
