arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades
loss-8R_entry,하루 -8R · 신규 진입만,loss,-8.0,,entry,oos_warm,12,12,788,0.39847715736040606,-0.05519752980033042,-43.49565348266037,-0.32191209089742817,0.6370830856426031,-0.5052905941973438,8,0.17242613198923148,0,True,7,228,0.03070175438596491,94,0.10767468499427263,-0.002799123714837523,0.05239840608549298,0.019667387261559616,0.013174194338163497,0.005306679608795799,0.01572013096820246,5.911886142395e-06,-0.0014758979773708085,2.842170943040401e-14,0.021473761705720434,88,0,55
loss-8R_entry,하루 -8R · 신규 진입만,loss,-8.0,,entry,oos,12,12,745,0.3946308724832215,-0.06769438514102397,-50.43231693006285,-0.3783422170184476,0.6346052491296903,-0.5961851364093085,8,0.15726873055539659,0,True,6,227,0.02643171806167401,85,0.10328068043742406,-0.014106707521869604,0.0535876776191545,0.0202001633187869,0.013340596002299802,0.005257709333279764,0.016131908716962757,2.014187274106199e-05,-0.001362841624915827,2.842170943040401e-14,0.02070342147925184,77,0,51
loss-10R_entry,하루 -10R · 신규 진입만,loss,-10.0,,entry,full,12,12,2458,0.4076484947111473,-0.024314447386263743,-59.76491167543628,-0.5986607332813112,0.9213095468420426,-0.6497932593158625,9,0.47005271517956426,0,True,18,671,0.026825633383010434,172,0.0661284121491734,0.019444381819653387,0.04375882920591712,0.015359309640030279,0.01092672414094883,0.004786889161299958,0.012279408721171918,1.895266997643312e-06,0.00040460227546856544,2.842170943040401e-14,0.02606801691796519,309,0,180
loss-10R_entry,하루 -10R · 신규 진입만,loss,-10.0,,entry,is,12,12,1657,0.412190706095353,-0.009182210782475093,-15.21492326656123,-0.268847016528325,0.6197901748048996,-0.43377102035048215,9,0.13418138220068607,0,True,14,443,0.03160270880361174,96,0.05555555555555555,0.030476765238382577,0.0396589760208577,0.013306321193296038,0.00986080479284179,0.004544371668570451,0.010639734426160702,0.0,0.0013077439399887326,2.842170943040401e-14,0.028966599459706935,222,0,109
loss-10R_entry,하루 -10R · 신규 진입만,loss,-10.0,,entry,oos_warm,12,12,801,0.3982521847690387,-0.05561796305727223,-44.54998840887505,-0.329813716752987,0.6397750704069977,-0.5155151114956286,8,0.16755772109769504,0,True,4,228,0.017543859649122806,76,0.08705612829324169,-0.0033779144660324198,0.052240048591239895,0.019606253280777555,0.013131753304261362,0.005288576409056259,0.015671344185383657,5.815937927849264e-06,-0.0014636945261667883,2.842170943040401e-14,0.021646878190215667,87,0,55
loss-10R_entry,하루 -10R · 신규 진입만,loss,-10.0,,entry,oos,12,12,756,0.3941798941798942,-0.06869446301919799,-51.933014042513676,-0.39070746473636775,0.627571313353206,-0.6225706249203141,8,0.1547200904707496,0,True,3,227,0.013215859030837005,71,0.08626974483596597,-0.015224202518244499,0.053470260500953604,0.020159556008313997,0.013304717550580982,0.005237850306750832,0.01609973218108554,1.984880316414178e-05,-0.001351444348941906,2.842170943040401e-14,0.021018874498582075,77,0,54
loss-15R_entry,하루 -15R · 신규 진입만,loss,-15.0,,entry,full,12,12,2524,0.41085578446909665,-0.015895313879375574,-40.11977223154395,-0.4082894497390519,0.7805316893824575,-0.5230914456043202,9,0.192080293990565,0,True,4,671,0.005961251862891207,83,0.031910803537101115,0.02745415630455942,0.04334947018393497,0.015192563792689408,0.010841152182399644,0.004769617496584107,0.01214612830091781,1.8457077179901984e-06,0.0003981627036260817,2.842170943040401e-14,0.026200012365369875,294,0,187
loss-15R_entry,하루 -15R · 신규 진입만,loss,-15.0,,entry,is,12,12,1704,0.4166666666666667,0.002435190862773267,4.149565230165647,-0.0733484390890213,0.5268262516967336,-0.13922700103267477,9,0.11035291331158249,0,True,2,443,0.004514672686230248,29,0.01678240740740741,0.04166666666666662,0.039231475803893356,0.013147113799589764,0.009774205455535416,0.004523693269032259,0.010512432194153156,0.0,0.0012740310855827758,2.842170943040401e-14,0.029202478010412383,209,0,113
loss-15R_entry,하루 -15R · 신규 진입만,loss,-15.0,,entry,oos_warm,12,12,820,0.39878048780487807,-0.05398699690452385,-44.269337461709554,-0.3349410106500308,0.6212125512596525,-0.5391729609629752,8,0.15989789626273002,0,True,2,228,0.008771929824561403,54,0.061855670103092786,-0.0020801335210877533,0.05190686338343619,0.019443108656398853,0.013058319527005275,0.005280660037740636,0.015541028503267797,5.681178390496659e-06,-0.0014219345193668541,2.842170943040401e-14,0.021710183306720063,85,0,56
loss-15R_entry,하루 -15R · 신규 진입만,loss,-15.0,,entry,oos,12,12,771,0.39299610894941633,-0.07141387713180467,-55.06009926862139,-0.42991212036614307,0.6410641897971904,-0.6706225791556877,8,0.15968411582287304,0,True,2,227,0.00881057268722467,53,0.06439854191980558,-0.018170553960820797,0.05324332317098398,0.020047979918470786,0.013255028791050028,0.005232202712868645,0.016010902103132604,1.9462639678458086e-05,-0.00132225299421658,2.842170943040401e-14,0.02103455318313768,75,0,55
loss-20R_entry,하루 -20R · 신규 진입만,loss,-20.0,,entry,full,12,12,2565,0.40974658869395714,-0.018623217122838057,-47.76855192007962,-0.48140924725723316,0.8249319702902318,-0.5835744820119667,9,0.24029291164013983,0,True,3,671,0.004470938897168405,41,0.015763168012302962,0.024676136652127877,0.04329935377496596,0.015191851641790766,0.010820052340125765,0.004748246910739199,0.012145588367599783,1.8162051774687174e-06,0.0003917983095330332,2.842170943040401e-14,0.026120389767914944,293,0,190
loss-20R_entry,하루 -20R · 신규 진입만,loss,-20.0,,entry,is,12,12,1709,0.4154476301930954,-0.0006058167612242382,-1.035340844932223,-0.125197499840001,0.5375660406943172,-0.23289696588403655,9,0.11463997706456874,0,True,2,443,0.004514672686230248,24,0.013888888888888888,0.03861907548273839,0.03922489224396265,0.013157572139621475,0.009765763396768408,0.00451045835601578,0.010520794682842513,0.0,0.0012703036687144822,2.842170943040401e-14,0.02922528470871046,209,0,114
loss-20R_entry,하루 -20R · 신규 진입만,loss,-20.0,,entry,oos_warm,12,12,856,0.3983644859813084,-0.05459487275134048,-46.73321107514745,-0.35621174741723255,0.6409417643849923,-0.5557630462090907,8,0.1680637439894788,0,True,1,228,0.0043859649122807015,17,0.019473081328751432,-0.0031608755692663056,0.051433997182074254,0.019253281161892708,0.012924935288954853,0.0052229906490830385,0.015389481366723825,5.442250327344931e-06,-0.0013621335349075004,2.842170943040401e-14,0.021710183306720063,84,0,60
loss-20R_entry,하루 -20R · 신규 진입만,loss,-20.0,,entry,oos,12,12,807,0.39281288723667906,-0.0712812551202717,-57.52397288205926,-0.4511828571333443,0.6614704525481225,-0.6820907198428796,8,0.16782758695695923,0,True,1,227,0.004405286343612335,16,0.019441069258809233,-0.01859912900098244,0.05268212611928936,0.019819643238505668,0.013104770499505078,0.005173193378301719,0.015829192315676872,1.8594417834065905e-05,-0.001263267730534056,2.842170943040401e-14,0.02103455318313768,74,0,57
loss-30R_entry,하루 -30R · 신규 진입만,loss,-30.0,,entry,full,12,12,2592,0.4077932098765432,-0.023419798223447946,-60.704116995177074,-0.6096384462835805,0.9095793426068899,-0.6702421852901067,9,0.4292320976631734,0,True,2,671,0.0029806259314456036,12,0.00461361014994233,0.019789463932371916,0.04320926215581988,0.015186761275381632,0.010781098052433302,0.004710351435066438,0.01214153702942297,1.7972863735367518e-06,0.0003877170771420641,2.842170943040401e-14,0.026243829142127452,292,0,191
