arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,net_r_stderr,long_trades,short_trades,long_win_rate,short_win_rate,long_mean_net_r,short_mean_net_r,long_net_r_sum,short_net_r_sum,btc_return_corr,btc_days,exclude
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,45495,0.40426420485767667,-0.09871381784256684,0.010627326000296073,0.03936519032169494,0.02664323376321573,0.010899283099735872,0.03147227092393373,4.135257297053603e-06,0.0009570304769850735,0.10934114384286385,2.842170943040401e-14,0.008562133042856699,0.026736826365318492,-0.00796343692869799,14476,0.31818881195735793,5504,2190,-26.806593485062848,20.30482672447188,-1.3202079411372114,21,4508.299228038573,4508.299228038573,41020,0,3068,0.005971740695965119,45495,0,0.40426420485767667,,-0.09871381784256684,,-4490.985142747579,0.0,0.3465191000938456,2122,-DOT
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,13698,0.4005694261936049,-0.12050303048070272,0.0013133447498517984,0.04425102211962339,0.029919201713668207,0.012219055534766859,0.035369382907330174,1.3734379524708255e-05,4.397857564092371e-05,0.12181637523055461,2.842170943040401e-14,0.0072096279671940685,0.021256329368460877,-0.008977023498694378,4419,0.32260183968462547,1401,556,-10.045192214176721,8.782502959547072,-1.1437732797182876,16,215.2711359583392,215.2711359583392,11058,0,686,0.010908747931326497,13698,0,0.4005694261936049,,-0.12050303048070272,,-1650.650511524666,0.0,0.4463823193356028,708,-DOT
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,46030,0.40436671735824464,-0.09666272901805711,0.010883992969443191,0.038728767252439955,0.026252323572426683,0.010762993470042791,0.03096343510125197,4.087193802508227e-06,0.0008351153975361483,0.10754672198750125,2.842170943040401e-14,0.008726000432959444,0.0271849954684689,-0.007705413105411706,14699,0.31933521616337174,5516,2197,-26.900894307314605,22.24869667300087,-1.2090997824586842,24,311.91777199286827,311.91777199286827,40945,0,3107,0.0059332638898203826,46030,0,0.40436671735824464,,-0.09666272901805711,,-4449.385416701169,0.0,0.35062206504810484,2125,-ETH
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,13663,0.39742369904120617,-0.12700009822322308,-0.006551255479508831,0.04386446543753389,0.02960559538804913,0.012058498961937817,0.03506025700148102,1.3769562374987461e-05,-0.00015374360766268254,0.1204488427437141,2.842170943040401e-14,0.007294182020230852,0.021608497969740917,-0.008710041458030886,4391,0.3213789065358999,1366,551,-10.886206633452566,10.237689081576912,-1.063346087843465,17,117.36321087880084,117.36321087880084,11168,0,698,0.010900258167620344,13663,0,0.39742369904120617,,-0.12700009822322308,,-1735.202342023897,0.0,0.4473548852252513,708,-ETH
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,45663,0.40384994415610015,-0.09967761348685258,0.00959179634241004,0.03941676426031383,0.026658669825668262,0.010893882480809202,0.03151352465939226,4.120043158124821e-06,0.0007824485599203352,0.10926940982926316,2.842170943040401e-14,0.008537582452535004,0.026599397758643305,-0.008018181818180242,14597,0.31966800254034994,5559,2191,-26.947700497757015,19.98709288603347,-1.3482551290181606,24,1066.2321217065517,1066.2321217065517,41501,0,3070,0.005959807167882584,45663,0,0.40384994415610015,,-0.09967761348685258,,-4551.57886465015,0.0,0.3551498494365841,2121,-LINK
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,13769,0.4013363352458421,-0.11815346995298959,0.003231185734873275,0.04411722817208659,0.02988976302283305,0.012243517991143496,0.03526247208835879,1.3663558045570026e-05,-0.00014198914460501473,0.12138465568786279,2.842170943040401e-14,0.007237051043454505,0.020966540080272104,-0.009268868253048098,4473,0.32486019318759535,1428,570,-9.908949746474903,8.865631793112811,-1.1176811735146257,16,49.59037318464887,49.59037318464887,11275,0,686,0.010882861037694338,13769,0,0.4013363352458421,,-0.11815346995298959,,-1626.8551277827137,0.0,0.4327386183768605,707,-LINK
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,45699,0.40466968642639883,-0.09682268646733938,0.011641178064803834,0.03906419582318043,0.026487144506225035,0.010863794412563875,0.031231614182679605,4.116797538883864e-06,0.0008129988099548123,0.10846386453214446,2.842170943040401e-14,0.008628449610452093,0.02686681677372773,-0.007778409090906297,14511,0.3175343005317403,5547,2173,-26.579007139191525,20.253891169080962,-1.3122913971102161,22,236.78399477692986,236.78399477692986,41057,0,3077,0.005957386742924748,45699,0,0.40466968642639883,,-0.09682268646733938,,-4424.6999488709425,0.0,0.35030650965306787,2120,-LTC
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,13719,0.40083096435600263,-0.11902836385845805,0.001967358873348627,0.04397409146662198,0.029787431406732102,0.012198188291856111,0.035147970180731965,1.371335598290354e-05,-0.00012567197011850514,0.12099572273180674,2.842170943040401e-14,0.007253223076724966,0.02142405235289091,-0.008704635761588256,4449,0.3242947736715504,1398,555,-10.009334315976865,8.949384355696038,-1.1184383101845656,17,38.768491162784116,38.768491162784116,11064,0,688,0.010898142321286322,13719,0,0.40083096435600263,,-0.11902836385845805,,-1632.950123774186,0.0,0.44970708838379303,706,-LTC
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,45718,0.4018111028478936,-0.10522420298239878,0.004547961940878191,0.03957509971409362,0.026699209101236732,0.010870078807985665,0.031640143172359345,4.106559033419675e-06,0.0009835275685673942,0.10977216492327788,2.842170943040401e-14,0.008540913639628264,0.026586248163162504,-0.008016306156402465,14554,0.31834288464062294,5569,2216,-28.85407902417869,15.874218724185024,-1.817669236232604,23,203.2067463394623,203.2067463394623,39119,0,3061,0.0059510694839110655,45718,0,0.4018111028478936,,-0.10522420298239878,,-4810.6401119493075,0.0,0.3437901764309722,2122,-SOL
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,13609,0.3977514879858917,-0.12678841959592668,-0.005553404069875066,0.044096600340813315,0.02977244091768412,0.012132690100542881,0.03524584608061226,1.379555190608279e-05,-2.635746550746847e-05,0.1212350155260514,2.842170943040401e-14,0.007272348878491087,0.02148923273261898,-0.00907732675261967,4401,0.3233889337938129,1365,553,-10.779616029577003,9.677387053101008,-1.1138973744077745,16,45.9257630339803,45.9257630339803,11348,0,684,0.010926464551980902,13609,0,0.3977514879858917,,-0.12678841959592668,,-1725.4636022809664,0.0,0.4180910556693494,709,-SOL
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,46949,0.40610023642676096,-0.09183194997166975,0.015218432690440051,0.038322904898429495,0.02609137561952823,0.01076525734669267,0.03063898756748161,4.007189306043871e-06,0.0012278500406714594,0.10705038266211138,2.842170943040401e-14,0.008773905077306287,0.027298949448514603,-0.007544103173257077,15071,0.32100790219173997,5741,2297,-26.520261156495764,17.61137629032284,-1.5058596624880594,21,6163.008538236478,6163.008538236478,41142,0,3703,0.005876377236109508,46949,0,0.40610023642676096,,-0.09183194997166975,,-4311.418219219923,0.0,0.35302706056981936,2123,-TRX
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,14283,0.4025764895330113,-0.1131797017986793,0.006335517495167012,0.043116936869818184,0.029380167435295042,0.012134659790864886,0.034463130871308055,1.3171849802524238e-05,0.0004071524767573703,0.11951521929384623,2.842170943040401e-14,0.007370336737105335,0.021813342995481703,-0.008490763052211803,4679,0.32759224252607994,1482,594,-10.277862241950803,9.207941859062128,-1.1161953886400464,17,22.76040119838059,22.76040119838059,11392,0,1038,0.01067915585458526,14283,0,0.4025764895330113,,-0.1131797017986793,,-1616.5456807905364,0.0,0.43017221991914417,709,-TRX
long_only,롱 온리(채택 북),False,every_tap,full,True,44,11,45625,0.40532602739726026,-0.09515470555653996,0.013281976907034953,0.0390182026735342,0.026478696564000682,0.010874071889966393,0.031194831383115264,4.123474646125012e-06,0.0008667564783121614,0.1084366824635758,2.842170943040401e-14,0.008625680202477065,0.026866017168778837,-0.007760594795540108,14478,0.3173260273972603,5448,2156,-25.916072565722235,24.18478793514865,-1.071585685812752,22,83.41400843113803,83.41400843113803,41142,0,3071,0.005963816455969963,45625,0,0.40532602739726026,,-0.09515470555653996,,-4341.433441017136,0.0,0.35200593358056304,2119,-XRP
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,44,11,13833,0.40280488686474375,-0.1137582009615344,0.0069030721017472995,0.043789570527962625,0.0297287192822987,0.012214271685532066,0.035000540252174236,1.3600341988683126e-05,-8.54290266752477e-05,0.12066127306328155,2.842170943040401e-14,0.007274497045205016,0.021251845565249585,-0.00877408759123975,4478,0.32371864382274274,1433,574,-9.73939694214976,8.943385833655574,-1.089005564928067,16,2378.2338138531177,2378.2338138531177,11061,0,689,0.010861790449050251,13833,0,0.40280488686474375,,-0.1137582009615344,,-1573.6171939009052,0.0,0.4266837934201428,707,-XRP
