arm,symbol,timeframe,metric,quantile,value,sample
proximal,BTC/USDT:USDT,2h,zone_width_atr,0.1,0.7520392689589398,947
proximal,BTC/USDT:USDT,2h,zone_width_atr,0.25,1.079709194623415,947
proximal,BTC/USDT:USDT,2h,zone_width_atr,0.33,1.2410169899619168,947
proximal,BTC/USDT:USDT,2h,zone_width_atr,0.5,1.6219963168797285,947
proximal,BTC/USDT:USDT,2h,zone_width_atr,0.67,2.170827550687984,947
proximal,BTC/USDT:USDT,2h,zone_width_atr,0.75,2.4399738942302656,947
proximal,BTC/USDT:USDT,2h,zone_width_atr,0.9,3.5282956444100284,947
proximal,BTC/USDT:USDT,2h,zone_width_atr,0.95,4.378845175699635,947
proximal,BTC/USDT:USDT,2h,stop_fraction,0.05,0.005773425230538836,947
proximal,BTC/USDT:USDT,2h,stop_fraction,0.1,0.007573979803071,947
proximal,BTC/USDT:USDT,2h,stop_fraction,0.25,0.010928387513948536,947
proximal,BTC/USDT:USDT,2h,stop_fraction,0.33,0.012908563123278096,947
proximal,BTC/USDT:USDT,2h,stop_fraction,0.5,0.017020991175056302,947
proximal,BTC/USDT:USDT,2h,stop_fraction,0.67,0.02369611507867202,947
proximal,BTC/USDT:USDT,2h,stop_fraction,0.75,0.027073268878303445,947
proximal,BTC/USDT:USDT,2h,stop_fraction,0.9,0.041949456418073225,947
proximal,BTC/USDT:USDT,2h,stop_fraction,0.95,0.0687377137024946,947
mid,BTC/USDT:USDT,2h,zone_width_atr,0.05,0.622269879911818,947
mid,BTC/USDT:USDT,2h,zone_width_atr,0.1,0.7520392689589398,947
mid,BTC/USDT:USDT,2h,zone_width_atr,0.25,1.079709194623415,947
mid,BTC/USDT:USDT,2h,zone_width_atr,0.33,1.2410169899619168,947
mid,BTC/USDT:USDT,2h,zone_width_atr,0.5,1.6219963168797285,947
mid,BTC/USDT:USDT,2h,zone_width_atr,0.67,2.170827550687984,947
mid,BTC/USDT:USDT,2h,zone_width_atr,0.75,2.4399738942302656,947
mid,BTC/USDT:USDT,2h,zone_width_atr,0.9,3.5282956444100284,947
mid,BTC/USDT:USDT,2h,zone_width_atr,0.95,4.378845175699635,947
mid,BTC/USDT:USDT,2h,stop_fraction,0.05,0.002994481761689464,947
mid,BTC/USDT:USDT,2h,stop_fraction,0.1,0.003900617169076023,947
mid,BTC/USDT:USDT,2h,stop_fraction,0.25,0.005593109553941011,947
mid,BTC/USDT:USDT,2h,stop_fraction,0.33,0.006594905218685697,947
mid,BTC/USDT:USDT,2h,stop_fraction,0.5,0.008681826731154306,947
mid,BTC/USDT:USDT,2h,stop_fraction,0.67,0.012087723846303602,947
mid,BTC/USDT:USDT,2h,stop_fraction,0.75,0.013819654167712265,947
mid,BTC/USDT:USDT,2h,stop_fraction,0.9,0.021519844683930305,947
mid,BTC/USDT:USDT,2h,stop_fraction,0.95,0.03568511652098689,947
proximal,BTC/USDT:USDT,4h,zone_width_atr,0.05,0.6298433636569427,428
proximal,BTC/USDT:USDT,4h,zone_width_atr,0.1,0.7557580068497228,428
proximal,BTC/USDT:USDT,4h,zone_width_atr,0.25,1.1165731350259391,428
proximal,BTC/USDT:USDT,4h,zone_width_atr,0.33,1.2589167802917067,428
proximal,BTC/USDT:USDT,4h,zone_width_atr,0.5,1.6103720464715638,428
proximal,BTC/USDT:USDT,4h,zone_width_atr,0.67,2.0433529785578752,428
proximal,BTC/USDT:USDT,4h,zone_width_atr,0.75,2.269559599672655,428
proximal,BTC/USDT:USDT,4h,zone_width_atr,0.9,3.1358971883891456,428
proximal,BTC/USDT:USDT,4h,zone_width_atr,0.95,3.7740207600790705,428
proximal,BTC/USDT:USDT,4h,stop_fraction,0.05,0.0095019987909765,428
proximal,BTC/USDT:USDT,4h,stop_fraction,0.1,0.011513865819652021,428
proximal,BTC/USDT:USDT,4h,stop_fraction,0.25,0.016695150700768678,428
proximal,BTC/USDT:USDT,4h,stop_fraction,0.33,0.019015608213563615,428
proximal,BTC/USDT:USDT,4h,stop_fraction,0.5,0.024591994047913894,428
proximal,BTC/USDT:USDT,4h,stop_fraction,0.67,0.03477807041350506,428
proximal,BTC/USDT:USDT,4h,stop_fraction,0.75,0.03839113523169645,428
proximal,BTC/USDT:USDT,4h,stop_fraction,0.9,0.05207082629102289,428
proximal,BTC/USDT:USDT,4h,stop_fraction,0.95,0.12334271922518303,428
mid,BTC/USDT:USDT,4h,zone_width_atr,0.05,0.6298433636569427,428
mid,BTC/USDT:USDT,4h,zone_width_atr,0.1,0.7557580068497228,428
mid,BTC/USDT:USDT,4h,zone_width_atr,0.25,1.1165731350259391,428
mid,BTC/USDT:USDT,4h,zone_width_atr,0.33,1.2589167802917067,428
mid,BTC/USDT:USDT,4h,zone_width_atr,0.5,1.6103720464715638,428
mid,BTC/USDT:USDT,4h,zone_width_atr,0.67,2.0433529785578752,428
mid,BTC/USDT:USDT,4h,zone_width_atr,0.75,2.269559599672655,428
mid,BTC/USDT:USDT,4h,zone_width_atr,0.9,3.1358971883891456,428
mid,BTC/USDT:USDT,4h,zone_width_atr,0.95,3.7740207600790705,428
mid,BTC/USDT:USDT,4h,stop_fraction,0.05,0.004872719488297289,428
mid,BTC/USDT:USDT,4h,stop_fraction,0.1,0.005889103275954209,428
mid,BTC/USDT:USDT,4h,stop_fraction,0.25,0.008516157705540137,428
mid,BTC/USDT:USDT,4h,stop_fraction,0.33,0.009697151184280125,428
mid,BTC/USDT:USDT,4h,stop_fraction,0.5,0.012546587914600666,428
mid,BTC/USDT:USDT,4h,stop_fraction,0.67,0.017793247361263295,428
mid,BTC/USDT:USDT,4h,stop_fraction,0.75,0.019667363476660128,428
mid,BTC/USDT:USDT,4h,stop_fraction,0.9,0.026826189325286087,428
mid,BTC/USDT:USDT,4h,stop_fraction,0.95,0.06616438429225077,428
proximal,ETH/USDT:USDT,15m,zone_width_atr,0.05,0.5336627233123452,6874
proximal,ETH/USDT:USDT,15m,zone_width_atr,0.1,0.6631377204997343,6874
proximal,ETH/USDT:USDT,15m,zone_width_atr,0.25,0.9452822679689717,6874
proximal,ETH/USDT:USDT,15m,zone_width_atr,0.33,1.0886455429253592,6874
proximal,ETH/USDT:USDT,15m,zone_width_atr,0.5,1.3983674148012897,6874
proximal,ETH/USDT:USDT,15m,zone_width_atr,0.67,1.7800412894760307,6874
proximal,ETH/USDT:USDT,15m,zone_width_atr,0.75,2.059584565315175,6874
proximal,ETH/USDT:USDT,15m,zone_width_atr,0.9,3.087537195132423,6874
proximal,ETH/USDT:USDT,15m,zone_width_atr,0.95,4.131807298169463,6874
proximal,ETH/USDT:USDT,15m,stop_fraction,0.05,0.0022221222035131412,6874
proximal,ETH/USDT:USDT,15m,stop_fraction,0.1,0.0028383649652174926,6874
proximal,ETH/USDT:USDT,15m,stop_fraction,0.25,0.004339252468284325,6874
proximal,ETH/USDT:USDT,15m,stop_fraction,0.33,0.005125152578917699,6874
proximal,ETH/USDT:USDT,15m,stop_fraction,0.5,0.006988869187300193,6874
proximal,ETH/USDT:USDT,15m,stop_fraction,0.67,0.009022879216871418,6874
proximal,ETH/USDT:USDT,15m,stop_fraction,0.75,0.010532002521185461,6874
proximal,ETH/USDT:USDT,15m,stop_fraction,0.9,0.01574953939180597,6874
proximal,ETH/USDT:USDT,15m,stop_fraction,0.95,0.019621320647646268,6874
mid,ETH/USDT:USDT,15m,zone_width_atr,0.05,0.5336627233123452,6874
mid,ETH/USDT:USDT,15m,zone_width_atr,0.1,0.6631377204997343,6874
mid,ETH/USDT:USDT,15m,zone_width_atr,0.25,0.9452822679689717,6874
mid,ETH/USDT:USDT,15m,zone_width_atr,0.33,1.0886455429253592,6874
mid,ETH/USDT:USDT,15m,zone_width_atr,0.5,1.3983674148012897,6874
mid,ETH/USDT:USDT,15m,zone_width_atr,0.67,1.7800412894760307,6874
mid,ETH/USDT:USDT,15m,zone_width_atr,0.75,2.059584565315175,6874
mid,ETH/USDT:USDT,15m,zone_width_atr,0.9,3.087537195132423,6874
mid,ETH/USDT:USDT,15m,zone_width_atr,0.95,4.131807298169463,6874
mid,ETH/USDT:USDT,15m,stop_fraction,0.05,0.0012120646302723125,6874
mid,ETH/USDT:USDT,15m,stop_fraction,0.1,0.001520905429641821,6874
mid,ETH/USDT:USDT,15m,stop_fraction,0.25,0.00227389941748604,6874
mid,ETH/USDT:USDT,15m,stop_fraction,0.33,0.0026686368637839466,6874
mid,ETH/USDT:USDT,15m,stop_fraction,0.5,0.0036059784850160444,6874
mid,ETH/USDT:USDT,15m,stop_fraction,0.67,0.00463097074676085,6874
mid,ETH/USDT:USDT,15m,stop_fraction,0.75,0.005392813018906404,6874
mid,ETH/USDT:USDT,15m,stop_fraction,0.9,0.008035682982331269,6874
mid,ETH/USDT:USDT,15m,stop_fraction,0.95,0.010005882016651497,6874
proximal,ETH/USDT:USDT,1h,zone_width_atr,0.05,0.5461569682230362,1726
proximal,ETH/USDT:USDT,1h,zone_width_atr,0.1,0.7153023953132145,1726
proximal,ETH/USDT:USDT,1h,zone_width_atr,0.25,1.02306452791053,1726
proximal,ETH/USDT:USDT,1h,zone_width_atr,0.33,1.1422936422878023,1726
proximal,ETH/USDT:USDT,1h,zone_width_atr,0.5,1.4162879708915295,1726
proximal,ETH/USDT:USDT,1h,zone_width_atr,0.67,1.809307025924924,1726
proximal,ETH/USDT:USDT,1h,zone_width_atr,0.75,2.082606667370375,1726
proximal,ETH/USDT:USDT,1h,zone_width_atr,0.9,3.085042707340512,1726
proximal,ETH/USDT:USDT,1h,zone_width_atr,0.95,3.7547081638089215,1726
proximal,ETH/USDT:USDT,1h,stop_fraction,0.05,0.005012108000466815,1726
proximal,ETH/USDT:USDT,1h,stop_fraction,0.1,0.00636733516901822,1726
proximal,ETH/USDT:USDT,1h,stop_fraction,0.25,0.009177134948584721,1726
