scope,fill,segment,exclude_symbol,seeds,num_cells,long_only_return,long_only_mdd,long_only_return_over_mdd,actual_trades,actual_return,actual_mdd,actual_return_over_mdd,null_mean_trades,null_mean_return,null_mean_mdd,null_mean_return_over_mdd,null_median_return_over_mdd,p_return,p_return_over_mdd
1h,baseline,is,ETH,20,8,244.40057735305027,0.10753298667803954,2272.7963288586116,3051,2291.1935081913507,0.11383407709376335,20127.483497794165,3243.65,62.612850912603356,0.2907833817114388,224.87519268575812,209.8670334560765,0.047619047619047616,0.047619047619047616
1h,baseline,oos_warm,ETH,20,8,2.1050886902749584,0.14362437882514212,14.656903706005465,1587,9.854077802445827,0.14404455456919227,68.4099293577418,1696.2,0.2207570235975357,0.5067620065522364,0.7351655865693998,0.09490100297785305,0.047619047619047616,0.047619047619047616
1h,baseline,is,DOGE,20,8,181.6585223394676,0.09735475157184041,1865.9440798368985,3085,1728.7403368854314,0.1300054556538136,13297.444543318441,3271.2,39.22625394671893,0.2956811547656847,141.0356157845838,115.40554222587814,0.047619047619047616,0.047619047619047616
1h,baseline,oos_warm,DOGE,20,8,4.212169027134121,0.09184427852525802,45.86207322621339,1623,18.08604515035191,0.15621175251851754,115.77902980256218,1728.75,0.860928152427998,0.41208680764731953,2.6287125624450205,1.388564677686872,0.047619047619047616,0.047619047619047616
1h,baseline,is,LINK,20,8,198.18905705590885,0.12232549647096223,1620.1778269745685,2991,2283.0598770984066,0.1589628094548636,14362.226516553017,3166.4,46.170146400054605,0.3056923958176593,160.93186812606154,129.95680895737985,0.047619047619047616,0.047619047619047616
1h,baseline,oos_warm,LINK,20,8,3.5411746427942226,0.14894906970881075,23.77439919374503,1578,12.153576595640185,0.13972194554402584,86.98402064413453,1641.7,0.8764615247598959,0.3921168625992409,2.649210695547294,1.463275427876967,0.047619047619047616,0.047619047619047616
1h,baseline,is,ETH+DOGE+LINK,20,6,65.43318502910542,0.09045616009322315,723.369032707896,2303,669.7188791520633,0.12452867579066967,5378.029396842282,2627.3,24.06749286640412,0.2875288766251124,92.26150575560959,66.96784149795633,0.047619047619047616,0.047619047619047616
1h,baseline,oos_warm,ETH+DOGE+LINK,20,6,1.532116364821202,0.1491929381597925,10.269362502803148,1126,3.6294805494991333,0.12013018148770543,30.212894915759264,1252.85,0.3404284340644149,0.4041027870779095,1.255067927411069,0.3081340744496125,0.047619047619047616,0.047619047619047616
1h,pen_5bp,is,,20,9,188.20057823204877,0.10155010137031864,1853.278093201949,3172,1959.7803600715183,0.13748076556317468,14254.942151678424,3322.8,35.91934014901363,0.3222733927034426,118.81190571745701,110.6256869788321,0.047619047619047616,0.047619047619047616
1h,pen_5bp,oos_warm,,20,9,3.1867162308895196,0.112144109428295,28.41626053419335,1654,11.98938931080419,0.16162959614049674,74.17818021634106,1747.95,0.5620282007439318,0.4679209552268051,1.6584445935664625,0.33378729284851605,0.047619047619047616,0.047619047619047616
