symbol,timeframe,segment,arm,family,take_profit_r,partial_r,breakeven,eligible,filled,num_trades,total_return,max_drawdown,win_rate,sharpe,mean_net_r,mean_gross_r,cost_total,n_take_profit,n_stop_loss,n_end_of_data,n_partial,n_partial_then_stop,funding_rows
BTC/USDT:USDT,4h,oos_warm,B2_be_on,B,2.0,1.3,True,25,20,15,0.052339713514437974,0.03416223963154344,0.6,12.916078068717008,0.4276357836076772,0.5233333333333327,127.39344784218977,8,7,0,9,1,5555
BTC/USDT:USDT,4h,oos_warm,B3_be_off,B,2.0,1.5,False,25,20,15,0.048832414922747924,0.042596815358617195,0.5333333333333333,11.398592819745641,0.3706269853668196,0.4666666666666665,127.56463595021744,8,7,0,8,0,5555
BTC/USDT:USDT,4h,oos_warm,B3_be_on,B,2.0,1.5,True,25,20,15,0.048832414922747924,0.042596815358617195,0.5333333333333333,11.398592819745641,0.3706269853668196,0.4666666666666665,127.56463595021744,8,7,0,8,0,5555
BTC/USDT:USDT,4h,oos,A0,A,1.5,,False,25,20,15,0.030171556043808778,0.046766141931767945,0.5333333333333333,7.871352314692047,0.23754965871382136,0.3333333333333331,126.09372317060593,8,7,0,0,0,2150
BTC/USDT:USDT,4h,oos,A1_be_off,A,1.5,1.0,False,25,20,15,0.028601711815083218,0.03547110833319818,0.5333333333333333,8.806365641346202,0.23815636306445492,0.33333333333333326,124.81655440918978,8,7,0,10,2,2150
BTC/USDT:USDT,4h,oos,A1_be_on,A,1.5,1.0,True,25,20,16,0.04142321259251057,0.032410732987613634,0.6875,12.267926072716817,0.3122233487605634,0.4062499999999999,132.97756550123663,8,8,0,11,3,2150
BTC/USDT:USDT,4h,oos,A2_be_off,A,1.5,1.2,False,25,20,15,0.03773911616632813,0.03412107502790022,0.6,11.057503125871587,0.30476046852412747,0.3999999999999997,125.38974125815301,8,7,0,10,2,2150
BTC/USDT:USDT,4h,oos,A2_be_on,A,1.5,1.2,True,25,20,16,0.05171247262227825,0.031058360096698802,0.6875,14.567752230623727,0.38090907387900624,0.4749999999999997,133.63204432779594,8,8,0,11,3,2150
BTC/USDT:USDT,4h,oos,A3_be_off,A,1.5,1.3,False,25,20,15,0.030333199385136504,0.041410659591202464,0.5333333333333333,8.388733773076973,0.2612551169546788,0.3566666666666659,125.69988528119438,8,7,0,9,1,2150
BTC/USDT:USDT,4h,oos,A3_be_on,A,1.5,1.3,True,25,20,15,0.033599257368030704,0.038372022799310415,0.6,9.26371928970863,0.29455845695467897,0.3899999999999992,125.92249076502262,8,7,0,9,1,2150
BTC/USDT:USDT,4h,oos,B0,B,2.0,,False,25,20,15,0.06778704792364333,0.03977254228886069,0.5333333333333333,14.341888732905256,0.503704312019818,0.6000000000000001,129.05000169027514,8,7,0,0,0,2150
BTC/USDT:USDT,4h,oos,B1_be_off,B,2.0,1.0,False,25,20,15,0.0472776948761777,0.03362770869466555,0.5333333333333333,12.886811498516883,0.3712336897174532,0.4666666666666667,126.27500964669704,8,7,0,10,2,2150
BTC/USDT:USDT,4h,oos,B1_be_on,B,2.0,1.0,True,25,20,16,0.06033190972643734,0.030561484385038112,0.6875,15.956947109380994,0.4369833424977493,0.53125,134.56318546709804,8,8,0,11,3,2150
BTC/USDT:USDT,4h,oos,B2_be_off,B,2.0,1.3,False,25,20,15,0.04901443778737084,0.037214178867127495,0.5333333333333333,12.097562657640399,0.39433244360767705,0.48999999999999927,127.16803004913737,8,7,0,9,1,2150
BTC/USDT:USDT,4h,oos,B2_be_on,B,2.0,1.3,True,25,20,15,0.052339713514437974,0.03416223963154344,0.6,12.916078068717008,0.4276357836076772,0.5233333333333327,127.39344784218977,8,7,0,9,1,2150
BTC/USDT:USDT,4h,oos,B3_be_off,B,2.0,1.5,False,25,20,15,0.048832414922747924,0.042596815358617195,0.5333333333333333,11.398592819745641,0.3706269853668196,0.4666666666666665,127.56463595021744,8,7,0,8,0,2150
BTC/USDT:USDT,4h,oos,B3_be_on,B,2.0,1.5,True,25,20,15,0.048832414922747924,0.042596815358617195,0.5333333333333333,11.398592819745641,0.3706269853668196,0.4666666666666665,127.56463595021744,8,7,0,8,0,2150
DOGE/USDT:USDT,4h,full,A0,A,1.5,,False,109,82,63,0.2565096099232285,0.04283028776199397,0.5873015873015873,14.282274895301308,0.4073489335768606,0.4682539682539676,393.23397056065323,37,26,0,0,0,6408
DOGE/USDT:USDT,4h,full,A1_be_off,A,1.5,1.0,False,109,82,63,0.2361051611271936,0.03792111079377022,0.5873015873015873,15.993971166959728,0.3716039990502878,0.4325396825396822,385.3744072374631,37,26,0,44,7,6408
DOGE/USDT:USDT,4h,full,A1_be_on,A,1.5,1.0,True,109,82,67,0.2133263723727754,0.05778370263327192,0.6865671641791045,14.327576406481167,0.3220566980454076,0.38805970149253716,429.11571534506857,32,35,0,46,14,6408
DOGE/USDT:USDT,4h,full,A2_be_off,A,1.5,1.2,False,109,82,63,0.2331689736028471,0.04919474417173783,0.6349206349206349,14.405054122601612,0.37180578406506126,0.4325396825396824,382.63685941663726,37,26,0,40,3,6408
DOGE/USDT:USDT,4h,full,A2_be_on,A,1.5,1.2,True,109,82,64,0.2435296426952409,0.056228142034457085,0.640625,14.968636185334962,0.3743950806037861,0.4351562499999999,389.4148971478909,35,29,0,41,6,6408
DOGE/USDT:USDT,4h,full,A3_be_off,A,1.5,1.3,False,109,82,63,0.24208461060734027,0.04684815743835514,0.6190476190476191,14.428510028543968,0.38515343645146416,0.44603174603174583,387.40091055433106,37,26,0,39,2,6408
DOGE/USDT:USDT,4h,full,A3_be_on,A,1.5,1.3,True,109,82,64,0.2525549884230295,0.05389543912828595,0.625,14.949804288334786,0.3922129641531878,0.4531249999999998,395.14399871621276,36,28,0,40,4,6408
DOGE/USDT:USDT,4h,full,B0,B,2.0,,False,109,82,58,0.23895876533652263,0.06535171577796237,0.5,12.163644535059115,0.43676770740931464,0.5,364.31899778771736,29,29,0,0,0,6408
DOGE/USDT:USDT,4h,full,B1_be_off,B,2.0,1.0,False,109,82,58,0.21129538778281476,0.05076853493915544,0.5,14.493585554321255,0.3770427549058556,0.4396551724137931,353.71710748132386,29,29,0,40,11,6408
DOGE/USDT:USDT,4h,full,B1_be_on,B,2.0,1.0,True,109,82,67,0.1856382825457922,0.05778370263327185,0.6865671641791045,12.42485419694124,0.29159707679566005,0.3582089552238806,425.24702335173885,22,45,0,46,24,6408
