symbol,timeframe,variant,is_placebo,segment,real_total_return,real_num_trades,pool_size,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations
ETH/USDT:USDT,4h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,0.01759264146446858,1,4,0.017592641464468546,0.01759264146446858,0.01759264146446858,1.0,100
ETH/USDT:USDT,4h,sma20_atr2_placebo_shuffled_anchor,True,OOS,0.01759264146446858,1,4,0.017592641464468546,0.01759264146446858,0.01759264146446858,1.0,100
ETH/USDT:USDT,1h,close_pct2,False,IS,-0.05574621962559504,10,45,0.005963722644708479,-0.07836769025055765,0.11826454394118409,0.9,100
ETH/USDT:USDT,1h,close_atr2,False,IS,-0.005503024061400356,9,45,-0.007384404436275036,-0.07201196157723498,0.08008960011340241,0.39,100
ETH/USDT:USDT,1h,sma20_stdev2_bollinger,False,IS,0.01470379563937513,39,45,-0.006772831776239927,-0.07320754258656761,0.05598983177778537,0.35,100
ETH/USDT:USDT,1h,sma20_atr2,False,IS,0.006667531903406052,41,45,0.001126343194965304,-0.07006761222087043,0.04404783004374513,0.53,100
ETH/USDT:USDT,1h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,0.06708713273089907,21,45,-0.00796744992756686,-0.10113512911773978,0.08066447602669032,0.09,100
ETH/USDT:USDT,1h,sma20_atr2_placebo_shuffled_anchor,True,IS,0.051530749026675586,21,45,-0.0027465920552683033,-0.10056728978437841,0.09867467469753992,0.14,100
ETH/USDT:USDT,1h,close_pct2,False,OOS,-0.008827795709588644,6,31,-0.01262619900808218,-0.060728755724494474,0.04225596397983554,0.37,100
ETH/USDT:USDT,1h,close_atr2,False,OOS,0.01888228750500948,3,31,0.008137636897415203,-0.03239702515783065,0.05922235097722023,0.29,100
ETH/USDT:USDT,1h,sma20_stdev2_bollinger,False,OOS,-0.08366896531165476,28,31,-0.06258151677917527,-0.10809130494772817,-0.02818640892787189,0.79,100
ETH/USDT:USDT,1h,sma20_atr2,False,OOS,-0.049029278269627136,29,31,-0.04917272496744928,-0.09518354272761353,-0.03732263264640351,0.69,100
ETH/USDT:USDT,1h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,-0.01848500045368801,15,31,-0.025853696725614373,-0.10676189270783688,0.04402056449805841,0.47,100
ETH/USDT:USDT,1h,sma20_atr2_placebo_shuffled_anchor,True,OOS,-0.01848500045368801,15,31,-0.025853696725614373,-0.10676189270783688,0.04402056449805841,0.47,100
ETH/USDT:USDT,1d,close_pct2,False,IS,-0.010585028293644608,1,1,-0.010371540533980615,-0.010371540533980624,-0.010371540533980624,1.0,100
ETH/USDT:USDT,1d,close_atr2,False,IS,0.0,0,1,,,,,0
ETH/USDT:USDT,1d,sma20_stdev2_bollinger,False,IS,-0.010371540533980624,1,1,-0.010371540533980615,-0.010371540533980624,-0.010371540533980624,1.0,100
ETH/USDT:USDT,1d,sma20_atr2,False,IS,-0.010371540533980624,1,1,-0.010371540533980615,-0.010371540533980624,-0.010371540533980624,1.0,100
ETH/USDT:USDT,1d,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,-0.010371540533980624,1,1,-0.010371540533980615,-0.010371540533980624,-0.010371540533980624,1.0,100
ETH/USDT:USDT,1d,sma20_atr2_placebo_shuffled_anchor,True,IS,-0.010371540533980624,1,1,-0.010371540533980615,-0.010371540533980624,-0.010371540533980624,1.0,100
ETH/USDT:USDT,1d,close_pct2,False,OOS,0.01835299185242784,3,4,-0.0007734414801470629,-0.017400606778545078,0.007577565518795018,0.0,100
ETH/USDT:USDT,1d,close_atr2,False,OOS,0.0,0,4,,,,,0
ETH/USDT:USDT,1d,sma20_stdev2_bollinger,False,OOS,-0.0028247151077615855,4,4,-0.0028247151077615868,-0.0028247151077615855,-0.0028247151077615855,1.0,100
ETH/USDT:USDT,1d,sma20_atr2,False,OOS,-0.0028247151077615855,4,4,-0.0028247151077615868,-0.0028247151077615855,-0.0028247151077615855,1.0,100
ETH/USDT:USDT,1d,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,0.017898920549059585,2,4,0.017898920549059602,0.017898920549059585,0.017898920549059585,1.0,100
ETH/USDT:USDT,1d,sma20_atr2_placebo_shuffled_anchor,True,OOS,0.017898920549059585,2,4,0.017898920549059602,0.017898920549059585,0.017898920549059585,1.0,100
SOL/USDT:USDT,4h,close_pct2,False,IS,0.04474153997151407,15,20,0.12014421342738295,0.07700010360608885,0.19641853559391875,1.0,100
SOL/USDT:USDT,4h,close_atr2,False,IS,-0.017120693387490428,2,20,0.0001537013687202303,-0.021221693461034374,0.06207123258003121,0.39,100
SOL/USDT:USDT,4h,sma20_stdev2_bollinger,False,IS,0.14784324720293862,19,20,0.11810166614469995,0.0719962120847762,0.1478446963467115,0.31,100
SOL/USDT:USDT,4h,sma20_atr2,False,IS,0.14744642084212992,19,20,0.1440063341058695,0.11972097072959696,0.14745246780981505,0.14,100
SOL/USDT:USDT,4h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,IS,0.022590726463253486,6,20,0.045274547616789305,-0.06046565848370065,0.1469030354367771,0.66,100
SOL/USDT:USDT,4h,sma20_atr2_placebo_shuffled_anchor,True,IS,0.02259532246776398,6,20,0.045274547616789305,-0.06046565848370065,0.1469030354367771,0.66,100
SOL/USDT:USDT,4h,close_pct2,False,OOS,-0.031368008009409094,3,7,0.0025879711720031727,-0.031000480648124357,0.021529039470682618,1.0,100
SOL/USDT:USDT,4h,close_atr2,False,OOS,-0.01039883946784921,1,7,0.010998239170967022,-0.010410795972111555,0.04310162885696191,0.74,100
SOL/USDT:USDT,4h,sma20_stdev2_bollinger,False,OOS,-0.020920256127768697,7,7,-0.02092025612776865,-0.020920256127768697,-0.020920256127768697,1.0,100
SOL/USDT:USDT,4h,sma20_atr2,False,OOS,-0.020920256127768697,7,7,-0.02092025612776865,-0.020920256127768697,-0.020920256127768697,1.0,100
SOL/USDT:USDT,4h,sma20_stdev2_bollinger_placebo_shuffled_anchor,True,OOS,-0.010516818000000058,1,7,-0.010468780995274762,-0.010516818000000058,-0.010390404829670297,1.0,100
SOL/USDT:USDT,4h,sma20_atr2_placebo_shuffled_anchor,True,OOS,-0.010516818000000058,1,7,-0.010468780995274762,-0.010516818000000058,-0.010390404829670297,1.0,100
SOL/USDT:USDT,1h,close_pct2,False,IS,0.055524272154194476,15,48,-0.011995698914788038,-0.07833787438956934,0.06649887231037173,0.05,100
SOL/USDT:USDT,1h,close_atr2,False,IS,0.0435205388350807,7,48,-0.0033794100466659387,-0.05798374917644978,0.05957053922572195,0.08,100
