lens,symbol,timeframe,segment,arm,seed,num_candidates,num_trades,total_return,max_drawdown,win_rate
baseline,BTC/USDT:USDT,15m,oos,matched_random,11,239.0,119.0,0.02926815601198068,0.10144828238281224,0.4789915966386555
baseline,BTC/USDT:USDT,15m,oos,matched_random,12,239.0,134.0,-0.03507650371901982,0.11631435778176995,0.44029850746268656
baseline,BTC/USDT:USDT,15m,oos,matched_random,13,239.0,131.0,-0.11053559469949105,0.1673240907506292,0.4351145038167939
baseline,BTC/USDT:USDT,15m,oos,matched_random,14,239.0,123.0,-0.11939075231063107,0.17252261850147446,0.42276422764227645
baseline,BTC/USDT:USDT,15m,oos,matched_random,15,239.0,110.0,-0.05911235116804619,0.1135277351818864,0.44545454545454544
baseline,BTC/USDT:USDT,15m,oos,matched_random,16,239.0,123.0,-0.06316125379672176,0.10003869077299823,0.43902439024390244
baseline,BTC/USDT:USDT,15m,oos,matched_random,17,239.0,123.0,-0.03785231056202556,0.09266803929022906,0.45528455284552843
baseline,BTC/USDT:USDT,15m,oos,matched_random,18,239.0,132.0,-0.038093768269995235,0.09890850394122412,0.44696969696969696
baseline,BTC/USDT:USDT,15m,oos,matched_random,19,239.0,133.0,-0.17062290440020114,0.1869111909402639,0.39097744360902253
baseline,BTC/USDT:USDT,15m,oos,matched_random,-1,239.0,124.95,-0.06604405148240597,0.12556585007153528,0.4407691037900678
pen_5bp,BTC/USDT:USDT,15m,is,default,-1,1248.0,482.0,0.21602156954529383,0.1862183986292687,0.5020746887966805
pen_5bp,BTC/USDT:USDT,15m,is,filter_bot3,-1,416.0,178.0,0.06642786788080703,0.07902306071771875,0.5112359550561798
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,0,416.0,219.0,0.0003099206871491333,0.11955923135906286,0.4748858447488584
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,1,416.0,218.0,0.1502772446930434,0.104372408459513,0.518348623853211
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,2,416.0,242.0,0.14328592777967805,0.11885459861316808,0.5
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,3,416.0,215.0,0.056571109048466676,0.1335623263288076,0.4744186046511628
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,4,416.0,224.0,0.05088726765623833,0.08413524114310254,0.4955357142857143
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,5,416.0,214.0,0.00885954248257567,0.13900266965166852,0.4766355140186916
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,6,416.0,209.0,0.013224164121364266,0.10611271600164461,0.4784688995215311
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,7,416.0,223.0,0.0027768779815653035,0.10237645739913628,0.4618834080717489
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,8,416.0,229.0,0.08393026501681707,0.1358097252752767,0.4890829694323144
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,9,416.0,228.0,-0.030964590976050022,0.1464800360704897,0.4649122807017544
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,10,416.0,224.0,-0.03450172254546669,0.17686811580256742,0.47767857142857145
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,11,416.0,230.0,0.11787121264462985,0.100005449117354,0.4956521739130435
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,12,416.0,225.0,-0.07439933805570072,0.16371447753339025,0.4444444444444444
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,13,416.0,226.0,-0.06777278984839723,0.21011818808214197,0.45132743362831856
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,14,416.0,223.0,0.12653464030249778,0.0642140735988123,0.4977578475336323
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,15,416.0,235.0,0.11720964244970364,0.09346768009876291,0.5148936170212766
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,16,416.0,217.0,-0.006010366926266215,0.16804180541958408,0.4608294930875576
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,17,416.0,215.0,-0.06971075733728777,0.19887063007476297,0.4511627906976744
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,18,416.0,219.0,0.06185582118944712,0.09959910321879206,0.4885844748858447
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,19,416.0,224.0,0.1939472042012354,0.10534072315310382,0.5044642857142857
pen_5bp,BTC/USDT:USDT,15m,is,matched_random,-1,416.0,222.95,0.04220906372826215,0.1285252828200571,0.4810483495819818
pen_5bp,BTC/USDT:USDT,15m,oos,default,-1,659.0,273.0,-0.10738907125897167,0.19571624411164684,0.4432234432234432
pen_5bp,BTC/USDT:USDT,15m,oos,filter_bot3,-1,190.0,68.0,0.039464600290642374,0.03087148786841211,0.5588235294117647
pen_5bp,BTC/USDT:USDT,15m,oos,matched_random,0,190.0,108.0,-0.06185375916540979,0.09681210228555233,0.4351851851851852
