arm,segment,zone_id,group,num_trades,num_classified,share_of_classified,stop_rate,mean_net_r,sum_net_r,share_of_net_total,same_minute_share,median_gap_minutes,invalidation_bar_share,duplicate_share,reentry_share
base,oos,proxy,prev_tp_same_zone,2772,14486,19.135717244235813,56.132756132756136,-0.0351447416548763,-97.42122386731675,5.377889505741189,7.611832611832612,153.0,26.01010101010101,7.5396825396825395,31.854256854256853
base,oos,proxy,prev_tp_other_zone,3007,14486,20.757973215518433,57.59893581642834,-0.0656338096913024,-197.36086574174652,10.894801836631531,4.323245759893582,1512.0,19.45460591952112,0.0,3.192550714998337
no_same_step_reopen,full,real,prev_stop_same_zone,56,42767,0.13094208151144573,48.214285714285715,0.17530744801603054,9.817217088897712,-0.30308524756681454,0.0,456.0,14.285714285714286,0.0,0.0
no_same_step_reopen,full,real,prev_stop_other_zone,25069,42767,58.617625739472025,58.59427978778571,-0.06610738963865358,-1657.2461508514114,51.16387417753923,0.0,1063.0,24.81152020423631,0.0,2.293669472256572
no_same_step_reopen,full,real,prev_tp_same_zone,8503,42767,19.8821521266397,60.55509820063507,-0.1355421334630473,-1152.5147608362877,35.58138915024189,0.0,173.0,28.237092790779723,0.0,28.91920498647536
no_same_step_reopen,full,real,prev_tp_other_zone,9139,42767,21.369280052376833,57.48987854251012,-0.0478449161739846,-437.254688914047,13.49928848870393,0.0,1548.0,20.319509793194005,0.0,0.656526972316446
no_same_step_reopen,full,proxy,prev_stop_same_zone,81,42767,0.189398367900484,54.32098765432099,0.015027703345910918,1.217243971018786,-0.03757976287624957,0.0,713.0,18.51851851851852,0.0,0.0
no_same_step_reopen,full,proxy,prev_stop_other_zone,25044,42767,58.55916945308298,58.5848905925571,-0.06582998633339433,-1648.6461777335317,50.89836869284864,0.0,1063.0,24.8083373263057,0.0,2.295959111962945
no_same_step_reopen,full,proxy,prev_tp_same_zone,8507,42767,19.891505132461944,60.56189020806395,-0.13571961469865854,-1154.566762241484,35.64474023520513,0.0,173.0,28.23557070647702,0.0,28.91736217232867
no_same_step_reopen,full,proxy,prev_tp_other_zone,9135,42767,21.359927046554585,57.482211275314725,-0.04764123563315255,-435.2026875088504,13.435937403740677,0.0,1548.0,20.317460317460316,0.0,0.6458675424192666
no_same_step_reopen,is,real,prev_stop_same_zone,40,29583,0.13521279113004092,50.0,0.13461494506610855,5.384597802644343,-0.2694286340490794,0.0,644.5,20.0,0.0,0.0
no_same_step_reopen,is,real,prev_stop_other_zone,17304,29583,58.49305344285569,58.420018492834025,-0.056184299247569,-972.2131141799332,48.64653980831455,0.0,1031.0,26.16158113730929,0.0,2.369394359685622
