timeframe,segment,feature,quantile,quantile_rank,axis_min,axis_max,n,broke_rate,mean_r
15m,oos,freshness_bars,Q1,1,1.0,53.0,584,0.5273972602739726,0.1815068493150685
15m,oos,freshness_bars,Q2,2,54.0,269.0,584,0.5205479452054794,0.19863013698630136
15m,oos,freshness_bars,Q3,3,270.0,87665.0,582,0.4793814432989691,0.3015463917525773
15m,oos,prior_taps,Q1,1,0.0,1.0,1221,0.5053235053235053,0.23669123669123668
15m,oos,prior_taps,Q2,2,2.0,34.0,529,0.5179584120982986,0.2051039697542533
15m,oos,approach_mom,Q1,1,-8.021505218573626,-2.139411077479485,584,0.5085616438356164,0.2285958904109589
15m,oos,approach_mom,Q2,2,-2.1372628196402625,-0.9521529934890848,583,0.5334476843910806,0.16638078902229847
15m,oos,approach_mom,Q3,3,-0.9519145229910797,3.7186397201923533,583,0.4854202401372213,0.2864493996569468
15m,oos,tap_rsi,Q1,1,6.9888471726215045,34.22150255114161,584,0.4965753424657534,0.2585616438356164
15m,oos,tap_rsi,Q2,2,34.24375431324127,42.19365321066511,583,0.5403087478559176,0.14922813036020582
15m,oos,tap_rsi,Q3,3,42.21717084756797,70.9968491547154,583,0.49056603773584906,0.27358490566037735
1h,is,trend_dev,Q1,1,-0.21643426743629834,-0.02089388007749271,335,0.4746268656716418,0.31343283582089554
1h,is,trend_dev,Q2,2,-0.020877769836199156,0.004167679062974328,334,0.5419161676646707,0.14520958083832336
1h,is,trend_dev,Q3,3,0.00425802201472214,0.41773122710400634,335,0.5044776119402985,0.23880597014925373
1h,is,volume_pctl,Q1,1,0.0,0.3656716417910448,335,0.5582089552238806,0.1044776119402985
1h,is,volume_pctl,Q2,2,0.36693548387096775,0.6891385767790262,334,0.47005988023952094,0.3248502994011976
1h,is,volume_pctl,Q3,3,0.6892857142857143,1.0,335,0.4925373134328358,0.26865671641791045
1h,is,vol_balance,Q1,1,0.00557840443256009,0.23882299950089378,335,0.5044776119402985,0.23880597014925373
1h,is,vol_balance,Q2,2,0.23958411816591668,0.398666620634235,335,0.5402985074626866,0.14925373134328357
1h,is,vol_balance,Q3,3,0.3990182922892537,0.9999926626718032,334,0.47604790419161674,0.30988023952095806
1h,is,rsi_slope_5_3,Q1,1,-21.69129688300699,-4.783551481530431,335,0.5522388059701493,0.11940298507462686
1h,is,rsi_slope_5_3,Q2,2,-4.770046283981941,-1.0513983990914113,334,0.4880239520958084,0.27994011976047906
1h,is,rsi_slope_5_3,Q3,3,-1.0463385210084084,12.962862454792244,335,0.48059701492537316,0.29850746268656714
1h,is,rsi_slope_10_5,Q1,1,-18.949343013670035,-4.740234682545903,335,0.4835820895522388,0.291044776119403
1h,is,rsi_slope_10_5,Q2,2,-4.737674174479714,-0.8058588333766536,334,0.5299401197604791,0.1751497005988024
1h,is,rsi_slope_10_5,Q3,3,-0.7859082497041854,10.687789056516046,335,0.5074626865671642,0.23134328358208955
1h,is,rsi_slope_14_5,Q1,1,-18.63356632534333,-3.773877630749979,335,0.48059701492537316,0.29850746268656714
1h,is,rsi_slope_14_5,Q2,2,-3.761089792776353,-0.6877704460131184,334,0.5269461077844312,0.18263473053892215
1h,is,rsi_slope_14_5,Q3,3,-0.6735577221709406,9.741321775367886,335,0.5134328358208955,0.21641791044776118
1h,is,zone_width_atr,Q1,1,0.30869985932393046,1.2220990073074895,335,0.4417910447761194,0.39552238805970147
1h,is,zone_width_atr,Q2,2,1.2225182874401963,1.9299190754477031,334,0.5119760479041916,0.22005988023952097
1h,is,zone_width_atr,Q3,3,1.934048866410283,9.589231346506162,335,0.5671641791044776,0.08208955223880597
1h,is,freshness_bars,Q1,1,1.0,30.0,335,0.5283582089552239,0.1791044776119403
1h,is,freshness_bars,Q2,2,31.0,120.0,334,0.5239520958083832,0.19011976047904192
1h,is,freshness_bars,Q3,3,122.0,12984.0,335,0.46865671641791046,0.3283582089552239
1h,is,prior_taps,Q1,1,0.0,1.0,762,0.49343832020997375,0.2664041994750656
1h,is,prior_taps,Q2,2,2.0,21.0,242,0.5495867768595041,0.12603305785123967
1h,is,approach_mom,Q1,1,-6.767947455311717,-1.7332748468647008,335,0.5402985074626866,0.14925373134328357
1h,is,approach_mom,Q2,2,-1.7326037610224692,-0.6695973226758326,334,0.47604790419161674,0.30988023952095806
1h,is,approach_mom,Q3,3,-0.6695790063497702,2.8005666223094288,335,0.5044776119402985,0.23880597014925373
1h,is,tap_rsi,Q1,1,9.316446207592307,36.60378583149321,335,0.4955223880597015,0.26119402985074625
1h,is,tap_rsi,Q2,2,36.61094566683345,45.09541837022695,334,0.5089820359281437,0.2275449101796407
1h,is,tap_rsi,Q3,3,45.15703696762594,72.87877497376803,335,0.5164179104477612,0.208955223880597
1h,oos,trend_dev,Q1,1,-0.23737915167294732,-0.02728447396089584,187,0.39572192513368987,0.5106951871657754
1h,oos,trend_dev,Q2,2,-0.027275948459819732,-0.0028198975499057477,186,0.5376344086021505,0.15591397849462366
1h,oos,trend_dev,Q3,3,-0.002809912379124868,0.11541717413314645,187,0.5240641711229946,0.18983957219251338
1h,oos,volume_pctl,Q1,1,0.0,0.2808988764044944,187,0.48128342245989303,0.2967914438502674
1h,oos,volume_pctl,Q2,2,0.28222996515679444,0.6214285714285714,186,0.46236559139784944,0.34408602150537637
1h,oos,volume_pctl,Q3,3,0.6231343283582089,1.0,187,0.5133689839572193,0.21657754010695188
1h,oos,vol_balance,Q1,1,0.05826209169660531,0.21392504173484211,187,0.4385026737967914,0.4037433155080214
1h,oos,vol_balance,Q2,2,0.2146865556251464,0.358343698613577,188,0.5212765957446809,0.19680851063829788
1h,oos,vol_balance,Q3,3,0.35871064041214984,0.9716484323960887,185,0.4972972972972973,0.25675675675675674
1h,oos,rsi_slope_5_3,Q1,1,-21.231716965426497,-4.95955503108145,187,0.48128342245989303,0.2967914438502674
1h,oos,rsi_slope_5_3,Q2,2,-4.928428353013132,-0.9696546303111262,186,0.5053763440860215,0.23655913978494625
