arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades
loss-30R_entry,하루 -30R · 신규 진입만,loss,-30.0,,entry,oos,48,12,13535,0.40827484299963057,-0.1027124031688798,-1390.2123768907882,-8.056939330668776,7.493263123395947,-1.0752243979679406,16,60.832625931002376,11354,False,24,708,0.03389830508474576,1506,0.10368330464716007,0.02053874819289916,0.12325115136177907,0.04448878304755645,0.030496013544671713,0.012704608075285662,0.0355573773535959,1.5853571234294345e-05,-1.1484230565123443e-05,2.842170943040401e-14,0.00705918710380721,1637,0,645
loss-1R_reentry,하루 -1R · 재진입 재무장만,loss,-1.0,,reentry,full,48,12,44364,0.40918312144982416,-0.08413129243685907,-3732.400657668816,-22.32704143367498,14.107966138302222,-1.5825839965024084,24,120.82530464845,38492,False,1385,2125,0.6517647058823529,22319,0.4515182780036819,0.022923771444943418,0.10705506388180402,0.038265641109260944,0.026229691864383623,0.010928020174966331,0.030592965950896122,4.24068007234365e-06,0.0010345041022237732,2.842170943040401e-14,0.0087275155373287,812,0,2771
loss-1R_reentry,하루 -1R · 재진입 재무장만,loss,-1.0,,reentry,is,48,12,30829,0.4112361737325246,-0.07367884510559279,-2271.4451157603203,-13.122138410644746,8.441354632114479,-1.5545062353763208,24,120.82530464845,24957,False,934,1417,0.6591390261115032,15295,0.4419753799919089,0.028090434331311427,0.10176927943690456,0.03615374187585876,0.02483306608191447,0.01037718741843555,0.028908532003939863,0.0,0.0014967520567554541,2.842170943040401e-14,0.00942043261175738,638,0,2136
loss-1R_reentry,하루 -1R · 재진입 재무장만,loss,-1.0,,reentry,oos_warm,48,12,13534,0.4044628343431358,-0.10805055806146818,-1462.3562528039104,-9.210563083905997,8.42890767035799,-1.0927350783894407,16,144.5872335804974,10988,False,452,709,0.6375176304654443,7035,0.4745362563237774,0.011045529509640174,0.11909608757110829,0.04307914835823863,0.02940933656567609,0.01217988632828067,0.03443218621960188,1.3900807649582804e-05,-1.8370708338858047e-05,2.842170943040401e-14,0.007380666374354099,173,0,635
loss-1R_reentry,하루 -1R · 재진입 재무장만,loss,-1.0,,reentry,oos,48,12,13308,0.4041929666366096,-0.10946338955702947,-1456.7387882249482,-9.147501581612744,8.49698096362528,-1.076559029703877,16,29.79961433435751,11036,False,451,708,0.6370056497175142,6698,0.4611359724612737,0.010331526659970709,0.11979491621700007,0.04334997091443016,0.029565732434279752,0.012227810373837706,0.0346465127510981,1.6123992084172976e-05,-1.1234248730089506e-05,2.842170943040401e-14,0.007332091466068256,177,0,637
loss-2R_reentry,하루 -2R · 재진입 재무장만,loss,-2.0,,reentry,full,48,12,44629,0.40973358130363663,-0.08301547570580084,-3704.897665274186,-22.02668454442109,12.977365725741414,-1.6973155423006834,24,96.04677471851443,38348,False,1197,2125,0.5632941176470588,19919,0.4029657502377051,0.024300123157217718,0.10731559886302032,0.038344960530977835,0.026309294958888563,0.010976170771126998,0.030656414940993894,4.215499579409211e-06,0.0010245421614524563,2.842170943040401e-14,0.00869746783424717,1113,0,2791
loss-2R_reentry,하루 -2R · 재진입 재무장만,loss,-2.0,,reentry,is,48,12,31034,0.4118064058774248,-0.07251071575138816,-2250.2975526285804,-12.90169216161282,7.766967364133913,-1.6610977691485993,24,96.04677471851443,24753,False,812,1417,0.5730416372618208,13633,0.39394902618043115,0.0295160146935619,0.10202673044495025,0.03623163680060937,0.02491412175179402,0.010427370234487284,0.028970816785770435,0.0,0.0014827848722887898,2.842170943040401e-14,0.009382323387048001,864,0,2155
loss-2R_reentry,하루 -2R · 재진입 재무장만,loss,-2.0,,reentry,oos_warm,48,12,13595,0.4050018389113645,-0.10699522711626604,-1454.6001126456367,-9.124992382808289,8.253449351228934,-1.105597428964604,16,42.910481406785685,10973,False,385,709,0.5430183356840621,6286,0.42401349072512645,0.012393541477268852,0.11938876859353488,0.04316915241389468,0.029494128008463277,0.012228945751198931,0.034504215834646176,1.3838435507867134e-05,-2.151185017641169e-05,2.842170943040401e-14,0.007356892759217389,249,0,636
loss-2R_reentry,하루 -2R · 재진입 재무장만,loss,-2.0,,reentry,oos,48,12,13365,0.4047138047138047,-0.10845313420704564,-1449.476138677165,-9.049201900519954,8.344885416125514,-1.0844009772780618,16,96.60817658484615,11042,False,385,708,0.5437853107344632,5993,0.41259896729776246,0.011634265379041527,0.12008739958608719,0.043442042723283975,0.029648503305242973,0.012274013069003225,0.034720202136202756,1.6055225339032845e-05,-1.3416872985135529e-05,2.842170943040401e-14,0.00730018221832774,247,0,638
loss-3R_reentry,하루 -3R · 재진입 재무장만,loss,-3.0,,reentry,full,48,12,44852,0.4101712298225274,-0.08209521118714806,-3682.134412165965,-21.792584042456305,12.41595244057911,-1.755208401993512,24,189.7133842665579,38213,False,1061,2125,0.49929411764705883,17826,0.3606238999817928,0.025394412654585516,0.10748962384173548,0.038390564191454556,0.026364337253183157,0.011013190459130356,0.030692900586985553,4.194540504982023e-06,0.0010244368104756069,2.842170943040401e-14,0.008680437729747113,1374,0,2808
