cap_on,scope,segment,exclude_symbol,num_cells,num_symbols,num_trades,win_rate,total_return,max_drawdown,peak_concurrency,max_concurrent_risk,max_open_notional_ratio,liquidation_events,clamped_entries,adv_capped_entries,first_adv_cap_time,first_adv_cap_equity
False,both,oos_warm,DOGE,32,8,3380,0.5514792899408284,99.3390436528742,0.1368024051612444,11,0.10118209156116056,5.000000000000001,0,2670,0,,
False,both,oos_warm,ETH,32,8,3458,0.5445344129554656,75.41780308736878,0.16527405130712633,10,0.09621518477328185,5.0,0,2686,0,,
False,both,oos_warm,LINK,32,8,3403,0.5515721422274463,98.05998738825352,0.13540531984345813,8,0.07748793695399467,5.000000000000001,0,2673,0,,
False,both,oos_warm,LTC,32,8,3435,0.5557496360989811,141.4749638090602,0.12072442542977045,11,0.09851894496423484,5.000000000000001,0,2660,0,,
False,both,oos_warm,SOL,32,8,3353,0.5463763793617655,63.588888658856476,0.14154140809294544,9,0.08848415148488104,5.000000000000001,0,2614,0,,
False,both,oos_warm,TRX,32,8,3711,0.5529506871463218,166.06691606271283,0.169397055775885,11,0.10135924091035686,5.000000000000001,0,2873,0,,
False,both,oos_warm,XRP,32,8,3463,0.5532775050534219,125.97266123538007,0.1689363502472787,11,0.10178174903496133,5.0,0,2703,0,,
True,both,full,,36,9,11695,0.5793929029499786,36267.30278510046,0.13490128359422077,13,0.10861381649176807,5.0,0,10467,9469,1600431840000.0,9975.899586357538
True,both,is,,36,9,7748,0.5927981414558596,15813.036621924191,0.13490128359422077,13,0.10861381649176807,5.0,0,6523,5525,1600431840000.0,9975.899586357538
True,both,oos_warm,,36,9,3923,0.551108845271476,184.1389391949863,0.14039297680537813,11,0.10135924091035685,5.0,0,3074,414,1760108340000.0,353947.7197222934
True,both,oos,,36,9,3846,0.547321892875715,123.80786793686832,0.1403929768053784,8,0.07937040461078997,5.000000000000001,0,3033,345,1760108340000.0,293141.8104838525
True,15m,full,,9,9,7847,0.5723206320886963,6149.42524282207,0.0936929964203641,5,0.049976751382919675,5.0,0,7005,4868,1600431840000.0,9975.899586357538
True,15m,is,,9,9,5280,0.5821969696969697,2176.0936734713014,0.0936929964203641,5,0.049976751382919675,5.0,0,4477,2508,1600431840000.0,9975.899586357538
True,15m,oos_warm,,9,9,2567,0.5520062329567589,12.556245579696007,0.13882874506381093,5,0.03981943641701782,5.0,0,2402,23,1769179380000.0,99457.50865761169
True,15m,oos,,9,9,2534,0.5493291239147593,10.636464619305748,0.14230554763103925,5,0.03981943641701783,5.0,0,2374,19,1774278720000.0,105635.85560883669
True,1h,full,,9,9,2217,0.5926928281461434,523.6640443244185,0.11228275127520859,6,0.05,5.0,0,1182,427,1601920740000.0,10481.120472082954
True,1h,is,,9,9,1447,0.6164478230822391,147.63645354513653,0.11228275127520859,6,0.05,5.0,0,639,117,1601920740000.0,10481.120472082954
True,1h,oos_warm,,9,9,770,0.548051948051948,3.1540390076846228,0.07902928141698418,4,0.04,3.952510444038805,0,468,0,,
True,1h,oos,,9,9,756,0.5436507936507936,2.756864874779375,0.07902928141698401,4,0.039999999999999994,3.952510444038806,0,465,0,,
True,2h,full,,9,9,1075,0.587906976744186,32.63971970828218,0.11024736322397759,5,0.05,3.19916733640608,0,312,26,1601961000000.0,10286.859246119957
True,2h,is,,9,9,680,0.6044117647058823,12.77654967929073,0.11024736322397759,5,0.05,2.770839064446101,0,153,4,1601961000000.0,10286.859246119957
